ts,pred,side,entry,exit,pnl
2026-03-20T19:30:00+00:00,2,up,4506.6,4502.92,-3.680000000000291
2026-03-20T19:31:00+00:00,0,down,4501.91,4504.15,-2.2399999999997817
2026-03-20T19:34:00+00:00,0,down,4497.64,4505.08,-7.4399999999996
2026-03-20T19:36:00+00:00,0,down,4496.31,4504.77,-8.460000000000036
2026-03-22T22:23:00+00:00,2,up,4520.73,4500.7,-20.029999999999745
2026-03-22T22:29:00+00:00,2,up,4524.57,4495.24,-29.329999999999927
2026-03-22T22:30:00+00:00,2,up,4525.19,4497.43,-27.75999999999931
2026-03-22T22:31:00+00:00,2,up,4523.44,4491.6,-31.839999999999236
2026-03-22T22:32:00+00:00,2,up,4515.64,4490.56,-25.079999999999927
2026-03-22T22:33:00+00:00,2,up,4512.71,4493.72,-18.98999999999978
2026-03-22T22:34:00+00:00,2,up,4513.11,4490.96,-22.149999999999636
2026-03-22T22:35:00+00:00,2,up,4514.58,4495.81,-18.769999999999527
2026-03-22T22:36:00+00:00,2,up,4507.04,4498.52,-8.519999999999527
2026-03-22T22:37:00+00:00,2,up,4508.58,4499.02,-9.55999999999949
2026-03-22T22:38:00+00:00,2,up,4515.43,4498.16,-17.270000000000437
2026-03-22T22:39:00+00:00,2,up,4515.46,4490.84,-24.61999999999989
2026-03-22T22:40:00+00:00,2,up,4515.85,4490.48,-25.3700000000008
2026-03-22T22:41:00+00:00,2,up,4511.32,4489.06,-22.25999999999931
2026-03-22T22:42:00+00:00,2,up,4509.71,4492.42,-17.289999999999964
2026-03-22T22:43:00+00:00,2,up,4509.35,4489.63,-19.720000000000255
2026-03-22T22:44:00+00:00,2,up,4506.88,4489.65,-17.230000000000473
2026-03-22T22:45:00+00:00,2,up,4515.5,4484.2,-31.300000000000182
2026-03-22T22:46:00+00:00,2,up,4507.01,4484.0,-23.01000000000022
2026-03-22T22:47:00+00:00,2,up,4506.07,4491.02,-15.049999999999272
2026-03-22T22:48:00+00:00,2,up,4505.74,4485.26,-20.479999999999563
2026-03-22T22:57:00+00:00,2,up,4493.12,4476.16,-16.960000000000036
2026-03-22T22:59:00+00:00,2,up,4498.26,4478.81,-19.449999999999818
2026-03-22T23:02:00+00:00,2,up,4507.66,4484.12,-23.539999999999964
2026-03-22T23:06:00+00:00,2,up,4496.66,4482.37,-14.289999999999964
2026-03-22T23:07:00+00:00,2,up,4493.2,4481.49,-11.710000000000036
2026-03-23T00:03:00+00:00,2,up,4435.93,4358.86,-77.07000000000062
2026-03-23T00:07:00+00:00,2,up,4446.76,4355.35,-91.40999999999985
2026-03-23T00:09:00+00:00,2,up,4439.64,4346.04,-93.60000000000036
2026-03-23T00:15:00+00:00,2,up,4416.02,4338.11,-77.91000000000076
2026-03-23T00:24:00+00:00,2,up,4440.56,4377.71,-62.850000000000364
2026-03-23T00:28:00+00:00,0,down,4424.96,4411.65,13.3100000000004
