signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,day
9114,2026-03-23T15:02:00+00:00,2026-03-23T15:02:00+00:00,2026-03-23T15:42:00+00:00,0,down,4471.77,4416.82,54.95000000000073,2026-03-23 00:00:00+00:00
9155,2026-03-23T15:43:00+00:00,2026-03-23T15:43:00+00:00,2026-03-23T16:23:00+00:00,2,up,4411.59,4372.78,-38.8100000000004,2026-03-23 00:00:00+00:00
9196,2026-03-23T16:24:00+00:00,2026-03-23T16:24:00+00:00,2026-03-23T17:04:00+00:00,0,down,4372.07,4376.03,-3.9600000000000364,2026-03-23 00:00:00+00:00
9253,2026-03-23T17:21:00+00:00,2026-03-23T17:21:00+00:00,2026-03-23T18:01:00+00:00,0,down,4395.15,4421.73,-26.579999999999927,2026-03-23 00:00:00+00:00
9351,2026-03-23T18:59:00+00:00,2026-03-23T18:59:00+00:00,2026-03-23T19:39:00+00:00,2,up,4449.05,4410.32,-38.73000000000047,2026-03-23 00:00:00+00:00
9394,2026-03-23T19:42:00+00:00,2026-03-23T19:42:00+00:00,2026-03-23T20:22:00+00:00,0,down,4409.19,4407.79,1.3999999999996362,2026-03-23 00:00:00+00:00
9462,2026-03-23T20:50:00+00:00,2026-03-23T20:50:00+00:00,2026-03-23T22:31:00+00:00,2,up,4409.47,4408.11,-1.360000000000582,2026-03-23 00:00:00+00:00
9508,2026-03-23T22:37:00+00:00,2026-03-23T22:37:00+00:00,2026-03-23T23:17:00+00:00,0,down,4411.52,4444.77,-33.25,2026-03-23 00:00:00+00:00
9626,2026-03-24T00:35:00+00:00,2026-03-24T00:35:00+00:00,2026-03-24T01:15:00+00:00,0,down,4369.65,4336.37,33.279999999999745,2026-03-24 00:00:00+00:00
9651,2026-03-24T01:30:00+00:00,2026-03-24T01:30:00+00:00,2026-03-24T02:10:00+00:00,0,down,4352.48,4313.93,38.54999999999927,2026-03-24 00:00:00+00:00
9692,2026-03-24T02:11:00+00:00,2026-03-24T02:11:00+00:00,2026-03-24T02:51:00+00:00,0,down,4312.97,4355.41,-42.4399999999996,2026-03-24 00:00:00+00:00
9751,2026-03-24T03:10:00+00:00,2026-03-24T03:10:00+00:00,2026-03-24T03:50:00+00:00,2,up,4357.64,4339.03,-18.610000000000582,2026-03-24 00:00:00+00:00
9885,2026-03-24T05:24:00+00:00,2026-03-24T05:24:00+00:00,2026-03-24T06:04:00+00:00,2,up,4339.92,4358.0,18.079999999999927,2026-03-24 00:00:00+00:00
9926,2026-03-24T06:05:00+00:00,2026-03-24T06:05:00+00:00,2026-03-24T06:45:00+00:00,0,down,4361.61,4374.52,-12.910000000000764,2026-03-24 00:00:00+00:00
9969,2026-03-24T06:48:00+00:00,2026-03-24T06:48:00+00:00,2026-03-24T07:28:00+00:00,0,down,4375.96,4414.44,-38.47999999999956,2026-03-24 00:00:00+00:00
9981,2026-03-24T15:00:00+00:00,2026-03-24T15:00:00+00:00,2026-03-24T15:40:00+00:00,0,down,4410.38,4427.73,-17.349999999999454,2026-03-24 00:00:00+00:00
10089,2026-03-24T17:05:00+00:00,2026-03-24T17:05:00+00:00,2026-03-24T17:45:00+00:00,2,up,4394.36,4374.51,-19.849999999999454,2026-03-24 00:00:00+00:00
10239,2026-03-24T19:35:00+00:00,2026-03-24T19:35:00+00:00,2026-03-24T20:15:00+00:00,2,up,4398.49,4399.93,1.4400000000005093,2026-03-24 00:00:00+00:00
10313,2026-03-24T20:49:00+00:00,2026-03-24T20:49:00+00:00,2026-03-24T22:30:00+00:00,2,up,4465.99,4464.67,-1.319999999999709,2026-03-24 00:00:00+00:00
10356,2026-03-24T22:33:00+00:00,2026-03-24T22:33:00+00:00,2026-03-24T23:13:00+00:00,2,up,4462.23,4484.22,21.99000000000069,2026-03-24 00:00:00+00:00
10446,2026-03-25T00:03:00+00:00,2026-03-25T00:03:00+00:00,2026-03-25T00:43:00+00:00,0,down,4549.88,4568.48,-18.599999999999454,2026-03-25 00:00:00+00:00
10502,2026-03-25T00:59:00+00:00,2026-03-25T00:59:00+00:00,2026-03-25T01:39:00+00:00,0,down,4562.98,4588.1,-25.1200000000008,2026-03-25 00:00:00+00:00
10522,2026-03-25T01:49:00+00:00,2026-03-25T01:49:00+00:00,2026-03-25T02:29:00+00:00,0,down,4596.75,4587.67,9.079999999999927,2026-03-25 00:00:00+00:00
11286,2026-03-26T06:19:00+00:00,2026-03-26T06:19:00+00:00,2026-03-26T06:59:00+00:00,0,down,4430.4,4456.75,-26.350000000000364,2026-03-26 00:00:00+00:00
11328,2026-03-26T15:01:00+00:00,2026-03-26T15:01:00+00:00,2026-03-26T15:41:00+00:00,0,down,4461.92,4439.27,22.649999999999636,2026-03-26 00:00:00+00:00
11417,2026-03-26T16:30:00+00:00,2026-03-26T16:30:00+00:00,2026-03-26T17:10:00+00:00,0,down,4386.5,4396.52,-10.020000000000437,2026-03-26 00:00:00+00:00
11458,2026-03-26T17:11:00+00:00,2026-03-26T17:11:00+00:00,2026-03-26T17:51:00+00:00,0,down,4394.1,4384.46,9.640000000000327,2026-03-26 00:00:00+00:00
11577,2026-03-26T20:17:00+00:00,2026-03-26T20:17:00+00:00,2026-03-26T20:57:00+00:00,0,down,4386.13,4380.65,5.480000000000473,2026-03-26 00:00:00+00:00
11648,2026-03-26T22:29:00+00:00,2026-03-26T22:29:00+00:00,2026-03-26T23:09:00+00:00,2,up,4396.88,4391.52,-5.359999999999673,2026-03-26 00:00:00+00:00
12038,2026-03-27T15:22:00+00:00,2026-03-27T15:22:00+00:00,2026-03-27T16:02:00+00:00,2,up,4544.27,4527.74,-16.530000000000655,2026-03-27 00:00:00+00:00
12089,2026-03-27T16:13:00+00:00,2026-03-27T16:13:00+00:00,2026-03-27T16:53:00+00:00,0,down,4528.73,4512.92,15.80999999999949,2026-03-27 00:00:00+00:00
