run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3.5_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.5,0.52,0.5,trained,0,156.83,OK,1031,61,4840.339999999985,4.694801163918511,79.34983606557351,72.1311475409836,0.6459034894945704,0.5699402260203605,6131.591701430181
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3.5_p10.5_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.5,0.5,0.6,trained,0,271.87,OK,1056,65,4776.629999999999,4.523323863636363,73.48661538461538,80.0,0.6309189990173583,0.5549206016334044,6131.550601633404
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3.5_p10.5_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.5,0.5,0.6,trained,0,157.41,OK,1056,65,4776.629999999999,4.523323863636363,73.48661538461538,80.0,0.6309189990173583,0.5549206016334044,6131.550601633404
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.52,0.5,trained,0,210.34,OK,1392,71,4845.579999999991,3.481020114942522,68.24760563380269,70.4225352112676,0.6753081318963166,0.5669632422615287,6116.768594374195
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.52,0.5,trained,0,188.35,OK,1392,71,4845.579999999991,3.481020114942522,68.24760563380269,70.4225352112676,0.6753081318963166,0.5669632422615287,6116.768594374195
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.55_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.55,0.55,trained,0,254.67,OK,1272,70,4926.349999999997,3.872916666666664,70.37642857142852,64.28571428571429,0.6555420890272574,0.5445515222900382,6113.758665147178
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.55_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.55,0.55,trained,0,150.89,OK,1272,70,4926.349999999997,3.872916666666664,70.37642857142852,64.28571428571429,0.6555420890272574,0.5445515222900382,6113.758665147178
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.55_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.55,0.5,trained,0,243.86,OK,1257,70,4814.760000000008,3.830357995226737,68.78228571428583,72.85714285714285,0.6750725649320328,0.5605802555521129,6103.91168412355
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.55_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.55,0.5,trained,0,177.1,OK,1257,70,4814.760000000008,3.830357995226737,68.78228571428583,72.85714285714285,0.6750725649320328,0.5605802555521129,6103.91168412355
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.5_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.5,0.6,trained,0,213.41,OK,1421,75,4802.129999999989,3.3794018296973887,64.02839999999986,74.66666666666667,0.6679536364580614,0.5136747430249633,6062.47140969162
