run_id,window,horizon,trend_threshold,min_15m_drop,min_15m_rise,stage1_min_prob,stage2_min_prob,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_r15_p10.6_p20.65,150,25,0.008,15.0,15.0,0.6,0.65,0,39.98,OK,135,25,380.5600000000004,2.818962962962966,15.222400000000016,48.0,0.5986005098129243,0.5146705146705146,1375.230514670515
w150_h30_thr0.006_d15_r15_p10.6_p20.6,150,30,0.006,15.0,15.0,0.6,0.6,0,45.41,OK,182,36,375.23999999999705,2.0617582417582256,10.423333333333252,44.44444444444444,0.6145408576229385,0.4859520734682164,1305.6365179126578
w150_h20_thr0.012_d15_r15_p10.6_p20.65,150,20,0.012,15.0,15.0,0.6,0.65,0,41.91,OK,54,15,69.02999999999702,1.278333333333278,4.601999999999801,53.333333333333336,0.5921606145952028,0.6974358974358974,1299.7992307692277
w150_h25_thr0.012_d15_r15_p10.6_p20.6,150,25,0.012,15.0,15.0,0.6,0.6,0,45.22,OK,54,14,276.6399999999967,5.122962962962902,19.759999999999764,35.714285714285715,0.5828682826645232,0.6633064516129032,1297.089308755757
w150_h20_thr0.012_d15_r15_p10.6_p20.6,150,20,0.012,15.0,15.0,0.6,0.6,0,54.15,OK,54,15,66.18999999999778,1.2257407407406997,4.412666666666519,53.333333333333336,0.5938343658147799,0.6875,1287.0233333333313
w150_h30_thr0.01_d15_r15_p10.6_p20.65,150,30,0.01,15.0,15.0,0.6,0.65,0,51.73,OK,63,20,116.88000000000011,1.855238095238097,5.844000000000006,55.00000000000001,0.5747243703920817,0.6177844969763606,1284.6644969763609
w150_h20_thr0.012_d15_r15_p10.6_p20.7,150,20,0.012,15.0,15.0,0.6,0.7,0,40.77,OK,51,14,44.489999999996144,0.872352941176395,3.1778571428568676,50.0,0.5883813332268603,0.7189189189189189,1263.4089189189149
w150_h30_thr0.01_d15_r15_p10.6_p20.6,150,30,0.01,15.0,15.0,0.6,0.6,0,50.34,OK,64,20,113.07999999999993,1.7668749999999989,5.653999999999996,50.0,0.5790918138538127,0.6155761024182077,1228.6561024182076
w150_h30_thr0.01_d15_r15_p10.6_p20.7,150,30,0.01,15.0,15.0,0.6,0.7,0,50.55,OK,62,20,82.18000000000029,1.3254838709677466,4.109000000000014,50.0,0.5683518173748872,0.6247963506028023,1206.9763506028025
w150_h40_thr0.008_d15_r15_p10.6_p20.7,150,40,0.008,15.0,15.0,0.6,0.7,0,73.08,OK,110,26,130.7899999999945,1.18899999999995,5.0303846153844045,50.0,0.5792109602418405,0.5552419354838709,1186.0319354838653
