side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,pnl_usd,bars_held,exit_reason,lookback,ema_fast,ema_slow,atr_period,tp_atr,sl_atr,max_hold
long,1674,1677,2026-01-28 07:00:00+00:00,2026-01-28 07:45:00+00:00,5270.18,5289.388,19.20799999999963,4,take_profit,24,20,60,10,1.6,1.3,10
long,1679,1683,2026-01-28 08:15:00+00:00,2026-01-28 09:15:00+00:00,5293.52,5277.673,-15.847000000000662,5,stop_loss,24,20,60,10,1.6,1.3,10
long,1714,1720,2026-01-28 17:00:00+00:00,2026-01-28 18:30:00+00:00,5300.21,5269.8433,-30.366699999999582,7,stop_loss,24,20,60,10,1.6,1.3,10
long,1728,1730,2026-01-28 20:30:00+00:00,2026-01-28 21:00:00+00:00,5354.84,5394.5696,39.729599999999664,3,take_profit,24,20,60,10,1.6,1.3,10
long,1763,1765,2026-01-29 06:15:00+00:00,2026-01-29 06:45:00+00:00,5584.54,5559.0691,-25.470900000000256,3,stop_loss,24,20,60,10,1.6,1.3,10
long,1796,1796,2026-01-29 14:30:00+00:00,2026-01-29 14:30:00+00:00,5544.54,5515.3992,-29.140800000000127,1,stop_loss,24,20,60,10,1.6,1.3,10
long,2040,2044,2026-02-03 06:30:00+00:00,2026-02-03 07:30:00+00:00,4872.05,4907.578,35.52800000000025,5,take_profit,24,20,60,10,1.6,1.3,10
long,2048,2051,2026-02-03 08:30:00+00:00,2026-02-03 09:15:00+00:00,4937.1,4902.933400000001,-34.16659999999956,4,stop_loss,24,20,60,10,1.6,1.3,10
long,2080,2082,2026-02-03 16:30:00+00:00,2026-02-03 17:00:00+00:00,4973.32,4937.514099999999,-35.80590000000029,3,stop_loss,24,20,60,10,1.6,1.3,10
short,2168,2168,2026-02-04 15:30:00+00:00,2026-02-04 15:30:00+00:00,4957.57,4903.1284,54.44160000000011,1,take_profit,24,20,60,10,1.6,1.3,10
short,2247,2256,2026-02-05 12:15:00+00:00,2026-02-05 14:30:00+00:00,4838.96,4859.77,-20.8100000000004,10,timeout,24,20,60,10,1.6,1.3,10
long,2343,2348,2026-02-06 13:15:00+00:00,2026-02-06 14:30:00+00:00,4910.26,4939.1016,28.841599999999744,6,take_profit,24,20,60,10,1.6,1.3,10
long,2445,2454,2026-02-09 15:45:00+00:00,2026-02-09 18:00:00+00:00,5056.53,5058.45,1.9200000000000728,10,timeout,24,20,60,10,1.6,1.3,10
long,2532,2533,2026-02-10 14:30:00+00:00,2026-02-10 14:45:00+00:00,5070.6,5050.918000000001,-19.68199999999979,2,stop_loss,24,20,60,10,1.6,1.3,10
long,2609,2610,2026-02-11 10:45:00+00:00,2026-02-11 11:00:00+00:00,5100.72,5087.102500000001,-13.617499999999382,2,stop_loss,24,20,60,10,1.6,1.3,10
long,2612,2615,2026-02-11 11:30:00+00:00,2026-02-11 12:15:00+00:00,5108.74,5092.1403,-16.599699999999757,4,stop_loss,24,20,60,10,1.6,1.3,10
short,2718,2718,2026-02-12 15:00:00+00:00,2026-02-12 15:00:00+00:00,5043.87,5062.8669,-18.996900000000096,1,stop_loss,24,20,60,10,1.6,1.3,10
short,2723,2723,2026-02-12 16:15:00+00:00,2026-02-12 16:15:00+00:00,4951.47,4910.508400000001,40.961599999999635,1,take_profit,24,20,60,10,1.6,1.3,10
long,2808,2808,2026-02-13 14:30:00+00:00,2026-02-13 14:30:00+00:00,5002.84,4983.689700000001,-19.150299999999334,1,stop_loss,24,20,60,10,1.6,1.3,10
long,2816,2825,2026-02-13 16:30:00+00:00,2026-02-13 18:45:00+00:00,5028.14,5031.26,3.119999999999891,10,timeout,24,20,60,10,1.6,1.3,10
long,2827,2830,2026-02-13 19:15:00+00:00,2026-02-13 20:00:00+00:00,5039.92,5023.9482,-15.971800000000258,4,stop_loss,24,20,60,10,1.6,1.3,10
short,2901,2902,2026-02-16 14:45:00+00:00,2026-02-16 15:00:00+00:00,4988.32,4975.3632,12.95679999999993,2,take_profit,24,20,60,10,1.6,1.3,10
short,2980,2980,2026-02-17 14:00:00+00:00,2026-02-17 14:00:00+00:00,4870.43,4890.578700000001,-20.148700000000645,1,stop_loss,24,20,60,10,1.6,1.3,10
long,3068,3070,2026-02-18 13:00:00+00:00,2026-02-18 13:30:00+00:00,4943.56,4959.3616,15.80159999999978,3,take_profit,24,20,60,10,1.6,1.3,10
