signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl
8866,2026-03-23T02:54:00+00:00,2026-03-23T02:54:00+00:00,2026-03-23T03:34:00+00:00,0,down,4360.57,4359.85,0.7199999999993452
8907,2026-03-23T03:35:00+00:00,2026-03-23T03:35:00+00:00,2026-03-23T04:15:00+00:00,2,up,4354.0,4362.43,8.430000000000291
9001,2026-03-23T05:09:00+00:00,2026-03-23T05:09:00+00:00,2026-03-23T05:49:00+00:00,2,up,4374.04,4320.75,-53.289999999999964
9055,2026-03-23T06:03:00+00:00,2026-03-23T06:03:00+00:00,2026-03-23T06:43:00+00:00,2,up,4293.92,4197.94,-95.98000000000047
9096,2026-03-23T06:44:00+00:00,2026-03-23T06:44:00+00:00,2026-03-23T07:24:00+00:00,2,up,4182.78,4130.48,-52.30000000000018
9114,2026-03-23T15:02:00+00:00,2026-03-23T15:02:00+00:00,2026-03-23T15:42:00+00:00,2,up,4471.77,4416.82,-54.95000000000073
9158,2026-03-23T15:46:00+00:00,2026-03-23T15:46:00+00:00,2026-03-23T16:26:00+00:00,0,down,4402.2,4363.23,38.970000000000255
9203,2026-03-23T16:31:00+00:00,2026-03-23T16:31:00+00:00,2026-03-23T17:11:00+00:00,0,down,4372.84,4399.33,-26.48999999999978
9254,2026-03-23T17:22:00+00:00,2026-03-23T17:22:00+00:00,2026-03-23T18:02:00+00:00,0,down,4396.78,4419.35,-22.57000000000062
9365,2026-03-23T19:13:00+00:00,2026-03-23T19:13:00+00:00,2026-03-23T19:53:00+00:00,2,up,4410.33,4410.97,0.6400000000003274
9463,2026-03-23T20:51:00+00:00,2026-03-23T20:51:00+00:00,2026-03-23T22:32:00+00:00,2,up,4410.54,4406.59,-3.949999999999818
9508,2026-03-23T22:37:00+00:00,2026-03-23T22:37:00+00:00,2026-03-23T23:17:00+00:00,2,up,4411.52,4444.77,33.25
9626,2026-03-24T00:35:00+00:00,2026-03-24T00:35:00+00:00,2026-03-24T01:15:00+00:00,0,down,4369.65,4336.37,33.279999999999745
9651,2026-03-24T01:30:00+00:00,2026-03-24T01:30:00+00:00,2026-03-24T02:10:00+00:00,0,down,4352.48,4313.93,38.54999999999927
9694,2026-03-24T02:13:00+00:00,2026-03-24T02:13:00+00:00,2026-03-24T02:53:00+00:00,0,down,4311.32,4357.86,-46.539999999999964
9750,2026-03-24T03:09:00+00:00,2026-03-24T03:09:00+00:00,2026-03-24T03:49:00+00:00,2,up,4352.4,4340.18,-12.219999999999345
9899,2026-03-24T05:38:00+00:00,2026-03-24T05:38:00+00:00,2026-03-24T06:18:00+00:00,2,up,4337.36,4372.0,34.64000000000033
9941,2026-03-24T06:20:00+00:00,2026-03-24T06:20:00+00:00,2026-03-24T07:00:00+00:00,2,up,4369.92,4411.48,41.55999999999949
9986,2026-03-24T15:05:00+00:00,2026-03-24T15:05:00+00:00,2026-03-24T15:45:00+00:00,2,up,4412.6,4425.63,13.029999999999745
10089,2026-03-24T17:05:00+00:00,2026-03-24T17:05:00+00:00,2026-03-24T17:45:00+00:00,2,up,4394.36,4374.51,-19.849999999999454
10295,2026-03-24T20:31:00+00:00,2026-03-24T20:31:00+00:00,2026-03-24T22:12:00+00:00,2,up,4452.48,4482.65,30.170000000000073
11272,2026-03-26T06:05:00+00:00,2026-03-26T06:05:00+00:00,2026-03-26T06:45:00+00:00,2,up,4434.6,4449.6,15.0
11329,2026-03-26T15:02:00+00:00,2026-03-26T15:02:00+00:00,2026-03-26T15:42:00+00:00,0,down,4459.32,4442.62,16.699999999999818
11417,2026-03-26T16:30:00+00:00,2026-03-26T16:30:00+00:00,2026-03-26T17:10:00+00:00,2,up,4386.5,4396.52,10.020000000000437
