run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.52_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.52,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,5.67,OK,1281,69,4642.759999999974,3.624324746291939,67.28637681159383,73.91304347826086,0.6606083091545134,0.5408795976437837,5922.770032426366
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.52_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.52,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.72,OK,1483,72,4614.6199999999735,3.111679028995262,64.09194444444408,75.0,0.693432850873057,0.5321776737453865,5896.79767374536
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.52_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.52,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.06,OK,1483,72,4614.6199999999735,3.111679028995262,64.09194444444408,75.0,0.693432850873057,0.5321776737453865,5896.79767374536
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.55_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.55,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,6.49,OK,1251,69,4570.179999999976,3.6532214228616913,66.23449275362283,76.81159420289855,0.6607227542397783,0.5388798264963761,5877.175768525337
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.55_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.55,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,5.41,OK,1251,69,4570.179999999976,3.6532214228616913,66.23449275362283,76.81159420289855,0.6607227542397783,0.5388798264963761,5877.175768525337
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.55_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.55,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,5.65,OK,1236,69,4594.259999999971,3.717038834951433,66.58347826086914,73.91304347826086,0.6576843717584095,0.5407658914188082,5874.156326201388
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.55_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.55,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,5.24,OK,1236,69,4594.259999999971,3.717038834951433,66.58347826086914,73.91304347826086,0.6576843717584095,0.5407658914188082,5874.156326201388
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.5_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.5,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,6.92,OK,1328,69,4567.869999999986,3.4396611445783027,66.20101449275343,75.36231884057972,0.6660184482231586,0.5361383437420304,5857.631532147814
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.5_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.5,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,5.59,OK,1328,69,4567.869999999986,3.4396611445783027,66.20101449275343,75.36231884057972,0.6660184482231586,0.5361383437420304,5857.631532147814
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.52_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.52,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.55,OK,1510,73,4569.29999999998,3.026026490066212,62.59315068493124,73.97260273972603,0.6985952652335676,0.5306029190154602,5839.628946412701
