ts,pred,side,entry,exit,pnl
2026-03-03T15:55:00+00:00,0,down,5079.19,5112.8,-33.61000000000058
2026-03-03T15:56:00+00:00,0,down,5085.52,5128.44,-42.91999999999916
2026-03-03T15:57:00+00:00,0,down,5092.26,5129.48,-37.219999999999345
2026-03-03T16:01:00+00:00,0,down,5097.87,5116.56,-18.69000000000051
2026-03-03T16:09:00+00:00,0,down,5112.24,5110.24,2.0
2026-03-03T16:15:00+00:00,0,down,5108.06,5107.19,0.8700000000008004
2026-03-03T16:17:00+00:00,0,down,5101.97,5105.71,-3.7399999999997817
2026-03-03T16:21:00+00:00,0,down,5112.65,5096.22,16.42999999999938
2026-03-03T16:22:00+00:00,0,down,5116.6,5097.02,19.579999999999927
2026-03-03T16:23:00+00:00,0,down,5125.15,5084.54,40.60999999999967
2026-03-03T16:26:00+00:00,0,down,5121.37,5086.65,34.720000000000255
2026-03-03T16:57:00+00:00,2,up,5105.71,5075.8,-29.909999999999854
2026-03-03T17:05:00+00:00,2,up,5084.83,5082.17,-2.6599999999998545
2026-03-03T18:28:00+00:00,2,up,5112.71,5131.15,18.4399999999996
2026-03-03T18:30:00+00:00,2,up,5115.24,5120.47,5.230000000000473
2026-03-03T18:31:00+00:00,2,up,5117.7,5124.37,6.670000000000073
2026-03-03T18:32:00+00:00,2,up,5109.83,5115.96,6.130000000000109
2026-03-03T18:34:00+00:00,2,up,5116.09,5112.82,-3.2700000000004366
2026-03-03T18:36:00+00:00,2,up,5115.62,5110.02,-5.599999999999454
2026-03-03T19:11:00+00:00,0,down,5124.37,5120.72,3.649999999999636
2026-03-03T19:40:00+00:00,0,down,5114.93,5121.01,-6.079999999999927
2026-03-03T20:03:00+00:00,0,down,5117.79,5111.25,6.539999999999964
2026-03-03T20:04:00+00:00,0,down,5116.04,5112.04,4.0
2026-03-03T20:05:00+00:00,0,down,5117.98,5111.06,6.919999999999163
2026-03-03T20:07:00+00:00,0,down,5115.92,5106.5,9.420000000000073
2026-03-04T00:05:00+00:00,2,up,5112.02,5135.75,23.729999999999563
2026-03-04T15:02:00+00:00,0,down,5158.9,5147.93,10.969999999999345
2026-03-04T15:03:00+00:00,0,down,5157.44,5141.06,16.3799999999992
2026-03-04T15:04:00+00:00,0,down,5158.93,5144.54,14.390000000000327
2026-03-04T15:05:00+00:00,0,down,5145.19,5141.88,3.3099999999994907
2026-03-04T15:06:00+00:00,0,down,5147.68,5142.15,5.530000000000655
2026-03-05T15:11:00+00:00,0,down,5072.4,5089.67,-17.270000000000437
