entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,exit_time,exit_price,exit_reason,pnl,side
2026-03-06 15:04:00+00:00,5145.35,5170.35,5115.26,2026-03-06 15:50:00+00:00,8,0.6887131333351135,0.3913739323616028,2026-03-06 15:26:00+00:00,5170.35,stop_loss,-25.0,down
2026-03-08 22:09:00+00:00,5138.85,5163.85,5108.85,2026-03-08 22:39:00+00:00,0,0.6544787287712097,0.4019855856895447,2026-03-08 22:10:00+00:00,5163.85,stop_loss,-25.0,down
2026-03-08 22:16:00+00:00,5144.16,5169.16,4989.54,2026-03-09 01:52:00+00:00,58,0.6330202221870422,0.3482559323310852,2026-03-09 01:52:00+00:00,5071.95,timeout,72.21000000000004,down
2026-03-09 02:02:00+00:00,5068.31,5093.31,5025.98,2026-03-09 02:35:00+00:00,4,0.5148911476135254,0.30418622493743896,2026-03-09 02:10:00+00:00,5093.31,stop_loss,-25.0,down
2026-03-09 02:11:00+00:00,5093.43,5118.43,5063.43,2026-03-09 02:41:00+00:00,0,0.5199072360992432,0.15017656981945038,2026-03-09 02:41:00+00:00,5089.54,timeout,3.8900000000003274,down
2026-03-09 09:46:00+00:00,5097.9,5072.9,5127.9,2026-03-09 10:16:00+00:00,0,0.5878170728683472,0.5632795691490173,2026-03-09 10:16:00+00:00,5109.5,timeout,11.600000000000364,up
2026-03-09 13:42:00+00:00,5083.46,5108.46,5033.11,2026-03-09 15:01:00+00:00,18,0.5180283784866333,0.4439099133014679,2026-03-09 14:44:00+00:00,5108.46,stop_loss,-25.0,down
2026-03-12 20:34:00+00:00,5067.72,5092.72,5037.72,2026-03-12 21:04:00+00:00,0,0.5203384757041931,0.2250169813632965,2026-03-12 22:01:00+00:00,5075.06,timeout,-7.3400000000001455,down
2026-03-13 16:03:00+00:00,5027.18,5052.18,4997.18,2026-03-13 16:33:00+00:00,1,0.6679862141609192,0.3746848702430725,2026-03-13 16:33:00+00:00,5047.22,timeout,-20.039999999999964,down
2026-03-15 23:23:00+00:00,4977.09,5002.09,4947.09,2026-03-15 23:54:00+00:00,2,0.5914933681488037,0.13234943151474,2026-03-15 23:54:00+00:00,4986.15,timeout,-9.05999999999949,down
2026-03-16 01:14:00+00:00,4994.52,5019.52,4956.79,2026-03-16 01:53:00+00:00,3,0.6977816820144653,0.22832854092121124,2026-03-16 01:53:00+00:00,5005.95,timeout,-11.429999999999382,down
2026-03-17 06:03:00+00:00,5012.03,5037.03,4982.03,2026-03-17 06:33:00+00:00,0,0.5150863528251648,0.175296813249588,2026-03-17 06:33:00+00:00,5015.12,timeout,-3.0900000000001455,down
2026-03-18 12:13:00+00:00,4910.49,4935.49,4877.01,2026-03-18 12:43:00+00:00,1,0.6474940776824951,0.21240368485450745,2026-03-18 12:16:00+00:00,4903.19,reverse_signal,7.300000000000182,down
2026-03-18 12:17:00+00:00,4903.28,4878.28,4933.28,2026-03-18 12:47:00+00:00,0,0.5746878981590271,0.5645124912261963,2026-03-18 12:19:00+00:00,4905.19,reverse_signal,1.9099999999998545,up
2026-03-18 12:20:00+00:00,4905.25,4930.25,4865.69,2026-03-18 12:56:00+00:00,4,0.6325258016586304,0.22231397032737732,2026-03-18 12:32:00+00:00,4889.7,reverse_signal,15.550000000000182,down
2026-03-18 12:33:00+00:00,4889.67,4864.67,4919.67,2026-03-18 13:07:00+00:00,1,0.7335399985313416,0.6510530114173889,2026-03-18 12:40:00+00:00,4888.72,reverse_signal,-0.9499999999998181,up
