os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
-5,-30,-60,-10,0,20,15,74306,360,0.55,0.4,1.375,0.4,87,344.9421839679226,48.275862068965516,-153.85055187432135
0,-30,-60,-10,0,15,15,74306,360,0.55,0.4,1.375,0.4,87,344.9421839679226,48.275862068965516,-153.85055187432135
0,-30,-60,-10,0,20,15,74306,360,0.55,0.4,1.375,0.4,87,344.9421839679226,48.275862068965516,-153.85055187432135
-5,-30,-60,-10,0,15,15,74306,360,0.55,0.4,1.375,0.4,87,344.9421839679226,48.275862068965516,-153.85055187432135
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.3,2.0,0.45,99,343.34291527947016,41.41414141414141,-135.4860627697999
0,-30,-60,-10,0,15,15,74306,360,0.6,0.3,2.0,0.45,99,343.34291527947016,41.41414141414141,-135.4860627697999
0,-30,-60,-10,0,20,15,74306,360,0.6,0.3,2.0,0.45,99,343.34291527947016,41.41414141414141,-135.4860627697999
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.3,2.0,0.45,99,343.34291527947016,41.41414141414141,-135.4860627697999
0,-30,-60,-10,0,20,10,73983,480,0.7,0.25,2.8,0.45,133,342.04733538454684,36.84210526315789,-152.46396817811546
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.2,2.5,0.45,182,339.74470775114605,35.714285714285715,-208.5992114950368
0,-30,-60,-10,0,15,15,74306,480,0.5,0.2,2.5,0.45,182,339.74470775114605,35.714285714285715,-208.5992114950368
0,-30,-60,-10,0,20,15,74306,480,0.5,0.2,2.5,0.45,182,339.74470775114605,35.714285714285715,-208.5992114950368
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.2,2.5,0.45,182,339.74470775114605,35.714285714285715,-208.5992114950368
0,-30,-60,-10,0,20,15,74306,360,0.6,0.35,1.7142857142857144,0.45,93,339.2107000483934,44.086021505376344,-133.7317328900317
0,-30,-60,-10,0,15,15,74306,360,0.6,0.35,1.7142857142857144,0.45,93,339.2107000483934,44.086021505376344,-133.7317328900317
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.35,1.7142857142857144,0.45,93,339.2107000483934,44.086021505376344,-133.7317328900317
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.35,1.7142857142857144,0.45,93,339.2107000483934,44.086021505376344,-133.7317328900317
0,-30,-60,-10,0,20,15,74306,360,0.45,0.2,2.25,0.4,131,334.90512810778955,36.6412213740458,-192.54293816206246
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.2,2.25,0.4,131,334.90512810778955,36.6412213740458,-192.54293816206246
0,-30,-60,-10,0,15,15,74306,360,0.45,0.2,2.25,0.4,131,334.90512810778955,36.6412213740458,-192.54293816206246
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.2,2.25,0.4,131,334.90512810778955,36.6412213740458,-192.54293816206246
0,-30,-60,-10,0,15,15,74306,480,0.6,0.2,2.9999999999999996,0.4,191,333.81426926156655,32.460732984293195,-234.77176101945406
-5,-30,-60,-10,0,15,15,74306,480,0.6,0.2,2.9999999999999996,0.4,191,333.81426926156655,32.460732984293195,-234.77176101945406
-5,-30,-60,-10,0,20,15,74306,480,0.6,0.2,2.9999999999999996,0.4,191,333.81426926156655,32.460732984293195,-234.77176101945406
0,-30,-60,-10,0,20,15,74306,480,0.6,0.2,2.9999999999999996,0.4,191,333.81426926156655,32.460732984293195,-234.77176101945406
-5,-30,-60,-10,0,15,15,74306,480,0.6,0.2,2.9999999999999996,0.45,189,328.9431754779125,32.804232804232804,-211.95176101945435
0,-30,-60,-10,0,15,15,74306,480,0.6,0.2,2.9999999999999996,0.45,189,328.9431754779125,32.804232804232804,-211.95176101945435
-5,-30,-60,-10,0,20,15,74306,480,0.6,0.2,2.9999999999999996,0.45,189,328.9431754779125,32.804232804232804,-211.95176101945435
0,-30,-60,-10,0,20,15,74306,480,0.6,0.2,2.9999999999999996,0.45,189,328.9431754779125,32.804232804232804,-211.95176101945435
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.2,3.4999999999999996,0.45,148,327.39629338447867,31.08108108108108,-113.59327457446807
