pattern,fh,sh,eh,ob,cool,os,rec,slk,rob,ros,n_bars,tpx,slx,rr,pt,nt,pnl,wr,dd
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.6,0.15,4.0,0.45,46,414.9146008173916,34.78260869565217,-147.8949129856619
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.65,0.35,1.8571428571428574,0.45,21,414.04960784126706,61.904761904761905,-61.334922087728955
F60S90,60,90,360,-5,-20,-40,-30,10,15,10,862,0.7,0.2,3.4999999999999996,0.45,11,412.54756758224266,63.63636363636363,-46.45163042462718
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.6,0.3,2.0,0.45,26,408.30501614850164,57.692307692307686,-62.05000000000018
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.65,0.25,2.6,0.4,43,400.85928769725115,41.86046511627907,-130.51379464210095
F15S60,15,60,360,-5,-20,-40,-20,0,15,15,4625,0.65,0.25,2.6,0.4,98,399.4046121428905,46.93877551020408,-290.83761454120395
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.6,0.3,2.0,0.4,47,398.2767595710602,44.680851063829785,-134.96429898083807
F60S90,60,90,360,-5,-20,-40,-30,0,20,15,4261,0.6,0.3,2.0,0.45,83,398.114700028671,45.78313253012048,-328.4116870199955
F15S60,15,60,360,-5,-20,-40,-20,5,20,15,3263,0.65,0.25,2.6,0.4,70,398.1012048139369,54.285714285714285,-283.9406752136674
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.65,0.25,2.6,0.45,63,396.46821708499874,38.095238095238095,-263.48715234007295
F15S60,15,60,360,-5,-20,-60,-30,0,15,15,3958,0.6,0.25,2.4,0.4,113,395.56372418979845,44.24778761061947,-301.75946303982346
F15S60,15,60,360,-5,-20,-40,-30,0,15,10,7138,0.65,0.25,2.6,0.45,162,394.6548258821381,38.88888888888889,-413.39796808021765
F60S90,60,90,360,-5,-20,-40,-30,0,20,15,4261,0.6,0.25,2.4,0.4,90,394.4748873397307,43.333333333333336,-364.83607986802826
F15S60,15,60,360,-5,-20,-40,-30,10,15,15,7430,0.7,0.2,3.4999999999999996,0.4,168,392.0310104511618,33.33333333333333,-325.44427594662284
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.65,0.25,2.6,0.45,21,391.06447267173826,52.38095238095239,-64.33385608871686
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.65,0.35,1.8571428571428574,0.4,29,390.38728270223464,55.172413793103445,-113.47116250221325
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.65,0.35,1.8571428571428574,0.45,22,386.602499378987,50.0,-151.23775616539115
F15S60,15,60,360,-5,-20,-60,-30,0,15,15,3958,0.6,0.15,4.0,0.45,64,385.86046833001,31.25,-130.3763521976257
F60S90,60,90,360,-5,-20,-40,-30,10,15,10,862,0.7,0.2,3.4999999999999996,0.4,12,385.5459371576153,58.333333333333336,-73.45326084925455
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.7,0.2,3.4999999999999996,0.45,25,383.79339628658136,40.0,-125.88176051025175
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.65,0.35,1.8571428571428574,0.4,7,383.62511718282167,85.71428571428571,0.0
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.65,0.25,2.6,0.4,7,383.62511718282167,85.71428571428571,0.0
F15S60,15,60,360,-5,-20,-60,-30,5,20,15,2920,0.65,0.35,1.8571428571428574,0.4,76,383.2656353656871,44.73684210526316,-193.757905329222
F15S60,15,60,360,-5,-20,-50,-30,10,20,15,4180,0.6,0.25,2.4,0.45,128,382.8614882064612,40.625,-305.75917760223547
F60S90,60,90,360,-5,-20,-40,-30,10,15,15,1811,0.65,0.25,2.6,0.45,37,382.50501097436154,40.54054054054054,-155.4691671034434
F60S90,60,90,360,-5,-20,-40,-30,5,20,15,2440,0.65,0.25,2.6,0.4,63,381.34468912089096,42.857142857142854,-195.12776408581885
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.6,0.15,4.0,0.45,49,380.55146241941975,34.69387755102041,-143.26287380403846
F30S120,30,120,240,-5,-20,-40,-30,0,15,15,4297,0.65,0.35,1.8571428571428574,0.4,42,380.23540814478247,50.0,-160.67750332007654
F60S90,60,90,360,-5,-20,-40,-30,10,15,15,1811,0.65,0.35,1.8571428571428574,0.45,35,380.1037011344756,40.0,-165.770144398517
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.6,0.25,2.4,0.45,72,379.3804725016994,38.88888888888889,-200.97827722929105
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.6,0.25,2.4,0.45,46,378.39710493651774,43.47826086956522,-197.4577503364062
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.6,0.25,2.4,0.45,28,374.498595829044,53.57142857142857,-97.83333160573511
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.65,0.25,2.6,0.4,29,372.4744746566794,48.275862068965516,-117.43831352763391
F30S120,30,120,240,-5,-20,-40,-30,0,15,15,4297,0.6,0.15,4.0,0.4,40,370.80375911781175,40.0,-107.43217558099013
F60S90,60,90,360,-5,-20,-40,-30,10,20,10,1205,0.6,0.25,2.4,0.4,18,370.4171810709554,61.111111111111114,-59.28888114620713
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.65,0.25,2.6,0.45,6,367.0751171828215,83.33333333333334,0.0
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.65,0.35,1.8571428571428574,0.45,6,367.0751171828215,83.33333333333334,0.0
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.65,0.35,1.8571428571428574,0.45,7,366.73867643355516,71.42857142857143,-40.558220618218
F15S60,15,60,360,-5,-30,-40,-30,0,15,10,3358,0.55,0.25,2.2,0.45,109,366.64032060059844,46.788990825688074,-271.8053580018868
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.6,0.3,2.0,0.45,28,365.01299121028705,57.14285714285714,-114.07799792688184
F60S90,60,90,360,-5,-20,-40,-30,0,20,15,4261,0.65,0.25,2.6,0.4,92,364.99573769822973,39.130434782608695,-502.68519339324257
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.6,0.25,2.4,0.4,53,364.28955694051683,43.39622641509434,-230.693838691348
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.65,0.25,2.6,0.45,7,363.3399700515356,71.42857142857143,-28.97015758444104
F60S90,60,90,360,-5,-20,-40,-30,10,20,10,1205,0.55,0.25,2.2,0.45,21,361.6803536333973,66.66666666666666,-78.53710484188105
F15S60,15,60,360,-5,-20,-40,-20,5,20,15,3263,0.65,0.35,1.8571428571428574,0.4,81,361.0996660861556,54.32098765432099,-610.6374974215928
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.65,0.25,2.6,0.4,25,358.2885410779668,52.0,-115.22701710897854
F60S90,60,90,360,-5,-20,-40,-30,10,20,10,1205,0.6,0.25,2.4,0.45,17,358.107181070955,58.82352941176471,-59.28888114620713
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.65,0.35,1.8571428571428574,0.4,7,357.9586764335554,71.42857142857143,-40.558220618218
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.65,0.25,2.6,0.4,74,357.9355580642955,37.83783783783784,-356.1167737522351
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.65,0.25,2.6,0.45,38,356.40220701398675,42.10526315789473,-120.97055291007655
F30S120,30,120,240,-5,-20,-40,-30,5,20,15,3414,0.6,0.3,2.0,0.4,32,355.7129036549318,59.375,-113.78799792688187
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.65,0.25,2.6,0.4,7,354.55997005153586,71.42857142857143,-28.97015758444104
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.6,0.15,4.0,0.4,43,353.4345806176916,39.53488372093023,-105.17864406320314
F30S120,30,120,240,-5,-20,-50,-30,5,15,15,1458,0.65,0.25,2.6,0.45,6,352.0024145748157,83.33333333333334,-2.819999999999709
F30S120,30,120,240,-5,-20,-50,-30,5,15,15,1458,0.65,0.35,1.8571428571428574,0.45,6,352.0024145748157,83.33333333333334,-2.819999999999709
F60S90,60,90,360,-5,-20,-40,-30,10,20,10,1205,0.6,0.3,2.0,0.4,18,351.91233351276196,61.111111111111114,-70.81865737544922
F15S60,15,60,360,-5,-20,-40,-20,5,20,15,3263,0.6,0.3,2.0,0.45,77,350.83271105550784,51.94805194805194,-405.0889597901578
F60S90,60,90,360,-5,-20,-40,-30,0,20,15,4261,0.65,0.25,2.6,0.45,78,350.071347568075,41.02564102564102,-394.15474778056523
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.6,0.15,4.0,0.45,42,350.0704002605662,45.23809523809524,-76.78464476871113
F15S60,15,60,360,-5,-20,-40,-20,0,15,15,4625,0.65,0.25,2.6,0.45,86,349.48240816919133,47.674418604651166,-307.39407539773674
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.6,0.3,2.0,0.45,8,348.7670312456812,75.0,-4.329999999999927
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.6,0.25,2.4,0.45,8,348.7670312456812,75.0,-4.329999999999927
F30S120,30,120,240,-5,-20,-50,-30,0,20,10,993,0.65,0.35,1.8571428571428574,0.4,3,348.206524922206,100.0,0.0
F30S120,30,120,240,-5,-20,-50,-30,0,20,10,993,0.65,0.35,1.8571428571428574,0.45,3,347.206524922206,100.0,0.0
F15S60,15,60,360,-5,-20,-40,-30,5,15,10,4103,0.6,0.15,4.0,0.45,100,346.6338263571779,34.0,-300.01937627318193
F15S60,15,60,360,-5,-20,-60,-30,0,20,15,4303,0.6,0.15,4.0,0.4,93,346.0862013996716,31.182795698924732,-163.99290493228682
F15S60,15,60,360,-5,-20,-40,-20,5,15,15,3087,0.6,0.3,2.0,0.45,73,345.141861939655,49.31506849315068,-389.1208173105065
F30S120,30,120,240,-5,-20,-50,-30,5,15,15,1458,0.65,0.35,1.8571428571428574,0.4,6,344.66241457481556,83.33333333333334,-2.819999999999709
F15S60,15,60,360,-5,-20,-60,-30,5,20,15,2920,0.65,0.25,2.6,0.45,62,344.2970079309698,38.70967741935484,-175.85034802441078
F15S60,15,60,360,-5,-20,-40,-30,5,15,10,4103,0.6,0.15,4.0,0.4,120,343.8672350400293,32.5,-357.9077742057257
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.65,0.35,1.8571428571428574,0.4,73,342.8563081897896,41.0958904109589,-246.31355125229356
F15S60,15,60,360,-5,-20,-50,-30,5,15,15,5154,0.55,0.25,2.2,0.4,221,341.04849281105226,41.17647058823529,-465.32636090902633
F15S60,15,60,360,-5,-30,-40,-30,0,15,10,3358,0.65,0.35,1.8571428571428574,0.45,74,340.9948835116138,52.702702702702695,-258.0906195898351
F60S90,60,90,360,-5,-20,-40,-30,10,20,10,1205,0.6,0.3,2.0,0.45,17,339.60233351276156,58.82352941176471,-70.81865737544922
