entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2024-09-05 14:05:00+00:00,2024-09-05 15:35:00+00:00,25.900000000000546,-1,short_impulse,,si,timeout,,
2024-09-05 16:15:00+00:00,2024-09-05 16:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,6914.3,6884.3
2024-09-06 08:45:00+00:00,2024-09-06 09:45:00+00:00,30.0,1,long_retrace,,long_ret,tp,6879.2,6909.2
2024-09-06 14:00:00+00:00,2024-09-06 14:15:00+00:00,-15.0,1,ret,,ret,sl,6925.7,6910.7
2024-09-09 13:45:00+00:00,2024-09-09 14:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,6720.7,6750.7
2024-09-09 14:00:00+00:00,2024-09-09 14:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6758.6,6743.6
2024-09-09 14:15:00+00:00,2024-09-09 14:30:00+00:00,30.0,1,long_retrace,,long_ret,tp,6769.6,6799.6
2024-09-09 14:45:00+00:00,2024-09-09 15:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6798.2,6783.2
2024-09-09 15:00:00+00:00,2024-09-09 15:15:00+00:00,-15.0,1,ret,,ret,sl,6776.2,6761.2
2024-09-10 09:30:00+00:00,2024-09-10 13:30:00+00:00,29.100000000000364,1,wr90,,wr90,structure_change,6745.9,6775.0
2024-09-10 13:33:00+00:00,2024-09-10 14:07:00+00:00,120.0,-1,short_impulse,,si,tp,,
2024-09-11 08:30:00+00:00,2024-09-11 08:45:00+00:00,30.0,1,ret,,ret,tp,6637.1,6667.1
2024-09-11 13:00:00+00:00,2024-09-11 13:15:00+00:00,30.0,1,ret,,ret,tp,6637.1,6667.1
2024-09-11 15:00:00+00:00,2024-09-11 15:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6605.0,6590.0
2024-09-12 14:15:00+00:00,2024-09-12 14:30:00+00:00,-15.0,1,ret,,ret,sl,6785.1,6770.1
2024-09-13 13:30:00+00:00,2024-09-13 13:45:00+00:00,30.0,1,long_retrace,,long_ret,tp,6896.8,6926.8
2024-09-16 13:15:00+00:00,2024-09-16 13:45:00+00:00,30.0,1,ret,,ret,tp,6915.9,6945.9
2024-09-18 15:15:00+00:00,2024-09-18 15:30:00+00:00,-15.0,1,ret,,ret,sl,6998.5,6983.5
2024-09-18 16:15:00+00:00,2024-09-18 16:45:00+00:00,30.0,1,ret,,ret,tp,6938.0,6968.0
2024-09-19 13:30:00+00:00,2024-09-19 13:45:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7070.0,7055.0
2024-09-19 14:15:00+00:00,2024-09-19 14:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7078.0,7063.0
2024-09-19 14:30:00+00:00,2024-09-19 14:45:00+00:00,-15.0,1,ret,,ret,sl,7059.0,7044.0
2024-09-19 15:00:00+00:00,2024-09-19 15:15:00+00:00,30.0,1,long_retrace,,long_ret,tp,7078.9,7108.9
2024-09-20 13:35:00+00:00,2024-09-20 15:05:00+00:00,-66.39999999999964,-1,short_impulse,,si,timeout,,
2024-09-23 07:30:00+00:00,2024-09-23 08:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7106.5,7091.5
2024-09-23 14:42:00+00:00,2024-09-23 15:56:00+00:00,120.0,-1,short_impulse,,si,tp,,
2024-09-23 16:45:00+00:00,2024-09-23 18:30:00+00:00,38.10000000000037,1,wr90,,wr90,ny_close,6991.9,7030.0
2024-09-24 15:00:00+00:00,2024-09-24 15:30:00+00:00,-15.0,1,ret,,ret,sl,7122.9,7107.9
2024-09-24 15:45:00+00:00,2024-09-24 18:30:00+00:00,12.900000000000546,1,wr90,,wr90,ny_close,7139.2,7152.1
2024-09-25 12:30:00+00:00,2024-09-25 12:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7011.4,7026.4
2024-09-25 13:00:00+00:00,2024-09-25 13:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7033.4,7048.4
2024-09-25 13:30:00+00:00,2024-09-25 13:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7062.4,7077.4
2024-09-25 14:30:00+00:00,2024-09-25 14:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,7065.8,7035.8
2024-09-25 16:45:00+00:00,2024-09-25 17:15:00+00:00,30.0,-1,ret_short,,ret_short,tp,6973.6,6943.6
2024-09-26 07:45:00+00:00,2024-09-26 08:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6808.8,6823.8
2024-09-26 08:45:00+00:00,2024-09-26 09:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6817.1,6832.1
2024-09-26 09:30:00+00:00,2024-09-26 10:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,6856.8,6826.8
2024-09-26 11:15:00+00:00,2024-09-26 11:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,6779.2,6749.2
2024-09-26 12:30:00+00:00,2024-09-26 13:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,6799.3,6769.3
2024-09-26 13:15:00+00:00,2024-09-26 13:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,6745.0,6715.0
2024-09-26 13:45:00+00:00,2024-09-26 14:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6729.4,6744.4
2024-09-26 14:00:00+00:00,2024-09-26 14:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6743.4,6758.4
2024-09-26 14:15:00+00:00,2024-09-26 14:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6785.7,6800.7
2024-09-26 14:45:00+00:00,2024-09-26 15:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6798.3,6813.3
2024-09-26 15:15:00+00:00,2024-09-26 15:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,6830.1,6800.1
2024-09-26 15:45:00+00:00,2024-09-26 16:15:00+00:00,30.0,-1,ret_short,,ret_short,tp,6816.9,6786.9
2024-09-27 08:00:00+00:00,2024-09-27 08:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,6793.8,6763.8
2024-09-27 14:00:00+00:00,2024-09-27 14:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6751.6,6766.6
2024-09-27 14:15:00+00:00,2024-09-27 14:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6771.0,6786.0
2024-09-27 16:00:00+00:00,2024-09-27 16:15:00+00:00,30.0,-1,ret_short,,ret_short,tp,6831.6,6801.6
2024-09-27 16:26:00+00:00,2024-09-27 17:56:00+00:00,42.599999999999454,-1,short_impulse,,si,timeout,,
2024-09-30 10:30:00+00:00,2024-09-30 10:45:00+00:00,314.5,1,wr90,,wr90,swing_break,6810.8,7125.3
2024-09-30 14:30:00+00:00,2024-09-30 14:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6843.6,6858.6
2024-09-30 14:45:00+00:00,2024-09-30 15:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6862.3,6877.3
2024-10-01 09:30:00+00:00,2024-10-01 09:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6681.9,6696.9
2024-10-01 10:00:00+00:00,2024-10-01 10:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6733.3,6748.3
2024-10-01 10:30:00+00:00,2024-10-01 11:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6761.2,6776.2
2024-10-01 12:15:00+00:00,2024-10-01 12:30:00+00:00,-15.0,1,ret,,ret,sl,6733.0,6718.0
2024-10-01 13:00:00+00:00,2024-10-01 13:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6717.9,6732.9
2024-10-01 13:15:00+00:00,2024-10-01 13:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6747.4,6762.4
2024-10-01 13:59:00+00:00,2024-10-01 15:09:00+00:00,-80.0,-1,short_impulse,,si,sl,,
2024-10-01 15:28:00+00:00,2024-10-01 16:58:00+00:00,-4.199999999999818,-1,short_impulse,,si,timeout,,
2024-10-01 16:59:00+00:00,2024-10-01 17:56:00+00:00,120.0,-1,short_impulse,,si,tp,,
2024-10-02 07:30:00+00:00,2024-10-02 07:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,7159.6,7129.6
2024-10-02 07:45:00+00:00,2024-10-02 08:00:00+00:00,-15.0,1,ret,,ret,sl,7136.2,7121.2
2024-10-02 08:00:00+00:00,2024-10-02 08:15:00+00:00,30.0,1,ret,,ret,tp,7111.1,7141.1
2024-10-02 09:30:00+00:00,2024-10-02 10:00:00+00:00,30.0,1,ret,,ret,tp,7144.9,7174.9
2024-10-02 10:00:00+00:00,2024-10-02 10:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7184.5,7199.5
2024-10-02 13:15:00+00:00,2024-10-02 13:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7194.2,7209.2
2024-10-02 14:31:00+00:00,2024-10-02 15:18:00+00:00,120.0,-1,short_impulse,,si,tp,,
2024-10-02 16:00:00+00:00,2024-10-02 17:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6997.0,6982.0
2024-10-03 09:00:00+00:00,2024-10-03 09:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7081.6,7096.6
