side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win
1,2026-01-28 12:30:00+00:00,2026-01-28 12:33:00+00:00,5264.91,breakout_next_open,5260.54,5278.0199999999995,4.369999999999891,13.109999999999673,120,2026-01-28 14:45:00+00:00,5260.54,5264.32,1,2026-01-28 12:59:00+00:00,5278.0199999999995,target_hit,13.109999999999673,True
1,2026-01-28 13:30:00+00:00,2026-01-28 13:32:00+00:00,5282.39,breakout_next_open,5274.03,5307.470000000002,8.360000000000582,25.080000000001746,120,2026-01-28 15:32:00+00:00,5274.03,5278.11,0,2026-01-28 13:35:00+00:00,5274.03,stop_loss,-8.360000000000582,False
1,2026-01-28 15:30:00+00:00,2026-01-28 15:32:00+00:00,5274.01,breakout_next_open,5256.49,5326.5700000000015,17.520000000000437,52.56000000000131,120,2026-01-28 21:45:00+00:00,5256.49,5266.28,6,2026-01-28 19:57:00+00:00,5326.5700000000015,target_hit,52.56000000000131,True
1,2026-01-28 20:00:00+00:00,2026-01-28 20:02:00+00:00,5332.91,breakout_next_open,5307.32,5409.68,25.590000000000146,76.77000000000044,120,2026-01-28 22:45:00+00:00,5307.32,5317.61,2,2026-01-28 21:53:00+00:00,5409.68,target_hit,76.77000000000044,True
1,2026-01-29 09:00:00+00:00,2026-01-29 09:02:00+00:00,5505.95,breakout_next_open,5479.02,5586.739999999998,26.92999999999938,80.78999999999814,120,2026-01-29 11:02:00+00:00,5479.02,5499.11,0,2026-01-29 11:02:00+00:00,5480.16,timeout,-25.789999999999964,False
1,2026-01-29 11:30:00+00:00,2026-01-29 11:32:00+00:00,5516.24,breakout_next_open,5507.39,5542.789999999998,8.849999999999454,26.549999999998363,120,2026-01-29 14:15:00+00:00,5507.39,5513.17,2,2026-01-29 12:28:00+00:00,5542.789999999998,target_hit,26.549999999998363,True
1,2026-01-29 13:00:00+00:00,2026-01-29 13:02:00+00:00,5540.1,breakout_next_open,5527.95,5576.550000000002,12.150000000000546,36.45000000000164,120,2026-01-29 15:02:00+00:00,5527.95,5535.15,0,2026-01-29 13:10:00+00:00,5527.95,stop_loss,-12.150000000000546,False
-1,2026-01-30 13:00:00+00:00,2026-01-30 13:02:00+00:00,5063.15,breakout_next_open,5116.78,4902.259999999999,53.63000000000011,160.89000000000033,120,2026-01-30 15:45:00+00:00,5093.76,5116.78,3,2026-01-30 15:45:00+00:00,5061.84,timeout,1.3099999999994907,True
-1,2026-01-30 16:15:00+00:00,2026-01-30 16:17:00+00:00,5025.89,breakout_next_open,5051.95,4947.710000000002,26.05999999999949,78.17999999999847,120,2026-01-30 18:30:00+00:00,5043.02,5051.95,1,2026-01-30 16:52:00+00:00,4947.710000000002,target_hit,78.17999999999847,True
-1,2026-01-30 17:00:00+00:00,2026-01-30 17:02:00+00:00,4974.55,breakout_next_open,5015.75,4850.950000000001,41.19999999999982,123.59999999999945,120,2026-01-30 19:15:00+00:00,4997.25,5015.75,1,2026-01-30 17:44:00+00:00,4850.950000000001,target_hit,123.59999999999945,True
-1,2026-01-30 17:45:00+00:00,2026-01-30 17:47:00+00:00,4867.75,breakout_next_open,4927.25,4689.25,59.5,178.5,120,2026-01-30 20:30:00+00:00,4910.4,4927.25,1,2026-01-30 18:39:00+00:00,4689.25,target_hit,178.5,True
-1,2026-01-30 20:00:00+00:00,2026-01-30 20:02:00+00:00,4898.01,breakout_next_open,4931.98,4796.100000000002,33.969999999999345,101.90999999999804,120,2026-01-30 22:30:00+00:00,4918.0,4931.98,2,2026-02-01 23:02:00+00:00,4853.83,timeout,44.18000000000029,True
-1,2026-02-02 09:00:00+00:00,2026-02-02 09:02:00+00:00,4629.3,breakout_next_open,4644.73,4583.010000000002,15.429999999999382,46.289999999998145,120,2026-02-02 11:02:00+00:00,4632.87,4644.73,0,2026-02-02 09:11:00+00:00,4644.73,stop_loss,-15.429999999999382,False
-1,2026-02-02 10:30:00+00:00,2026-02-02 10:32:00+00:00,4684.65,breakout_next_open,4732.1,4542.299999999997,47.45000000000073,142.35000000000218,120,2026-02-02 12:45:00+00:00,4721.01,4732.1,1,2026-02-02 11:13:00+00:00,4732.1,stop_loss,-47.45000000000073,False
-1,2026-02-02 13:15:00+00:00,2026-02-02 13:21:00+00:00,4746.8,breakout_next_open,4796.24,4598.480000000001,49.4399999999996,148.3199999999988,120,2026-02-02 18:00:00+00:00,4743.92,4796.24,7,2026-02-02 16:01:00+00:00,4598.480000000001,target_hit,148.3199999999988,True
-1,2026-02-02 16:00:00+00:00,2026-02-02 16:02:00+00:00,4599.75,breakout_next_open,4678.43,4363.709999999999,78.68000000000029,236.04000000000087,120,2026-02-02 18:02:00+00:00,4656.26,4678.43,0,2026-02-02 16:09:00+00:00,4678.43,stop_loss,-78.68000000000029,False
