pattern,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,pt,hr_full,nt,pnl,wr,dd
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.55,19.587053571428573,54,-0.6997915443776037,29.629629629629626,-126.185397556098
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.5,22.727272727272727,46,-7.299776741818732,36.95652173913043,-298.2047426725021
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.5,21.01806239737274,264,-12.499499499891954,32.57575757575758,-491.85525143572886
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.4,24.053826745164002,213,-14.070392260469362,38.967136150234744,-414.9784564229167
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.5,24.848484848484848,44,-21.25510229293377,40.909090909090914,-188.97709417589704
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.4,22.424242424242426,63,-21.73958334171948,38.095238095238095,-365.8882645639369
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.45,24.848484848484848,54,-24.24202254281363,38.88888888888889,-230.10735411937003
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.45,19.587053571428573,81,-25.914572026924816,29.629629629629626,-115.7803355301412
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.45,23.76847290640394,346,-27.670209122930828,37.57225433526011,-697.0006479628478
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.45,21.11111111111111,45,-32.48831720211183,33.33333333333333,-295.1801438815464
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.45,22.424242424242426,54,-47.56405633210488,37.03703703703704,-326.7367506235705
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.4,24.848484848484848,61,-68.8220952646011,36.0655737704918,-243.0664491446978
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.5,19.587053571428573,71,-69.40032007273658,28.169014084507044,-132.4320361091759
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.45,22.727272727272727,51,-72.4470787731284,37.254901960784316,-329.2537976361609
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.45,22.600446428571427,90,-72.80025477713616,28.888888888888886,-207.91738933479473
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.55,25.111607142857146,75,-75.20442148192842,33.33333333333333,-261.45028877617915
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.55,18.041871921182263,184,-83.75588346164659,30.978260869565215,-358.4244682892763
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.5,23.76847290640394,295,-103.54797464518197,38.64406779661017,-642.070363397087
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.4,25.111607142857146,138,-105.7398816504865,36.95652173913043,-412.95416444078046
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.55,21.01806239737274,213,-111.53732469090892,31.455399061032864,-516.2998280305951
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.55,24.053826745164002,116,-113.03736362738482,33.62068965517241,-315.88280189886973
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.45,20.320197044334975,299,-119.46341592926547,37.12374581939799,-647.9604910948701
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.55,22.727272727272727,35,-120.02045871791643,34.285714285714285,-262.8473900694871
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.5,18.041871921182263,226,-129.29556549046492,31.41592920353982,-476.84168903419913
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.4,22.600446428571427,112,-132.37591725322545,28.57142857142857,-346.91715820206446
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.4,22.727272727272727,58,-134.94366062737436,34.48275862068966,-343.20416002749243
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.45,25.111607142857146,112,-135.80129595442804,36.607142857142854,-316.08291014500264
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.2,2.0,0.45,20.142977291841884,140,-141.09548671957145,34.285714285714285,-460.9693845785587
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.5,25.111607142857146,94,-159.28657395862956,36.17021276595745,-246.64437108012498
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.4,18.041871921182263,330,-174.95547997770564,28.78787878787879,-640.8517485300599
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.5,18.29268292682927,100,-182.65237022755764,26.0,-244.60937866781842
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.4,21.11111111111111,56,-190.33035210384287,30.357142857142854,-415.235455998235
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.5,24.053826745164002,141,-215.21036890768846,34.751773049645394,-415.2134204838326
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.55,23.76847290640394,239,-217.7348630889046,38.49372384937239,-672.6126066222782
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.55,20.320197044334975,215,-231.57282924132915,34.418604651162795,-432.86592678652687
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.55,21.488645920941966,91,-241.72174532068766,27.472527472527474,-441.6419990262234
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.2,2.0,0.5,20.142977291841884,115,-332.538696067963,29.565217391304348,-530.0143695248157
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.4,18.29268292682927,144,-333.85230383345015,26.38888888888889,-415.4655160548955
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.5,21.488645920941966,105,-341.72553993685415,27.61904761904762,-560.8903786922406
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.55,18.29268292682927,72,-347.62676021476227,22.22222222222222,-392.2348932159298
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.45,18.29268292682927,122,-373.3973073646116,24.59016393442623,-425.3654837293052
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.4,21.488645920941966,168,-399.8434320132001,29.166666666666668,-705.5526581008103
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.45,21.488645920941966,135,-424.5079754644821,28.14814814814815,-689.227876830641
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.2,2.0,0.55,20.142977291841884,93,-493.6903133308906,23.655913978494624,-526.4252286347946
