mode,ml_label,tp,sl,horizon,trades,wr,net,avg,tp_hit,sl_hit,timeout
ml,scaleout,50.0,20.0,15,352,49.7,408.2,1.16,6,53,293
ml,scaleout,50.0,20.0,20,344,50.3,506.7,1.47,10,60,274
ml,scaleout,50.0,20.0,30,335,50.1,723.4,2.16,20,69,246
ml,scaleout,50.0,20.0,45,320,45.3,758.8,2.37,30,89,201
ml,scaleout,50.0,20.0,60,312,43.9,552.7,1.77,32,105,175
ml,scaleout,50.0,25.0,15,339,50.4,419.7,1.24,7,37,295
ml,scaleout,50.0,25.0,20,332,50.9,523.3,1.58,11,41,280
ml,scaleout,50.0,25.0,30,322,51.9,618.2,1.92,19,50,253
ml,scaleout,50.0,25.0,45,306,47.4,676.6,2.21,29,60,217
ml,scaleout,50.0,25.0,60,296,45.9,494.7,1.67,31,71,194
ml,scaleout,50.0,30.0,15,332,51.8,406.8,1.23,5,23,304
ml,scaleout,50.0,30.0,20,324,51.9,499.7,1.54,9,26,289
ml,scaleout,50.0,30.0,30,311,53.4,712.7,2.29,19,33,259
ml,scaleout,50.0,30.0,45,295,48.8,759.6,2.57,28,41,226
ml,scaleout,50.0,30.0,60,282,48.2,598.8,2.12,30,48,204
ml,scaleout,50.0,35.0,15,327,52.3,442.4,1.35,5,17,305
ml,scaleout,50.0,35.0,20,319,52.7,525.3,1.65,10,20,289
ml,scaleout,50.0,35.0,30,306,54.2,732.1,2.39,18,24,264
ml,scaleout,50.0,35.0,45,288,50.0,804.6,2.79,27,30,231
ml,scaleout,50.0,35.0,60,275,49.1,584.3,2.12,29,33,213
