tp,sl,horizon,n,wr,avg_pnl,net_pnl,gross_profit,gross_loss,profit_factor,expectancy
20,30,90,1156,0.5250865051903114,-0.09948096885812205,-114.99999999998909,11309.700000000008,11424.699999999997,0.9899340901730471,-0.09948096885812205
25,8,30,1841,0.29277566539923955,-0.3750624660510544,-690.4899999999911,9472.400000000003,10162.889999999996,0.932057711930367,-0.3750624660510544
25,8,45,1803,0.27842484747642815,-0.3108264004436997,-560.4199999999905,9605.880000000003,10166.299999999992,0.9448747331870996,-0.3108264004436997
25,8,60,1788,0.27293064876957496,-0.29734340044742147,-531.6499999999896,9684.300000000007,10215.949999999997,0.9479588290858911,-0.29734340044742147
25,8,90,1774,0.262119503945885,-0.22594701240134923,-400.82999999999356,9903.550000000007,10304.38,0.9611010075327198,-0.22594701240134923
25,10,30,1676,0.3394988066825776,-0.32470167064438915,-544.1999999999962,9963.280000000002,10507.48,0.948208323974921,-0.32470167064438915
25,10,45,1632,0.32169117647058826,-0.29645220588234816,-483.8099999999922,10064.560000000001,10548.369999999995,0.9541341458443348,-0.29645220588234816
25,10,60,1616,0.31992574257425743,-0.23915841584157968,-386.47999999999274,10239.690000000006,10626.169999999998,0.9636294168077499,-0.23915841584157968
25,10,90,1608,0.31094527363184077,-0.12131840796019641,-195.07999999999583,10559.780000000004,10754.86,0.9818612236700435,-0.12131840796019641
25,12,30,1568,0.37563775510204084,-0.33653061224489295,-527.6799999999921,10242.000000000004,10769.679999999997,0.9510031867242116,-0.33653061224489295
25,12,45,1525,0.3580327868852459,-0.31524590163933475,-480.74999999998545,10428.130000000005,10908.87999999999,0.9559303979876957,-0.31524590163933475
25,12,60,1508,0.3574270557029178,-0.22843501326259286,-344.47999999999,10652.150000000009,10996.629999999997,0.9686740392283828,-0.22843501326259286
25,12,90,1500,0.348,-0.16564666666666109,-248.46999999999161,10961.810000000009,11210.279999999999,0.9778355223955164,-0.16564666666666109
25,15,30,1442,0.4188626907073509,-0.2625104022191391,-378.5399999999986,10444.240000000003,10822.780000000002,0.965023773928695,-0.2625104022191391
25,15,45,1398,0.4062947067238913,-0.17862660944205605,-249.71999999999434,10645.74,10895.459999999995,0.9770803619122097,-0.17862660944205605
25,15,60,1373,0.40568099053168244,-0.142520029133284,-195.67999999999893,10824.800000000001,11020.48,0.9822439675948781,-0.142520029133284
25,15,90,1371,0.39606126914660833,-0.16234135667395874,-222.56999999999744,11214.350000000006,11436.920000000002,0.9805393410113915,-0.16234135667395874
25,20,30,1314,0.4687975646879756,0.04280821917808877,56.25000000000864,10543.730000000007,10487.48,1.005363538237976,0.04280821917808877
25,20,45,1265,0.4561264822134387,-0.04161264822133586,-52.63999999998987,10653.490000000002,10706.129999999992,0.9950831906580632,-0.04161264822133586
25,20,60,1247,0.4603047313552526,-0.01991178829189613,-24.82999999999447,10957.180000000006,10982.01,0.9977390295583418,-0.01991178829189613
25,20,90,1234,0.4554294975688817,-0.026466774716365358,-32.65999999999485,11344.150000000005,11376.81,0.9971292480053728,-0.026466774716365358
25,25,30,1233,0.4931062449310625,-0.05600162206000641,-69.0499999999879,10379.510000000006,10448.559999999994,0.9933914338435164,-0.05600162206000641
25,25,45,1183,0.47844463229078615,-0.07051563820793481,-83.41999999998689,10457.92,10541.339999999987,0.9920863950882917,-0.07051563820793481
25,25,60,1166,0.4922813036020583,-0.05638936535162326,-65.74999999999272,10821.060000000001,10886.809999999994,0.9939605816579886,-0.05638936535162326
