eh,tpx,slx,rr,pt,nt,pnl,wr,dd
360,0.5,0.25,2.0,0.5,130,659.2438150942339,43.84615384615385,-240.36858311427113
360,0.65,0.25,2.6,0.55,51,657.7652423957607,47.05882352941176,-182.1969640201478
360,0.55,0.2,2.75,0.5,88,655.1206116837707,50.0,-204.38492923194417
240,0.6,0.25,2.4,0.45,45,649.4988635080708,57.77777777777777,-138.93716162978217
480,0.55,0.2,2.75,0.4,179,649.2265710800561,36.312849162011176,-450.01787093190205
240,0.5,0.35,1.4285714285714286,0.45,86,645.9387421532833,52.32558139534884,-218.9459019736978
360,0.55,0.3,1.8333333333333335,0.4,158,645.7938290384654,46.835443037974684,-332.70609634493167
360,0.5,0.2,2.5,0.45,147,639.6782259692477,42.857142857142854,-204.5155989149266
480,0.55,0.2,2.75,0.45,145,628.8127532900144,37.93103448275862,-391.55168912762156
480,0.65,0.2,3.25,0.45,92,628.1582329642524,34.78260869565217,-333.7264505447579
240,0.6,0.35,1.7142857142857144,0.5,41,619.2258622662771,46.34146341463415,-117.30000000000018
240,0.5,0.3,1.6666666666666667,0.4,93,613.8137965418637,51.61290322580645,-169.46876532166198
240,0.6,0.4,1.4999999999999998,0.45,60,610.973321571269,48.333333333333336,-150.99150369870767
480,0.5,0.2,2.5,0.45,181,605.4606169803774,33.70165745856354,-398.5758903769606
240,0.65,0.3,2.166666666666667,0.5,32,602.4377371787427,59.375,-107.24595871036763
360,0.5,0.35,1.4285714285714286,0.45,165,602.1259123232862,45.45454545454545,-275.6772787125851
240,0.6,0.35,1.7142857142857144,0.45,59,602.0065356224181,45.76271186440678,-142.82725695132376
480,0.65,0.3,2.166666666666667,0.55,67,601.9000306247553,50.74626865671642,-379.29170038807115
360,0.7,0.25,2.8,0.4,74,597.3557838928759,51.35135135135135,-167.68954714144184
360,0.65,0.35,1.8571428571428574,0.55,58,595.0852420293904,51.724137931034484,-120.20774561285543
480,0.7,0.2,3.4999999999999996,0.4,94,593.3533955810399,40.42553191489361,-228.6159220298323
360,0.5,0.3,1.6666666666666667,0.45,162,587.7115618007315,44.44444444444444,-349.46982574433605
240,0.6,0.25,2.4,0.5,40,587.6436077173157,55.00000000000001,-140.78716162978253
360,0.55,0.2,2.75,0.55,65,576.6126226784681,52.307692307692314,-120.75615072308392
240,0.6,0.3,2.0,0.5,45,576.4473422000765,48.888888888888886,-151.7742969778701
360,0.65,0.35,1.8571428571428574,0.4,94,575.9005081347173,48.93617021276596,-292.5348843180809
240,0.6,0.4,1.4999999999999998,0.4,70,575.2202043002667,47.14285714285714,-250.39680610574032
240,0.6,0.3,2.0,0.45,57,574.1755435669529,49.122807017543856,-153.6743105606165
240,0.65,0.4,1.625,0.4,52,573.6434636921599,44.230769230769226,-194.80703680627084
360,0.6,0.3,2.0,0.5,77,573.3555776477838,51.94805194805194,-407.4099930559496
480,0.65,0.2,3.25,0.5,69,570.4746273403707,40.57971014492754,-172.1231411724143
360,0.6,0.2,2.9999999999999996,0.4,97,567.3387685034045,42.2680412371134,-339.3635140037004
480,0.6,0.15,4.0,0.55,53,563.6186064670719,39.62264150943396,-114.99259119512726
240,0.6,0.3,2.0,0.4,62,561.553908977854,50.0,-205.76859395573956
480,0.55,0.4,1.375,0.5,141,560.7242852608051,48.226950354609926,-349.4683331199444
240,0.5,0.35,1.4285714285714286,0.5,76,546.9065590051978,52.63157894736842,-247.60360676119626
480,0.55,0.4,1.375,0.45,178,545.7968670835521,46.62921348314607,-576.2434409644989
240,0.65,0.3,2.166666666666667,0.4,56,545.6763930236634,48.214285714285715,-162.1619104584097
240,0.65,0.2,3.25,0.4,43,540.7933184593048,39.53488372093023,-124.65717193222736
480,0.6,0.15,4.0,0.4,112,535.6404857832817,33.035714285714285,-213.20708768809618
360,0.65,0.3,2.166666666666667,0.55,53,531.2195863226912,47.16981132075472,-199.26962149707379
360,0.65,0.3,2.166666666666667,0.45,82,531.106186320174,45.1219512195122,-341.7952928238683
360,0.7,0.25,2.8,0.45,63,530.2584831759373,50.79365079365079,-154.33498826293544
240,0.6,0.3,2.0,0.55,39,530.0607867919921,48.717948717948715,-151.7742969778701
240,0.65,0.25,2.6,0.4,49,528.4308701632453,48.97959183673469,-109.03764594275663
360,0.65,0.35,1.8571428571428574,0.5,68,528.344198144724,50.0,-176.60392975223112
360,0.55,0.4,1.375,0.55,92,522.4876052099326,54.347826086956516,-300.1399513521101
240,0.5,0.35,1.4285714285714286,0.4,106,515.8087618503837,49.056603773584904,-231.74979587413873
480,0.6,0.15,4.0,0.45,92,515.0621143850758,33.69565217391305,-178.46015655194014
360,0.55,0.3,1.8333333333333335,0.45,132,514.6074527166584,46.21212121212121,-362.91923599998154
240,0.5,0.3,1.6666666666666667,0.45,75,511.5917536147308,49.333333333333336,-207.9575378733175
480,0.6,0.15,4.0,0.5,69,506.8265923204817,36.231884057971016,-121.90348735572297
360,0.55,0.35,1.5714285714285716,0.45,139,505.87296975396475,48.201438848920866,-410.0470038203571
480,0.7,0.35,2.0,0.55,52,500.7454423529198,44.230769230769226,-182.0120508650134
360,0.45,0.25,1.8,0.45,181,498.66206986443194,41.43646408839779,-390.16321871510536
360,0.5,0.35,1.4285714285714286,0.4,201,498.5369954623011,44.776119402985074,-456.30907304910943
480,0.5,0.2,2.5,0.5,145,498.3838504810219,33.793103448275865,-455.5744808529689
