side,signal_ts,entry_time,entry_price,stop,target,timeout,tp,sl,horizon,target_updates,stop_updates,exit_time,exit_price,exit_reason,pnl,win,minute_in_15m,slot_rip_pts,prev_15m_body,month,hour_lon
-1,2025-11-04 13:09:00+00:00,2025-11-04 13:10:00+00:00,3991.54,4026.54,3941.54,2025-11-04 14:10:00+00:00,50.0,35.0,60,0,0,2025-11-04 14:10:00+00:00,3969.72,timeout,21.820000000000164,True,9,5.680000000000291,4.2400000000002365,2025-11,13
-1,2025-11-05 08:05:00+00:00,2025-11-05 08:06:00+00:00,3982.18,4017.18,3932.18,2025-11-05 09:09:00+00:00,50.0,35.0,60,4,0,2025-11-05 09:09:00+00:00,3978.5,timeout,3.6799999999998363,True,5,6.889999999999873,2.8700000000003456,2025-11,8
-1,2025-11-05 13:23:00+00:00,2025-11-05 13:24:00+00:00,3974.31,4009.31,3924.31,2025-11-05 14:24:00+00:00,50.0,35.0,60,1,0,2025-11-05 14:24:00+00:00,3982.06,timeout,-7.75,False,8,5.980000000000018,4.829999999999927,2025-11,13
-1,2025-11-05 16:51:00+00:00,2025-11-05 16:52:00+00:00,3989.14,4024.14,3939.14,2025-11-05 17:52:00+00:00,50.0,35.0,60,0,0,2025-11-05 17:52:00+00:00,3982.28,timeout,6.859999999999673,True,6,5.029999999999745,3.4900000000002365,2025-11,16
-1,2025-11-06 11:38:00+00:00,2025-11-06 11:39:00+00:00,4015.73,4050.73,3965.73,2025-11-06 12:39:00+00:00,50.0,35.0,60,1,0,2025-11-06 12:39:00+00:00,4008.89,timeout,6.8400000000001455,True,8,5.369999999999891,0.9600000000000364,2025-11,11
-1,2025-11-07 12:06:00+00:00,2025-11-07 12:07:00+00:00,4008.15,4043.15,3958.15,2025-11-07 13:07:00+00:00,50.0,35.0,60,0,0,2025-11-07 13:07:00+00:00,3999.35,timeout,8.800000000000182,True,6,5.019999999999527,2.880000000000109,2025-11,12
-1,2025-11-07 16:24:00+00:00,2025-11-07 16:25:00+00:00,4005.19,4040.19,3955.19,2025-11-07 17:39:00+00:00,50.0,35.0,60,6,0,2025-11-07 17:39:00+00:00,3998.59,timeout,6.599999999999909,True,9,6.900000000000091,3.599999999999909,2025-11,16
-1,2025-11-10 12:20:00+00:00,2025-11-10 12:21:00+00:00,4093.48,4128.48,4043.48,2025-11-10 13:54:00+00:00,50.0,35.0,60,5,0,2025-11-10 13:54:00+00:00,4092.26,timeout,1.2199999999998,True,5,5.470000000000255,4.289999999999964,2025-11,12
-1,2025-11-10 15:21:00+00:00,2025-11-10 15:22:00+00:00,4093.25,4128.25,4042.9,2025-11-10 16:24:00+00:00,50.0,35.0,60,3,0,2025-11-10 16:24:00+00:00,4092.75,timeout,0.5,True,6,6.079999999999927,1.7800000000002,2025-11,15
-1,2025-11-10 18:21:00+00:00,2025-11-10 18:22:00+00:00,4110.92,4145.92,4060.92,2025-11-10 19:22:00+00:00,50.0,35.0,60,0,0,2025-11-10 19:22:00+00:00,4111.38,timeout,-0.4600000000000364,False,6,5.5700000000006185,5.789999999999964,2025-11,18
-1,2025-11-11 08:04:00+00:00,2025-11-11 08:05:00+00:00,4134.95,4169.95,4084.71,2025-11-11 09:06:00+00:00,50.0,35.0,60,2,0,2025-11-11 09:06:00+00:00,4141.25,timeout,-6.300000000000182,False,4,5.4399999999996,1.4899999999997817,2025-11,8
-1,2025-11-11 13:34:00+00:00,2025-11-11 13:35:00+00:00,4145.25,4180.25,4094.79,2025-11-11 14:39:00+00:00,50.0,35.0,60,4,0,2025-11-11 14:39:00+00:00,4128.81,timeout,16.4399999999996,True,4,5.6299999999992,1.9900000000006912,2025-11,13
-1,2025-11-11 16:07:00+00:00,2025-11-11 16:08:00+00:00,4111.75,4146.75,4061.59,2025-11-11 17:39:00+00:00,50.0,35.0,60,5,0,2025-11-11 17:39:00+00:00,4113.47,timeout,-1.7200000000002547,False,7,5.6200000000008,6.789999999999054,2025-11,16
-1,2025-11-12 08:20:00+00:00,2025-11-12 08:21:00+00:00,4123.89,4158.89,4073.8900000000003,2025-11-12 09:24:00+00:00,50.0,35.0,60,4,0,2025-11-12 09:24:00+00:00,4128.78,timeout,-4.889999999999418,False,5,6.309999999999491,4.3700000000008,2025-11,8
-1,2025-11-12 10:39:00+00:00,2025-11-12 10:40:00+00:00,4125.29,4160.29,4075.29,2025-11-12 11:40:00+00:00,50.0,35.0,60,0,0,2025-11-12 11:40:00+00:00,4126.74,timeout,-1.449999999999818,False,9,5.8100000000004,2.139999999999418,2025-11,10
-1,2025-11-12 14:04:00+00:00,2025-11-12 14:05:00+00:00,4133.08,4168.08,4083.08,2025-11-12 16:09:00+00:00,50.0,35.0,60,9,0,2025-11-12 15:16:00+00:00,4168.08,stop_loss,-35.0,False,4,5.509999999999309,0.020000000000436557,2025-11,14
-1,2025-11-12 15:16:00+00:00,2025-11-12 15:17:00+00:00,4167.09,4202.09,4117.09,2025-11-12 17:09:00+00:00,50.0,35.0,60,15,0,2025-11-12 17:04:00+00:00,4202.09,stop_loss,-35.0,False,1,5.210000000000036,1.7800000000006548,2025-11,15
-1,2025-11-13 13:24:00+00:00,2025-11-13 13:25:00+00:00,4236.45,4271.45,4186.45,2025-11-13 14:25:00+00:00,50.0,35.0,60,0,0,2025-11-13 14:25:00+00:00,4213.14,timeout,23.30999999999949,True,9,5.719999999999345,3.3900000000003274,2025-11,13
-1,2025-11-13 17:48:00+00:00,2025-11-13 17:49:00+00:00,4202.46,4237.46,4152.46,2025-11-13 18:54:00+00:00,50.0,35.0,60,6,0,2025-11-13 18:35:00+00:00,4152.46,target_hit,50.0,True,3,5.059999999999491,7.649999999999636,2025-11,17
-1,2025-11-13 19:18:00+00:00,2025-11-13 19:19:00+00:00,4158.02,4193.02,4107.07,2025-11-13 20:39:00+00:00,50.0,35.0,60,9,0,2025-11-13 20:39:00+00:00,4167.47,timeout,-9.449999999999818,False,3,6.950000000000728,3.2600000000002183,2025-11,19
-1,2025-11-14 08:19:00+00:00,2025-11-14 08:20:00+00:00,4182.21,4217.21,4132.21,2025-11-14 09:20:00+00:00,50.0,35.0,60,0,0,2025-11-14 09:20:00+00:00,4171.37,timeout,10.840000000000146,True,4,5.789999999999054,3.3299999999999272,2025-11,8
-1,2025-11-14 12:04:00+00:00,2025-11-14 12:05:00+00:00,4137.36,4172.36,4087.3599999999997,2025-11-14 13:08:00+00:00,50.0,35.0,60,4,0,2025-11-14 13:08:00+00:00,4106.58,timeout,30.779999999999745,True,4,5.010000000000218,0.22999999999956344,2025-11,12
-1,2025-11-14 14:37:00+00:00,2025-11-14 14:38:00+00:00,4061.45,4096.45,4011.45,2025-11-14 15:54:00+00:00,50.0,35.0,60,5,0,2025-11-14 15:51:00+00:00,4096.45,stop_loss,-35.0,False,7,7.339999999999691,7.450000000000273,2025-11,14
