
======================================================================
  GOLD v16 COMBINED (merged portfolio)
  Period: 2025-06-01 → 2026-06-25
======================================================================
  Total Trades: 912
  Net PnL     : +6906.64 pts
  Win Rate    : 53.0%
  Avg/trade   : +7.57
  Max DD      : -262.18

  By source:
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    pattern             :  332 trades  PnL=+3345.5  WR=55%  avg=+10.08
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By leg:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By matched_pattern:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23

  LONG total :  402  PnL=+3042.7  WR=54%
  SHORT total:  510  PnL=+3863.9  WR=52%

────────────────────────────────────────────────────────────
  ALL TRADES (HKT)
────────────────────────────────────────────────────────────
  entry_hkt exit_hkt  dir entry_price exit_price     pnl exit_reason            pattern
11-14 01:51    02:32 down        None       None  35.000                  v16_dip_short
11-14 03:19    04:24 down        None       None  -7.770                  v16_dip_short
11-14 19:17    19:40 down        None       None  -9.710                   v16_momentum
11-14 20:04    07:01 down        None       None  49.500                   v16_momentum
11-17 19:35    20:22 down        None       None  -4.540                  v16_dip_short
11-17 22:39    23:24 down        None       None   1.690                  v16_dip_short
11-18 04:51    05:37 down        None       None  -7.130                  v16_dip_short
11-18 16:41    17:10   up        None       None  -6.360              reversal_fvg_long
11-18 21:38    22:11   up        None       None   5.340              reversal_fvg_long
11-20 01:51    02:37 down        None       None  -3.210                  v16_dip_short
11-20 17:37    18:22 down        None       None   3.530                  v16_dip_short
11-20 21:07    23:04 down        None       None  -1.930                  v16_dip_short
11-21 02:02    07:45   up        None       None  19.110                   v16_momentum
11-21 17:47    20:00 down        None       None  16.880                   v16_momentum
11-21 20:32    21:04   up        None       None  -1.040              reversal_fvg_long
11-22 00:52    01:37 down        None       None  14.890                  v16_dip_short
11-25 02:48    15:00   up        None       None  31.560                   v16_momentum
11-25 18:17    18:25   up        None       None  -8.830                   v16_momentum
11-25 19:17    20:44   up        None       None  -8.480                   v16_momentum
11-25 21:02    21:45   up        None       None  15.240                   v16_momentum
11-26 01:34    02:19 down        None       None  11.460                  v16_dip_short
11-28 22:39    23:24 down        None       None  11.890                  v16_dip_short
12-01 09:59    10:14   up        None       None  -5.500              reversal_fvg_long
12-02 09:14    09:44 down        None       None -10.530                      energetic
12-02 17:17    21:00 down        None       None  -6.800                   v16_momentum
12-02 22:51    23:25 down        None       None  35.000                  v16_dip_short
12-03 00:37    01:22 down        None       None  -4.640                  v16_dip_short
12-04 22:10    22:55 down        None       None  -0.040                  v16_dip_short
12-11 03:35    04:20 down        None       None -23.920                  v16_dip_short
12-11 23:52    00:37 down        None       None   0.080                  v16_dip_short
12-12 03:05    03:51 down        None       None  -3.810                  v16_dip_short
12-12 18:39    19:24 down        None       None -11.190                  v16_dip_short
12-15 22:02    00:45 down        None       None  40.500                   v16_momentum
12-16 02:39    03:24 down        None       None  -2.500                  v16_dip_short
12-17 01:02    02:22   up        None       None  -7.210                   v16_momentum
