fast_h,slow_h,ob,cool,os,rec,slk,exec_h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
15,90,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,2720,581,21.360294117647058,29.040333832589855,12.445857356824222,581
15,60,-20,-40,-70,-40,10,360,0.3,0.2,1.4999999999999998,2110,574,27.20379146919431,24.877036429185846,16.58469095279057,573
15,60,-10,-50,-70,-50,5,240,0.3,0.2,1.4999999999999998,2468,571,23.136142625607782,24.346668385853814,16.231112257235882,571
15,60,-10,-50,-70,-50,10,360,0.35,0.15,2.3333333333333335,2579,570,22.101589763474212,28.5566655132778,12.238570934261915,569
15,60,-20,-40,-70,-40,5,360,0.3,0.2,1.4999999999999998,2070,569,27.48792270531401,24.903734162208252,16.602489441472173,569
15,90,-10,-40,-70,-50,10,360,0.4,0.2,2.0,2720,569,20.919117647058822,33.18895295153127,16.594476475765635,569
30,60,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,2343,565,24.114383269312846,28.614710385469305,16.351263077411033,565
15,60,-10,-50,-70,-50,10,360,0.4,0.2,2.0,2579,564,21.868941450174486,32.636189158031776,16.318094579015888,564
15,90,-20,-40,-70,-50,5,240,0.3,0.15,2.0,2752,564,20.49418604651163,25.017486848417025,12.508743424208513,564
30,60,-20,-40,-70,-50,10,360,0.3,0.15,2.0,2259,562,24.87826471890217,24.204516522353522,12.102258261176761,562
15,60,-20,-40,-80,-50,5,360,0.3,0.15,2.0,2285,562,24.595185995623634,25.003692494403886,12.501846247201943,562
15,60,-10,-40,-70,-40,10,360,0.3,0.2,1.4999999999999998,2070,561,27.10144927536232,24.83470546084565,16.556470307230434,561
30,60,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,2259,560,24.78972996901284,28.238602609412442,16.13634434823568,560
30,60,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,1997,558,27.94191286930396,24.25424562281747,16.16949708187832,558
15,60,-10,-40,-70,-40,5,360,0.3,0.2,1.4999999999999998,2033,557,27.39793408755534,24.86281666878156,16.57521111252104,557
15,60,-20,-50,-70,-50,5,360,0.35,0.15,2.3333333333333335,2541,554,21.802439984258164,28.526946068712537,12.22583402944823,553
15,60,-20,-50,-70,-50,5,360,0.4,0.2,2.0,2541,551,21.684376229830775,32.602224078528614,16.301112039264307,551
