pattern,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
F30S120,30,120,-20,-40,-70,-50,5,240,0.7,0.1,6.999999999999999,0.45,2,-13.73632105381239,0.0,-7.008619741997791
F30S120,30,120,-20,-40,-70,-50,5,240,0.7,0.1,6.999999999999999,0.4,2,-13.73632105381239,0.0,-7.008619741997791
F30S120,30,120,-20,-40,-70,-50,5,240,0.7,0.1,6.999999999999999,0.5,2,-13.73632105381239,0.0,-7.008619741997791
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.1,6.5,0.55,6,-14.449209739879734,16.666666666666664,-43.37432477888797
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.25,1.4,0.5,52,-15.014161616034471,46.15384615384615,-208.53696522563314
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.25,2.8,0.4,83,-15.080748702194796,43.373493975903614,-328.1787758888204
F30S120,30,120,-20,-40,-70,-50,5,240,0.5,0.1,5.0,0.45,11,-15.448509586608452,18.181818181818183,-25.356325014718095
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.3,2.166666666666667,0.5,87,-15.797611198286177,42.5287356321839,-363.228214112115
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.1,5.5,0.4,136,-16.620797112297623,21.323529411764707,-278.6127687954049
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.15,3.0,0.55,155,-16.872182898830033,27.741935483870968,-402.038771090969
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.15,3.3333333333333335,0.55,24,-17.11378531900891,29.166666666666668,-165.11127848404976
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.15,4.333333333333334,0.55,11,-18.078921584884483,27.27272727272727,-122.697426208646
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.1,2.9999999999999996,0.55,169,-18.64737308586473,25.443786982248522,-306.0494587528551
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.1,6.999999999999999,0.4,7,-18.950847287774195,14.285714285714285,-44.81575054258701
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.1,4.5,0.55,15,-20.13500685322424,26.666666666666668,-62.583273299604116
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.25,2.6,0.4,122,-20.13720560724005,38.52459016393443,-403.29845267730616
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.5,44,-21.25510229293377,40.909090909090914,-188.97709417589704
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.2,3.25,0.55,11,-21.330221830377468,27.27272727272727,-91.66928582312812
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.1,4.5,0.45,21,-21.36482319376273,23.809523809523807,-47.05874581777516
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.4,63,-21.73958334171948,38.095238095238095,-365.8882645639369
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.25,2.2,0.4,198,-22.369765852013643,40.4040404040404,-748.6761852202362
F30S120,30,120,-20,-40,-70,-50,5,240,0.3,0.1,2.9999999999999996,0.55,10,-22.996029181996164,20.0,-32.61637362062902
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.45,54,-24.24202254281363,38.88888888888889,-230.10735411937003
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.3,1.5,0.45,48,-24.262036028343573,45.83333333333333,-367.19947748544564
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.2,2.5,0.4,232,-27.17741350337701,34.91379310344828,-569.5582289374902
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.4,1.7499999999999998,0.4,11,-27.657041273399045,45.45454545454545,-94.55810992731767
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.45,346,-27.670209122930828,37.57225433526011,-697.0006479628478
F30S120,30,120,-20,-40,-70,-50,5,240,0.3,0.1,2.9999999999999996,0.5,11,-28.103236473074503,18.181818181818183,-39.34407493244362
