entry,exit,pnl,reason,type,side,entry_price,exit_price,_leg,_prob
2026-03-24 09:00:00+00:00,2026-03-24 09:15:00+00:00,-15.0,sl,long_ret,1,9081.4,9066.4,long_ret,0.5266420841217041
2026-03-24 10:15:00+00:00,2026-03-24 10:30:00+00:00,-15.0,sl,long_ret,1,8975.5,8960.5,long_ret,0.622850239276886
2026-03-24 11:15:00+00:00,2026-03-24 11:30:00+00:00,30.0,tp,long_ret,1,9024.3,9054.3,long_ret,0.7646177411079407
2026-03-24 12:30:00+00:00,2026-03-24 12:45:00+00:00,30.0,tp,long_ret,1,9144.9,9174.9,long_ret,0.6032180190086365
2026-03-24 14:15:00+00:00,2026-03-24 14:30:00+00:00,30.0,tp,long_ret,1,9135.1,9165.1,long_ret,0.5080382823944092
2026-03-24 15:30:00+00:00,2026-03-24 15:45:00+00:00,30.0,tp,long_ret,1,9126.0,9156.0,long_ret,0.5433911085128784
2026-03-24 16:00:00+00:00,2026-03-24 16:15:00+00:00,-15.0,sl,long_ret,1,9208.0,9193.0,long_ret,0.578326940536499
2026-03-25 08:45:00+00:00,2026-03-25 09:00:00+00:00,-15.0,sl,long_ret,1,8729.6,8714.6,long_ret,0.5133407711982727
2026-03-25 09:15:00+00:00,2026-03-25 09:30:00+00:00,30.0,tp,long_ret,1,8790.0,8820.0,long_ret,0.5081329345703125
2026-03-25 10:15:00+00:00,2026-03-25 10:30:00+00:00,-15.0,sl,long_ret,1,8734.1,8719.1,long_ret,0.5616546869277954
2026-03-25 11:15:00+00:00,2026-03-25 11:30:00+00:00,30.0,tp,long_ret,1,8651.4,8681.4,long_ret,0.7466729879379272
2026-03-25 12:15:00+00:00,2026-03-25 12:30:00+00:00,30.0,tp,long_ret,1,8852.2,8882.2,long_ret,0.5368734002113342
2026-03-25 14:30:00+00:00,2026-03-25 14:45:00+00:00,30.0,tp,long_ret,1,8842.2,8872.2,long_ret,0.5435618758201599
2026-03-25 15:30:00+00:00,2026-03-25 15:45:00+00:00,30.0,tp,long_ret,1,8923.7,8953.7,long_ret,0.6813899874687195
2026-03-25 16:30:00+00:00,2026-03-25 16:45:00+00:00,30.0,tp,long_ret,1,8970.3,9000.3,long_ret,0.5801466107368469
2026-03-26 11:15:00+00:00,2026-03-26 11:30:00+00:00,30.0,tp,long_ret,1,9303.7,9333.7,long_ret,0.737856924533844
2026-03-26 14:15:00+00:00,2026-03-26 14:30:00+00:00,30.0,tp,long_ret,1,9244.9,9274.9,long_ret,0.5220280289649963
2026-03-26 15:00:00+00:00,2026-03-26 15:15:00+00:00,-15.0,sl,long_ret,1,9351.2,9336.2,long_ret,0.5902467370033264
2026-03-27 09:45:00+00:00,2026-03-27 10:00:00+00:00,-15.0,sl,long_ret,1,9533.0,9518.0,long_ret,0.663658857345581
2026-03-27 10:15:00+00:00,2026-03-27 10:30:00+00:00,30.0,tp,long_ret,1,9556.0,9586.0,long_ret,0.7310113906860352
2026-03-27 12:00:00+00:00,2026-03-27 12:15:00+00:00,-15.0,sl,long_ret,1,9611.3,9596.3,long_ret,0.6611625552177429
2026-03-27 13:30:00+00:00,2026-03-27 13:45:00+00:00,30.0,tp,long_ret,1,9643.1,9673.1,long_ret,0.7594422101974487
2026-03-27 15:30:00+00:00,2026-03-27 15:45:00+00:00,30.0,tp,long_ret,1,9658.9,9688.9,long_ret,0.508145809173584
2026-03-30 12:00:00+00:00,2026-03-30 12:15:00+00:00,-15.0,sl,long_ret,1,9939.6,9924.6,long_ret,0.7636459469795227
2026-03-30 13:15:00+00:00,2026-03-30 13:30:00+00:00,30.0,tp,long_ret,1,9977.5,10007.5,long_ret,0.6032456159591675
2026-03-30 15:00:00+00:00,2026-03-30 15:15:00+00:00,-15.0,sl,long_ret,1,10039.1,10024.1,long_ret,0.5649863481521606
2026-03-31 09:30:00+00:00,2026-03-31 09:45:00+00:00,30.0,tp,long_ret,1,10072.9,10102.9,long_ret,0.5267847776412964
2026-04-01 08:00:00+00:00,2026-04-01 08:15:00+00:00,30.0,tp,long_ret,1,9587.5,9617.5,long_ret,0.5374174118041992
2026-04-01 08:45:00+00:00,2026-04-01 09:00:00+00:00,30.0,tp,long_ret,1,9626.8,9656.8,long_ret,0.6668217778205872
2026-04-01 10:15:00+00:00,2026-04-01 10:30:00+00:00,-15.0,sl,long_ret,1,9724.9,9709.9,long_ret,0.6033104062080383
2026-04-01 11:45:00+00:00,2026-04-01 12:00:00+00:00,-15.0,sl,long_ret,1,9571.1,9556.1,long_ret,0.7272258400917053
2026-04-01 12:15:00+00:00,2026-04-01 12:30:00+00:00,30.0,tp,long_ret,1,9631.0,9661.0,long_ret,0.7266630530357361
