entry,exit,pnl,reason,type,side,entry_price,exit_price
2026-03-10 16:00:00+00:00,2026-03-10 16:15:00+00:00,60.0,tp,wr90,1,8350.4,8410.4
2026-03-13 12:30:00+00:00,2026-03-13 12:45:00+00:00,-20.0,sl,wr90,1,9312.4,9292.4
2026-03-17 14:00:00+00:00,2026-03-17 14:15:00+00:00,-20.0,sl,wr90,1,9458.9,9438.9
2026-03-31 13:30:00+00:00,2026-03-31 13:45:00+00:00,-20.0,sl,wr90,1,10078.9,10058.9
2026-04-01 08:00:00+00:00,2026-04-01 08:15:00+00:00,60.0,tp,wr90,1,9522.3,9582.3
2026-04-01 12:30:00+00:00,2026-04-01 12:45:00+00:00,60.0,tp,wr90,1,9625.2,9685.2
2026-04-01 15:00:00+00:00,2026-04-01 15:15:00+00:00,-20.0,sl,wr90,1,9589.8,9569.8
2026-04-02 15:00:00+00:00,2026-04-02 15:15:00+00:00,-20.0,sl,wr90,1,10286.8,10266.8
2026-04-06 08:30:00+00:00,2026-04-06 08:45:00+00:00,-20.0,sl,wr90,1,10297.7,10277.7
2026-04-07 10:00:00+00:00,2026-04-07 10:15:00+00:00,60.0,tp,wr90,1,10413.0,10473.0
2026-04-08 13:30:00+00:00,2026-04-08 13:45:00+00:00,60.0,tp,wr90,1,8827.4,8887.4
2026-04-10 11:15:00+00:00,2026-04-10 11:30:00+00:00,-20.0,sl,wr90,1,9282.9,9262.9
2026-04-13 14:15:00+00:00,2026-04-13 14:30:00+00:00,-20.0,sl,wr90,1,9561.0,9541.0
2026-04-15 14:45:00+00:00,2026-04-15 15:15:00+00:00,60.0,tp,wr90,1,8930.6,8990.6
2026-04-17 10:45:00+00:00,2026-04-17 11:00:00+00:00,-20.0,sl,wr90,1,8837.5,8817.5
2026-04-17 15:30:00+00:00,2026-04-17 15:45:00+00:00,-20.0,sl,wr90,1,8192.4,8172.4
2026-04-23 12:45:00+00:00,2026-04-23 13:00:00+00:00,-20.0,sl,wr90,1,9335.7,9315.7
2026-04-24 11:45:00+00:00,2026-04-24 12:00:00+00:00,-20.0,sl,wr90,1,9408.5,9388.5
2026-04-24 12:30:00+00:00,2026-04-24 12:45:00+00:00,60.0,tp,wr90,1,9435.9,9495.9
