side,signal_ts,entry_time,entry_price,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win,struct_trend,struct_last_kind,struct_last_swing_price,struct_dist_pts,struct_leg_pts,struct_prior_leg_pts,struct_pullback_pct,struct_leg_age_15m,struct_hh,struct_hl,struct_lh,struct_ll,struct_aligned,with_trend,counter_trend,range_regime
1,2026-03-05 08:00:00+00:00,2026-03-05 08:01:00+00:00,5162.21,5157.88,5175.2,4.329999999999927,12.989999999999782,120,2026-03-05 10:01:00+00:00,5157.88,5167.14,0,2026-03-05 08:01:00+00:00,5157.88,stop_loss,-4.329999999999927,False,0.0,-1.0,5120.08,41.344999999999345,41.344999999999345,87.8700000000008,0.4705246386707519,7.0,0.0,1.0,1.0,0.0,0.0,False,False,True
-1,2026-03-05 08:15:00+00:00,2026-03-05 08:16:00+00:00,5141.56,5162.27,5079.43,20.710000000000036,62.13000000000011,120,2026-03-05 10:30:00+00:00,5157.2,5162.27,1,2026-03-05 08:37:00+00:00,5162.27,stop_loss,-20.710000000000036,False,0.0,-1.0,5120.08,22.024999999999636,22.024999999999636,87.8700000000008,0.2506543757823994,8.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
1,2026-03-05 08:45:00+00:00,2026-03-05 08:46:00+00:00,5167.02,5143.6,5237.280000000001,23.420000000000073,70.26000000000022,120,2026-03-05 14:30:00+00:00,5143.6,5150.17,6,2026-03-05 13:16:00+00:00,5143.6,stop_loss,-23.420000000000073,False,0.0,-1.0,5120.08,46.61000000000058,46.61000000000058,87.8700000000008,0.5304426994423598,10.0,0.0,1.0,1.0,0.0,0.0,False,False,True
-1,2026-03-05 13:30:00+00:00,2026-03-05 13:31:00+00:00,5115.78,5160.86,4980.54,45.07999999999993,135.23999999999978,120,2026-03-05 22:45:00+00:00,5136.61,5160.86,16,2026-03-05 23:01:00+00:00,5090.76,timeout,25.019999999999527,True,-1.0,-1.0,5076.37,40.904999999999745,40.904999999999745,61.69999999999982,0.6629659643435959,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False
-1,2026-03-06 08:15:00+00:00,2026-03-06 08:16:00+00:00,5114.78,5121.43,5094.829999999998,6.650000000000546,19.950000000001637,120,2026-03-06 10:30:00+00:00,5115.86,5121.43,1,2026-03-06 09:13:00+00:00,5094.829999999998,target_hit,19.950000000001637,True,-1.0,1.0,5144.03,-28.800000000000182,28.800000000000182,105.40999999999985,0.2732188596907335,25.0,0.0,0.0,1.0,1.0,1.0,True,False,False
-1,2026-03-06 09:15:00+00:00,2026-03-06 09:16:00+00:00,5095.04,5109.66,5051.18,14.61999999999989,43.85999999999967,120,2026-03-06 15:15:00+00:00,5104.46,5109.66,8,2026-03-06 13:30:00+00:00,5109.66,stop_loss,-14.61999999999989,False,-1.0,1.0,5144.03,-47.835000000000036,47.835000000000036,105.40999999999985,0.4537994497675752,29.0,0.0,0.0,1.0,1.0,1.0,True,False,False
1,2026-03-06 13:30:00+00:00,2026-03-06 13:31:00+00:00,5119.78,5073.5,5258.619999999999,46.279999999999745,138.83999999999924,120,2026-03-06 20:45:00+00:00,5073.5,5078.82,10,2026-03-06 20:45:00+00:00,5159.04,timeout,39.26000000000022,True,-1.0,-1.0,5062.37,56.50500000000011,56.50500000000011,67.65999999999985,0.8351315400532107,6.0,0.0,0.0,1.0,1.0,-1.0,False,True,False
1,2026-03-06 20:45:00+00:00,2026-03-06 20:46:00+00:00,5158.84,5150.76,5183.08,8.079999999999927,24.23999999999978,120,2026-03-06 22:46:00+00:00,5150.76,5156.16,0,2026-03-06 20:59:00+00:00,5150.76,stop_loss,-8.079999999999927,False,-1.0,-1.0,5062.37,97.17000000000007,97.17000000000007,67.65999999999985,1.4361513449600987,35.0,0.0,0.0,1.0,1.0,-1.0,False,True,False
-1,2026-03-09 08:45:00+00:00,2026-03-09 08:46:00+00:00,5088.75,5093.91,5073.27,5.1599999999998545,15.479999999999563,120,2026-03-09 10:46:00+00:00,5086.77,5093.91,0,2026-03-09 08:48:00+00:00,5093.91,stop_loss,-5.1599999999998545,False,-1.0,1.0,5141.79,-53.39000000000033,53.39000000000033,184.66000000000076,0.2891259612260376,11.0,0.0,0.0,1.0,1.0,1.0,True,False,False
1,2026-03-09 09:00:00+00:00,2026-03-09 09:01:00+00:00,5098.32,5086.8,5132.879999999998,11.519999999999527,34.55999999999858,120,2026-03-09 11:30:00+00:00,5086.8,5092.17,1,2026-03-09 09:33:00+00:00,5132.879999999998,target_hit,34.55999999999858,True,-1.0,1.0,5141.79,-44.88000000000011,44.88000000000011,184.66000000000076,0.24304126502761791,12.0,0.0,0.0,1.0,1.0,-1.0,False,True,False
-1,2026-03-09 09:45:00+00:00,2026-03-09 09:46:00+00:00,5097.14,5132.62,4990.700000000002,35.47999999999956,106.43999999999869,120,2026-03-09 19:45:00+00:00,5125.29,5132.62,13,2026-03-09 19:19:00+00:00,5132.62,stop_loss,-35.47999999999956,False,-1.0,1.0,5141.79,-44.524999999999636,44.524999999999636,184.66000000000076,0.24111881295353327,15.0,0.0,0.0,1.0,1.0,1.0,True,False,False
1,2026-03-09 19:30:00+00:00,2026-03-09 19:31:00+00:00,5130.15,5123.92,5148.839999999998,6.229999999999563,18.68999999999869,120,2026-03-09 21:31:00+00:00,5123.92,5135.66,0,2026-03-09 20:07:00+00:00,5148.839999999998,target_hit,18.68999999999869,True,0.0,-1.0,5060.23,69.32999999999993,69.32999999999993,128.39000000000033,0.5399953267388407,21.0,0.0,1.0,1.0,0.0,0.0,False,False,True
1,2026-03-10 08:00:00+00:00,2026-03-10 08:01:00+00:00,5181.99,5177.55,5195.309999999999,4.4399999999996,13.3199999999988,120,2026-03-10 10:01:00+00:00,5177.55,5182.18,0,2026-03-10 08:03:00+00:00,5177.55,stop_loss,-4.4399999999996,False,1.0,-1.0,5158.5,23.889999999999418,23.889999999999418,127.16000000000076,0.18787354513997542,2.0,1.0,1.0,0.0,0.0,1.0,True,False,False
-1,2026-03-10 08:15:00+00:00,2026-03-10 08:16:00+00:00,5179.98,5184.51,5166.389999999998,4.530000000000655,13.590000000001965,120,2026-03-10 10:16:00+00:00,5179.12,5184.51,0,2026-03-10 08:30:00+00:00,5184.51,stop_loss,-4.530000000000655,False,1.0,-1.0,5158.5,21.94000000000051,21.94000000000051,127.16000000000076,0.1725385341302326,3.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
1,2026-03-10 08:45:00+00:00,2026-03-10 08:46:00+00:00,5190.82,5182.97,5214.369999999998,7.849999999999454,23.549999999998363,120,2026-03-10 10:46:00+00:00,5182.97,5189.78,0,2026-03-10 08:56:00+00:00,5182.97,stop_loss,-7.849999999999454,False,1.0,-1.0,5158.5,32.149999999999636,32.149999999999636,127.16000000000076,0.25283107895564205,5.0,1.0,1.0,0.0,0.0,1.0,True,False,False
1,2026-03-10 09:15:00+00:00,2026-03-10 09:16:00+00:00,5187.7,5180.22,5210.1399999999985,7.479999999999563,22.43999999999869,120,2026-03-10 11:16:00+00:00,5180.22,5185.33,0,2026-03-10 10:01:00+00:00,5180.22,stop_loss,-7.479999999999563,False,1.0,1.0,5195.44,-8.009999999999309,8.009999999999309,28.890000000000327,0.2772585669781661,1.0,1.0,1.0,0.0,0.0,1.0,True,False,False
1,2026-03-10 10:15:00+00:00,2026-03-10 10:16:00+00:00,5182.69,5177.25,5199.009999999998,5.4399999999996,16.3199999999988,120,2026-03-10 12:16:00+00:00,5177.25,5181.3,0,2026-03-10 10:17:00+00:00,5177.25,stop_loss,-5.4399999999996,False,1.0,1.0,5195.44,-13.589999999999236,13.589999999999236,28.890000000000327,0.47040498442364426,5.0,1.0,1.0,0.0,0.0,1.0,True,False,False
-1,2026-03-10 10:30:00+00:00,2026-03-10 10:31:00+00:00,5173.93,5181.09,5152.450000000001,7.1599999999998545,21.479999999999563,120,2026-03-10 12:45:00+00:00,5175.31,5181.09,1,2026-03-10 11:04:00+00:00,5181.09,stop_loss,-7.1599999999998545,False,1.0,1.0,5195.44,-21.214999999999236,21.214999999999236,28.890000000000327,0.7343371408791622,6.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
1,2026-03-10 11:15:00+00:00,2026-03-10 11:16:00+00:00,5184.13,5176.56,5206.839999999999,7.569999999999709,22.709999999999127,120,2026-03-10 13:16:00+00:00,5176.56,5184.15,0,2026-03-10 11:31:00+00:00,5176.56,stop_loss,-7.569999999999709,False,0.0,-1.0,5156.6,27.409999999999854,27.409999999999854,36.9399999999996,0.7420140768814334,2.0,1.0,0.0,0.0,1.0,0.0,False,False,True
-1,2026-03-10 11:45:00+00:00,2026-03-10 11:46:00+00:00,5173.83,5182.17,5148.8099999999995,8.340000000000146,25.020000000000437,120,2026-03-10 14:30:00+00:00,5176.29,5182.17,2,2026-03-10 12:35:00+00:00,5182.17,stop_loss,-8.340000000000146,False,0.0,-1.0,5156.6,17.409999999999854,17.409999999999854,36.9399999999996,0.4713048186247981,4.0,1.0,0.0,0.0,1.0,-0.0,False,False,True
1,2026-03-10 12:45:00+00:00,2026-03-10 12:46:00+00:00,5187.11,5181.7,5203.339999999999,5.4099999999998545,16.229999999999563,120,2026-03-10 14:46:00+00:00,5181.7,5185.84,0,2026-03-10 12:52:00+00:00,5181.7,stop_loss,-5.4099999999998545,False,0.0,-1.0,5156.6,30.299999999999272,30.299999999999272,36.9399999999996,0.8202490525175853,8.0,1.0,0.0,0.0,1.0,0.0,False,False,True
1,2026-03-10 13:15:00+00:00,2026-03-10 13:16:00+00:00,5201.78,5185.66,5250.139999999999,16.11999999999989,48.35999999999967,120,2026-03-10 15:30:00+00:00,5185.66,5197.3,1,2026-03-10 14:10:00+00:00,5185.66,stop_loss,-16.11999999999989,False,0.0,-1.0,5156.6,45.340000000000146,45.340000000000146,36.9399999999996,1.2273957769355883,10.0,1.0,0.0,0.0,1.0,0.0,False,False,True
1,2026-03-10 14:30:00+00:00,2026-03-10 14:31:00+00:00,5211.88,5197.08,5256.280000000001,14.800000000000182,44.400000000000546,120,2026-03-10 17:45:00+00:00,5197.08,5211.94,3,2026-03-10 17:45:00+00:00,5227.59,timeout,15.710000000000036,True,0.0,-1.0,5156.6,54.48999999999978,54.48999999999978,36.9399999999996,1.4750947482404,15.0,1.0,0.0,0.0,1.0,0.0,False,False,True
-1,2026-03-10 18:15:00+00:00,2026-03-10 18:16:00+00:00,5213.11,5228.94,5165.62,15.829999999999927,47.48999999999978,120,2026-03-10 20:16:00+00:00,5223.56,5228.94,0,2026-03-10 18:19:00+00:00,5165.62,target_hit,47.48999999999978,True,0.0,1.0,5239.31,-25.525000000000546,25.525000000000546,38.839999999999236,0.657183316168925,10.0,1.0,0.0,0.0,1.0,-0.0,False,False,True
-1,2026-03-10 18:30:00+00:00,2026-03-10 18:31:00+00:00,5204.33,5217.4,5165.120000000001,13.069999999999709,39.20999999999913,120,2026-03-10 21:45:00+00:00,5204.98,5217.4,3,2026-03-10 22:01:00+00:00,5191.2,timeout,13.13000000000011,True,1.0,-1.0,5159.54,45.19500000000062,45.19500000000062,82.71000000000004,0.5464272760246718,0.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
-1,2026-03-11 08:30:00+00:00,2026-03-11 08:31:00+00:00,5183.15,5198.73,5136.41,15.579999999999927,46.73999999999978,120,2026-03-11 14:00:00+00:00,5195.35,5198.73,6,2026-03-11 12:30:00+00:00,5198.73,stop_loss,-15.579999999999927,False,0.0,1.0,5223.78,-40.44999999999982,40.44999999999982,79.77000000000044,0.5070828632317863,29.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
-1,2026-03-11 12:45:00+00:00,2026-03-11 12:46:00+00:00,5177.26,5199.57,5110.330000000002,22.30999999999949,66.92999999999847,120,2026-03-11 19:45:00+00:00,5183.78,5199.57,11,2026-03-11 19:45:00+00:00,5178.55,timeout,-1.2899999999999636,False,0.0,1.0,5223.78,-46.01999999999953,46.01999999999953,79.77000000000044,0.5769086122602392,46.0,0.0,1.0,1.0,0.0,-0.0,False,False,True
1,2026-03-12 08:00:00+00:00,2026-03-12 08:01:00+00:00,5185.59,5178.15,5207.910000000002,7.440000000000509,22.320000000001528,120,2026-03-12 10:15:00+00:00,5178.15,5185.22,1,2026-03-12 08:24:00+00:00,5178.15,stop_loss,-7.440000000000509,False,0.0,-1.0,5136.86,48.590000000001055,48.590000000001055,50.42000000000007,0.9637048790162829,10.0,0.0,1.0,1.0,0.0,0.0,False,False,True
-1,2026-03-12 12:00:00+00:00,2026-03-12 12:01:00+00:00,5177.8,5181.61,5166.370000000002,3.8099999999994907,11.429999999998472,120,2026-03-12 14:01:00+00:00,5177.9,5181.61,0,2026-03-12 12:15:00+00:00,5166.370000000002,target_hit,11.429999999998472,True,1.0,1.0,5192.06,-14.080000000000837,14.080000000000837,38.63000000000011,0.36448356199846743,7.0,1.0,1.0,0.0,0.0,-1.0,False,True,False
