h,dx,rx,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
120,0.3,0.2,0.25,0.15,1.6666666666666667,21600,4189,19.39351851851852,23.417386088325625,14.050431652995373,4189
360,0.3,0.2,0.3,0.1,2.9999999999999996,21600,4139,19.162037037037035,28.100863305990746,9.36695443533025,4138
480,0.3,0.2,0.25,0.1,2.5,21600,4119,19.069444444444443,23.417386088325625,9.36695443533025,4118
120,0.3,0.1,0.3,0.1,2.9999999999999996,33002,4116,12.47197139567299,28.0334868866239,9.344495628874636,4116
240,0.3,0.15,0.4,0.12,3.3333333333333335,27603,4108,14.882440314458572,37.29518361087772,11.188555083263315,4107
120,0.3,0.15,0.3,0.15,2.0,27603,4053,14.68318661015107,27.971387708158282,13.985693854079141,4053
360,0.5,0.1,0.2,0.2,1.0,11153,4047,36.28620102214651,19.550949781701945,19.550949781701945,4047
240,0.3,0.2,0.3,0.1,2.9999999999999996,21600,4021,18.61574074074074,28.100863305990746,9.36695443533025,4021
480,0.3,0.2,0.4,0.12,3.3333333333333335,21600,4002,18.52777777777778,37.467817741321,11.2403453223963,4002
480,0.5,0.1,0.2,0.2,1.0,11153,3979,35.67649959652112,19.550949781701945,19.550949781701945,3979
120,0.3,0.1,0.35,0.2,1.7499999999999998,33002,3968,12.023513726440822,32.70573470106122,18.688991257749272,3968
240,0.5,0.1,0.2,0.2,1.0,11153,3946,35.380615081144086,19.550949781701945,19.550949781701945,3946
480,0.3,0.2,0.3,0.1,2.9999999999999996,21600,3937,18.22685185185185,28.100863305990746,9.36695443533025,3937
240,0.3,0.2,0.4,0.2,2.0,21600,3892,18.01851851851852,37.467817741321,18.7339088706605,3892
360,0.3,0.2,0.4,0.12,3.3333333333333335,21600,3862,17.87962962962963,37.467817741321,11.2403453223963,3862
240,0.3,0.2,0.35,0.12,2.9166666666666665,21600,3814,17.65740740740741,32.78434052365587,11.2403453223963,3814
360,0.3,0.2,0.35,0.1,3.4999999999999996,21600,3793,17.560185185185183,32.78434052365587,9.36695443533025,3792
120,0.3,0.2,0.25,0.12,2.0833333333333335,21600,3754,17.37962962962963,23.417386088325625,11.2403453223963,3754
240,0.3,0.15,0.4,0.1,4.0,27603,3753,13.596348223019236,37.29518361087772,9.32379590271943,3752
480,0.3,0.2,0.35,0.1,3.4999999999999996,21600,3725,17.24537037037037,32.78434052365587,9.36695443533025,3725
120,0.3,0.15,0.3,0.12,2.5,27603,3671,13.29927906386987,27.971387708158282,11.188555083263315,3671
480,0.5,0.1,0.25,0.2,1.25,11153,3651,32.735586837622165,24.43868722712743,19.550949781701945,3651
120,0.3,0.1,0.35,0.15,2.3333333333333335,33002,3625,10.984182776801406,32.70573470106122,14.01674344331195,3625
360,0.5,0.1,0.25,0.2,1.25,11153,3589,32.179682596610775,24.43868722712743,19.550949781701945,3588
360,0.5,0.15,0.2,0.2,1.0,10086,3578,35.474915724767,19.423528624701756,19.423528624701756,3578
