dx,rx,tpx,slx,rr,pt,n_pat,nt,pnl,wr,dd
0.3,0.15,0.65,0.35,1.8571428571428574,0.45,28636,98,249.7053730141388,39.795918367346935,-309.9107706595123
0.5,0.1,0.7,0.35,2.0,0.45,11678,27,249.13613052929895,44.44444444444444,-218.75904298621845
0.3,0.15,0.6,0.25,2.4,0.5,28636,121,249.02335666257932,32.231404958677686,-273.61714473628945
0.4,0.12,0.7,0.35,2.0,0.45,19149,52,248.44461569841997,40.38461538461539,-310.65658639889443
0.4,0.12,0.7,0.35,2.0,0.5,19149,48,247.61297252976146,39.58333333333333,-216.52822956755426
0.4,0.12,0.7,0.4,1.7499999999999998,0.5,19149,45,245.37616532334732,48.888888888888886,-225.01226236292223
0.5,0.1,0.55,0.3,1.8333333333333335,0.5,11678,43,236.75560114286372,39.53488372093023,-185.78900287467013
0.5,0.15,0.6,0.3,2.0,0.5,10282,37,235.8527308018124,43.24324324324324,-234.00545312374015
0.3,0.12,0.65,0.25,2.6,0.5,32746,115,233.8512976999382,32.17391304347826,-241.69060895489383
0.5,0.1,0.7,0.25,2.8,0.45,11678,32,233.536829293535,40.625,-213.7547207196185
0.5,0.12,0.55,0.25,2.2,0.45,11205,48,232.31594432584234,37.5,-165.19737950887884
0.4,0.1,0.7,0.35,2.0,0.45,20155,53,231.67831837898302,37.735849056603776,-296.88930127223193
0.3,0.1,0.55,0.25,2.2,0.5,35476,173,228.24493518448207,36.41618497109826,-385.37711382082216
0.5,0.12,0.65,0.25,2.6,0.45,11205,36,227.40451753271327,36.11111111111111,-203.76731630196264
0.3,0.15,0.7,0.4,1.7499999999999998,0.45,28636,103,226.56026618594342,37.86407766990291,-407.6628873469208
0.3,0.15,0.65,0.4,1.625,0.45,28636,99,226.15956113152242,37.37373737373738,-288.1540493455541
0.4,0.15,0.7,0.3,2.3333333333333335,0.45,17244,57,224.85137659290695,36.84210526315789,-191.19382308876902
0.3,0.1,0.65,0.25,2.6,0.5,35476,127,219.87249015670386,35.43307086614173,-302.91275021005185
0.5,0.1,0.55,0.4,1.375,0.45,11678,44,219.850850388882,40.909090909090914,-347.4984844608275
0.3,0.15,0.6,0.35,1.7142857142857144,0.45,28636,127,218.83098840431194,37.00787401574803,-467.1218681378341
0.4,0.12,0.55,0.25,2.2,0.5,19149,81,217.9521445059795,38.2716049382716,-282.0272600487019
0.3,0.12,0.6,0.25,2.4,0.45,32746,161,215.63334019147715,31.67701863354037,-306.9853089690582
0.3,0.1,0.65,0.25,2.6,0.45,35476,141,214.11568607627805,34.751773049645394,-313.0773751155507
0.5,0.12,0.65,0.3,2.166666666666667,0.5,11205,34,213.23407040027723,41.17647058823529,-243.23034440832816
0.3,0.15,0.65,0.3,2.166666666666667,0.5,28636,104,211.35326526145718,39.42307692307692,-298.9285466414394
0.3,0.15,0.55,0.25,2.2,0.5,28636,143,210.56062666563594,34.96503496503497,-428.9987144651868
0.4,0.15,0.55,0.4,1.375,0.45,17244,82,210.39867771387935,42.68292682926829,-237.04765713752658
0.5,0.12,0.7,0.4,1.7499999999999998,0.5,11205,27,209.84936299310175,51.85185185185185,-162.790498256943
0.5,0.12,0.6,0.25,2.4,0.5,11205,39,207.01724782244492,35.8974358974359,-269.0341844486579
0.5,0.12,0.65,0.3,2.166666666666667,0.45,11205,36,206.35358190386387,38.88888888888889,-285.0459403777986
0.4,0.1,0.6,0.4,1.4999999999999998,0.5,20155,81,206.03693842208622,41.9753086419753,-218.41709308182362
0.4,0.15,0.55,0.4,1.375,0.5,17244,76,204.53338607114028,42.10526315789473,-239.6276571375265
0.3,0.15,0.65,0.35,1.8571428571428574,0.5,28636,85,202.2054362714398,37.64705882352941,-262.393432165034
0.5,0.15,0.65,0.35,1.8571428571428574,0.45,10282,36,202.04311701908728,44.44444444444444,-230.91584542155033
0.5,0.15,0.55,0.25,2.2,0.5,10282,33,199.40844466889712,39.39393939393939,-225.83364018878
0.4,0.15,0.55,0.25,2.2,0.5,17244,77,199.07206749007855,38.961038961038966,-340.92845056641454
0.5,0.15,0.55,0.3,1.8333333333333335,0.45,10282,42,197.29199644294158,38.095238095238095,-192.29751091043818
0.5,0.15,0.6,0.4,1.4999999999999998,0.45,10282,41,193.4036043589831,41.46341463414634,-151.63519957838253
0.4,0.1,0.7,0.35,2.0,0.5,20155,52,186.68831837898279,36.53846153846153,-292.7793012722318
0.5,0.12,0.6,0.4,1.4999999999999998,0.5,11205,35,185.18939748505272,42.857142857142854,-244.65040188383728
0.4,0.12,0.55,0.4,1.375,0.5,19149,81,183.94081329114942,40.74074074074074,-247.35935502927032
0.5,0.15,0.7,0.35,2.0,0.45,10282,27,178.65667149544106,37.03703703703704,-150.73892613984572
0.3,0.15,0.65,0.4,1.625,0.5,28636,90,176.9727597202641,36.666666666666664,-251.9740493455538
0.5,0.1,0.6,0.3,2.0,0.5,11678,36,175.33005355626938,41.66666666666667,-228.18045722123497
0.5,0.12,0.6,0.3,2.0,0.5,11205,35,173.86618206950106,37.142857142857146,-338.4162496531003
0.3,0.1,0.6,0.25,2.4,0.45,35476,192,172.97281423489267,33.85416666666667,-422.71469604469985
0.3,0.12,0.7,0.25,2.8,0.45,32746,109,172.52230966995012,29.357798165137616,-311.1023695476297
0.4,0.1,0.6,0.35,1.7142857142857144,0.5,20155,74,166.6995295028987,43.24324324324324,-196.7515576684291
0.3,0.1,0.65,0.3,2.166666666666667,0.5,35476,123,166.65803676633277,39.83739837398374,-364.94447624470877
0.4,0.12,0.55,0.25,2.2,0.45,19149,86,164.9808836136799,38.372093023255815,-303.7460831452363
0.3,0.12,0.7,0.3,2.3333333333333335,0.5,32746,97,164.38956196807976,31.958762886597935,-381.1119090626298
0.4,0.1,0.7,0.4,1.7499999999999998,0.5,20155,53,163.26556304589258,43.39622641509434,-252.9891770021336
0.4,0.15,0.7,0.35,2.0,0.5,17244,52,161.390536141319,44.230769230769226,-152.03550998997525
0.4,0.12,0.6,0.4,1.4999999999999998,0.5,19149,74,159.27807527461982,41.891891891891895,-223.71751448549458
0.4,0.1,0.7,0.4,1.7499999999999998,0.45,20155,61,159.16275974712835,42.62295081967213,-356.9602069096486
0.4,0.12,0.65,0.3,2.166666666666667,0.5,19149,66,159.0453449414922,39.39393939393939,-234.70860228571382
0.3,0.15,0.6,0.3,2.0,0.45,28636,131,158.5801044762229,38.16793893129771,-354.2875206533754
0.4,0.1,0.6,0.4,1.4999999999999998,0.45,20155,84,157.24815225933207,41.66666666666667,-230.05472907562125
0.4,0.12,0.6,0.4,1.4999999999999998,0.45,19149,79,156.75092996315152,43.037974683544306,-215.98346858514287
0.5,0.15,0.6,0.3,2.0,0.45,10282,39,152.01780581538924,43.58974358974359,-234.00545312374015
0.5,0.15,0.6,0.25,2.4,0.5,10282,36,151.6432491368273,38.88888888888889,-239.50945494213556
0.3,0.1,0.7,0.25,2.8,0.5,35476,118,148.80333106300395,30.508474576271187,-394.1157062139346
0.3,0.12,0.65,0.25,2.6,0.45,32746,134,148.23480195656975,31.343283582089555,-257.51060895489445
0.4,0.15,0.55,0.25,2.2,0.45,17244,82,144.55475037801853,37.80487804878049,-340.92845056641454
