side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,target_updates,exit_time,exit_price,exit_reason,pnl,win
-1,2026-02-13 11:00:00+00:00,2026-02-13 11:01:00+00:00,4962.6,breakout,4969.01,4943.370000000001,6.4099999999998545,19.229999999999563,120,2026-02-13 13:01:00+00:00,4962.6,4969.01,0,2026-02-13 11:05:00+00:00,4943.370000000001,target_hit,19.229999999999563,True
-1,2026-02-13 11:15:00+00:00,2026-02-13 11:24:00+00:00,4943.67,breakout,4953.23,4914.990000000002,9.55999999999949,28.679999999998472,120,2026-02-13 13:24:00+00:00,4943.67,4953.23,0,2026-02-13 11:55:00+00:00,4953.23,stop_loss,-9.55999999999949,False
1,2026-02-13 12:15:00+00:00,2026-02-13 12:16:00+00:00,4959.15,breakout,4953.44,4976.28,5.710000000000036,17.13000000000011,120,2026-02-13 14:16:00+00:00,4953.44,4959.15,0,2026-02-13 13:01:00+00:00,4976.28,target_hit,17.13000000000011,True
1,2026-02-13 15:00:00+00:00,2026-02-13 15:01:00+00:00,4999.71,breakout,4989.76,5029.5599999999995,9.949999999999818,29.849999999999454,120,2026-02-13 17:01:00+00:00,4989.76,4999.71,0,2026-02-13 15:53:00+00:00,4989.76,stop_loss,-9.949999999999818,False
-1,2026-02-13 16:00:00+00:00,2026-02-13 16:01:00+00:00,4999.7,breakout,5010.28,4967.96,10.579999999999927,31.73999999999978,120,2026-02-13 18:01:00+00:00,4999.7,5010.28,0,2026-02-13 16:20:00+00:00,5010.28,stop_loss,-10.579999999999927,False
1,2026-02-13 16:30:00+00:00,2026-02-13 16:31:00+00:00,5006.94,breakout,4998.3,5032.859999999998,8.639999999999418,25.919999999998254,120,2026-02-13 20:15:00+00:00,4998.3,5006.94,1,2026-02-13 18:54:00+00:00,5032.859999999998,target_hit,25.919999999998254,True
-1,2026-02-13 20:00:00+00:00,2026-02-13 20:01:00+00:00,5034.47,breakout,5038.59,5022.110000000001,4.119999999999891,12.359999999999673,120,2026-02-13 22:01:00+00:00,5034.47,5038.59,0,2026-02-13 20:53:00+00:00,5022.110000000001,target_hit,12.359999999999673,True
-1,2026-02-16 14:30:00+00:00,2026-02-16 14:37:00+00:00,4990.41,breakout,4995.39,4975.469999999998,4.980000000000473,14.940000000001419,120,2026-02-16 16:37:00+00:00,4990.41,4995.39,0,2026-02-16 15:03:00+00:00,4975.469999999998,target_hit,14.940000000001419,True
1,2026-02-16 16:30:00+00:00,2026-02-16 16:31:00+00:00,4984.38,breakout,4979.44,4999.200000000002,4.940000000000509,14.820000000001528,120,2026-02-16 18:31:00+00:00,4979.44,4984.38,0,2026-02-16 18:31:00+00:00,4992.47,timeout,8.090000000000146,True
1,2026-02-17 08:15:00+00:00,2026-02-17 08:16:00+00:00,4925.29,breakout,4916.89,4950.489999999999,8.399999999999636,25.19999999999891,120,2026-02-17 10:16:00+00:00,4916.89,4925.29,0,2026-02-17 08:38:00+00:00,4916.89,stop_loss,-8.399999999999636,False
1,2026-02-17 11:15:00+00:00,2026-02-17 11:16:00+00:00,4918.04,breakout,4913.01,4933.129999999999,5.029999999999745,15.089999999999236,120,2026-02-17 13:16:00+00:00,4913.01,4918.04,0,2026-02-17 12:01:00+00:00,4933.129999999999,target_hit,15.089999999999236,True
-1,2026-02-17 13:15:00+00:00,2026-02-17 13:16:00+00:00,4928.48,breakout,4933.96,4912.039999999998,5.480000000000473,16.44000000000142,120,2026-02-17 15:16:00+00:00,4928.48,4933.96,0,2026-02-17 13:20:00+00:00,4912.039999999998,target_hit,16.44000000000142,True
-1,2026-02-17 13:45:00+00:00,2026-02-17 13:50:00+00:00,4914.27,breakout,4922.71,4888.950000000002,8.4399999999996,25.3199999999988,120,2026-02-17 15:50:00+00:00,4914.27,4922.71,0,2026-02-17 13:57:00+00:00,4888.950000000002,target_hit,25.3199999999988,True
-1,2026-02-17 14:00:00+00:00,2026-02-17 14:01:00+00:00,4911.69,breakout,4921.99,4880.789999999999,10.300000000000182,30.900000000000546,120,2026-02-17 16:01:00+00:00,4911.69,4921.99,0,2026-02-17 14:02:00+00:00,4880.789999999999,target_hit,30.900000000000546,True
-1,2026-02-17 14:45:00+00:00,2026-02-17 14:46:00+00:00,4892.74,breakout,4901.27,4867.149999999998,8.530000000000655,25.590000000001965,120,2026-02-17 16:46:00+00:00,4892.74,4901.27,0,2026-02-17 14:49:00+00:00,4867.149999999998,target_hit,25.590000000001965,True
1,2026-02-17 15:45:00+00:00,2026-02-17 15:46:00+00:00,4864.46,breakout,4858.24,4883.120000000001,6.220000000000255,18.660000000000764,120,2026-02-17 17:46:00+00:00,4858.24,4864.46,0,2026-02-17 15:58:00+00:00,4883.120000000001,target_hit,18.660000000000764,True
1,2026-02-17 16:15:00+00:00,2026-02-17 16:16:00+00:00,4884.05,breakout,4877.51,4903.67,6.539999999999964,19.61999999999989,120,2026-02-17 18:16:00+00:00,4877.51,4884.05,0,2026-02-17 16:30:00+00:00,4877.51,stop_loss,-6.539999999999964,False
-1,2026-02-17 17:00:00+00:00,2026-02-17 17:01:00+00:00,4874.58,breakout,4880.84,4855.799999999999,6.260000000000218,18.780000000000655,120,2026-02-17 19:01:00+00:00,4874.58,4880.84,0,2026-02-17 17:11:00+00:00,4855.799999999999,target_hit,18.780000000000655,True
1,2026-02-17 18:30:00+00:00,2026-02-17 18:31:00+00:00,4875.6,breakout,4866.44,4903.080000000003,9.160000000000764,27.480000000002292,120,2026-02-17 20:31:00+00:00,4866.44,4875.6,0,2026-02-17 18:56:00+00:00,4903.080000000003,target_hit,27.480000000002292,True
-1,2026-02-17 19:30:00+00:00,2026-02-17 19:31:00+00:00,4889.72,breakout,4896.12,4870.520000000001,6.399999999999636,19.19999999999891,120,2026-02-17 21:31:00+00:00,4889.72,4896.12,0,2026-02-17 21:31:00+00:00,4880.88,timeout,8.840000000000146,True
1,2026-02-18 12:15:00+00:00,2026-02-18 12:16:00+00:00,4918.32,breakout,4911.15,4939.83,7.170000000000073,21.51000000000022,120,2026-02-18 14:16:00+00:00,4911.15,4918.32,0,2026-02-18 12:58:00+00:00,4939.83,target_hit,21.51000000000022,True
1,2026-02-18 13:15:00+00:00,2026-02-18 13:16:00+00:00,4951.27,breakout,4942.37,4977.970000000002,8.900000000000546,26.700000000001637,120,2026-02-18 16:15:00+00:00,4942.37,4951.27,1,2026-02-18 14:32:00+00:00,4977.970000000002,target_hit,26.700000000001637,True
1,2026-02-18 14:45:00+00:00,2026-02-18 14:46:00+00:00,4968.44,breakout,4959.66,4994.779999999999,8.779999999999745,26.339999999999236,120,2026-02-18 16:46:00+00:00,4959.66,4968.44,0,2026-02-18 14:53:00+00:00,4994.779999999999,target_hit,26.339999999999236,True
1,2026-02-18 15:15:00+00:00,2026-02-18 15:16:00+00:00,5001.58,breakout,4992.37,5029.21,9.210000000000036,27.63000000000011,120,2026-02-18 17:16:00+00:00,4992.37,5001.58,0,2026-02-18 16:22:00+00:00,4992.37,stop_loss,-9.210000000000036,False
1,2026-02-18 16:45:00+00:00,2026-02-18 16:46:00+00:00,5004.99,breakout,5000.83,5017.469999999999,4.1599999999998545,12.479999999999563,120,2026-02-18 18:46:00+00:00,5000.83,5004.99,0,2026-02-18 16:57:00+00:00,5000.83,stop_loss,-4.1599999999998545,False
-1,2026-02-18 19:30:00+00:00,2026-02-18 19:31:00+00:00,4990.2,breakout,4994.97,4975.8899999999985,4.770000000000437,14.31000000000131,120,2026-02-18 21:31:00+00:00,4990.2,4994.97,0,2026-02-18 19:32:00+00:00,4975.8899999999985,target_hit,14.31000000000131,True
-1,2026-02-19 09:30:00+00:00,2026-02-19 09:31:00+00:00,5013.58,breakout,5018.71,4998.19,5.130000000000109,15.390000000000327,120,2026-02-19 11:31:00+00:00,5013.58,5018.71,0,2026-02-19 09:36:00+00:00,4998.19,target_hit,15.390000000000327,True
1,2026-02-19 15:00:00+00:00,2026-02-19 15:01:00+00:00,4995.1,breakout,4988.83,5013.910000000002,6.270000000000437,18.81000000000131,120,2026-02-19 17:01:00+00:00,4988.83,4995.1,0,2026-02-19 15:28:00+00:00,5013.910000000002,target_hit,18.81000000000131,True
