entry_time,exit_time,entry_price,exit_price,pnl,side,pattern,exit_reason,matched_pattern
2026-02-05 05:48:00+00:00,2026-02-05 06:13:00+00:00,4887.38,4920.807064905028,33.42706490502769,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-06 00:30:00+00:00,2026-02-06 00:31:00+00:00,4724.52,4714.763258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-06 00:40:00+00:00,2026-02-06 00:40:00+00:00,4741.0,4754.067064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-06 01:18:00+00:00,2026-02-06 01:19:00+00:00,4725.73,4715.973258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-06 01:21:00+00:00,2026-02-06 01:22:00+00:00,4724.79,4715.033258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-06 01:28:00+00:00,2026-02-06 01:28:00+00:00,4729.04,4719.283258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-06 01:32:00+00:00,2026-02-06 01:54:00+00:00,4728.5,4768.0870649050285,39.587064905028456,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-06 01:58:00+00:00,2026-02-06 02:10:00+00:00,4768.81,4792.0870649050285,23.277064905028055,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-06 02:16:00+00:00,2026-02-06 02:20:00+00:00,4787.17,4800.237064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-06 03:24:00+00:00,2026-02-06 05:25:00+00:00,4807.62,4837.277064905028,29.657064905028165,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-09 01:33:00+00:00,2026-02-09 01:36:00+00:00,5000.07,4990.313258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-20 15:19:00+00:00,2026-02-20 15:20:00+00:00,5044.65,5034.893258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-20 15:42:00+00:00,2026-02-20 16:32:00+00:00,5038.43,5061.967064905028,23.537064905027364,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-20 18:28:00+00:00,2026-02-20 18:38:00+00:00,5060.19,5073.257064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-23 00:06:00+00:00,2026-02-23 00:12:00+00:00,5143.87,5134.1132582042455,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-23 00:13:00+00:00,2026-02-23 00:15:00+00:00,5141.44,5131.683258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-23 00:16:00+00:00,2026-02-23 02:40:00+00:00,5134.13,5170.187064905028,36.0570649050278,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-24 15:32:00+00:00,2026-02-24 15:45:00+00:00,5137.37,5155.237064905028,17.8670649050282,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-24 16:07:00+00:00,2026-02-24 16:33:00+00:00,5147.16,5137.4032582042455,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-24 16:35:00+00:00,2026-02-24 17:17:00+00:00,5137.31,5159.657064905028,22.347064905027764,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-25 02:51:00+00:00,2026-02-25 02:51:00+00:00,5177.6,5167.843258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-26 17:49:00+00:00,2026-02-26 17:56:00+00:00,5173.5,5163.743258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-26 18:43:00+00:00,2026-02-26 19:48:00+00:00,5179.1,5192.167064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-27 13:32:00+00:00,2026-02-27 13:40:00+00:00,5223.44,5213.683258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-02-27 13:41:00+00:00,2026-02-27 15:13:00+00:00,5212.94,5239.827064905028,26.887064905028637,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-02-27 15:19:00+00:00,2026-02-27 15:52:00+00:00,5223.17,5239.017064905028,15.847064905027764,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 01:04:00+00:00,2026-03-02 01:04:00+00:00,5316.88,5329.947064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 01:30:00+00:00,2026-03-02 04:00:00+00:00,5307.19,5367.897064905028,60.707064905028346,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 04:31:00+00:00,2026-03-02 04:37:00+00:00,5359.88,5350.123258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-02 04:38:00+00:00,2026-03-02 06:05:00+00:00,5347.12,5367.437064905028,20.31706490502802,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 17:06:00+00:00,2026-03-02 17:12:00+00:00,5303.82,5294.063258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-02 17:14:00+00:00,2026-03-02 17:31:00+00:00,5300.98,5315.397064905028,14.417064905028383,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 17:43:00+00:00,2026-03-02 18:05:00+00:00,5305.7,5295.9432582042455,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-02 18:17:00+00:00,2026-03-02 18:33:00+00:00,5302.66,5292.9032582042455,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-02 18:45:00+00:00,2026-03-02 20:08:00+00:00,5303.62,5342.677064905028,39.0570649050278,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 20:20:00+00:00,2026-03-02 20:26:00+00:00,5329.76,5346.3370649050285,16.577064905028237,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 20:59:00+00:00,2026-03-02 21:52:00+00:00,5332.78,5323.023258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-02 23:02:00+00:00,2026-03-02 23:04:00+00:00,5333.42,5346.487064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-02 23:11:00+00:00,2026-03-03 00:14:00+00:00,5334.56,5347.627064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-03 15:22:00+00:00,2026-03-03 15:23:00+00:00,5044.69,5034.933258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-03 15:26:00+00:00,2026-03-03 15:58:00+00:00,5044.5,5094.897064905028,50.397064905027946,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-03 17:31:00+00:00,2026-03-03 17:33:00+00:00,5081.65,5071.893258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-03 17:34:00+00:00,2026-03-03 18:39:00+00:00,5073.23,5128.687064905028,55.457064905028346,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-04 01:27:00+00:00,2026-03-04 01:44:00+00:00,5148.23,5163.137064905028,14.907064905028165,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-04 03:00:00+00:00,2026-03-04 03:04:00+00:00,5156.19,5146.433258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-04 03:08:00+00:00,2026-03-04 06:02:00+00:00,5148.99,5143.21,-5.779999999999745,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2026-03-06 14:56:00+00:00,2026-03-06 14:59:00+00:00,5113.66,5129.447064905028,15.787064905028274,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-06 15:13:00+00:00,2026-03-06 15:13:00+00:00,5142.52,5155.5870649050285,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-06 16:28:00+00:00,2026-03-06 16:39:00+00:00,5140.4,5130.643258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-06 16:40:00+00:00,2026-03-06 19:13:00+00:00,5130.82,5169.607064905028,38.787064905028274,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-09 01:07:00+00:00,2026-03-09 01:10:00+00:00,5058.19,5048.433258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-09 01:12:00+00:00,2026-03-09 01:17:00+00:00,5061.82,5081.577064905028,19.75706490502853,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-09 01:30:00+00:00,2026-03-09 01:33:00+00:00,5071.81,5084.877064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-09 01:53:00+00:00,2026-03-09 02:03:00+00:00,5071.67,5061.913258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-09 02:05:00+00:00,2026-03-09 02:10:00+00:00,5064.84,5093.447064905028,28.607064905027983,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-09 02:20:00+00:00,2026-03-09 05:23:00+00:00,5079.46,5104.357064905028,24.897064905027946,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-09 22:03:00+00:00,2026-03-09 22:03:00+00:00,5133.69,5123.933258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-09 22:07:00+00:00,2026-03-09 22:07:00+00:00,5135.85,5126.093258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-09 22:09:00+00:00,2026-03-09 22:23:00+00:00,5133.96,5124.203258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-09 22:32:00+00:00,2026-03-09 22:58:00+00:00,5133.67,5147.417064905028,13.74706490502831,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-10 14:17:00+00:00,2026-03-10 15:20:00+00:00,5210.79,5227.5870649050285,16.797064905028492,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-16 02:32:00+00:00,2026-03-16 04:01:00+00:00,5006.78,5021.447064905028,14.667064905028383,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-18 15:25:00+00:00,2026-03-18 15:44:00+00:00,4874.58,4864.823258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-18 16:12:00+00:00,2026-03-18 17:24:00+00:00,4873.63,4895.437064905028,21.8070649050278,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 13:17:00+00:00,2026-03-19 13:18:00+00:00,4549.21,4562.277064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 13:41:00+00:00,2026-03-19 13:41:00+00:00,4550.68,4563.747064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 13:47:00+00:00,2026-03-19 13:47:00+00:00,4554.56,4544.803258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 13:51:00+00:00,2026-03-19 13:53:00+00:00,4570.84,4592.747064905028,21.907064905028165,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 15:32:00+00:00,2026-03-19 15:32:00+00:00,4589.97,4580.213258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 15:33:00+00:00,2026-03-19 15:33:00+00:00,4584.57,4574.813258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 15:34:00+00:00,2026-03-19 15:56:00+00:00,4574.9,4603.267064905028,28.3670649050282,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 16:36:00+00:00,2026-03-19 17:10:00+00:00,4585.66,4575.9032582042455,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 17:11:00+00:00,2026-03-19 17:52:00+00:00,4578.26,4629.627064905028,51.3670649050282,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 18:05:00+00:00,2026-03-19 18:07:00+00:00,4611.08,4601.323258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 18:10:00+00:00,2026-03-19 18:34:00+00:00,4611.71,4601.953258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 18:48:00+00:00,2026-03-19 19:00:00+00:00,4611.94,4636.037064905028,24.097064905028674,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 19:04:00+00:00,2026-03-19 19:06:00+00:00,4630.33,4643.397064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 19:21:00+00:00,2026-03-19 19:26:00+00:00,4647.63,4637.873258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 19:27:00+00:00,2026-03-19 20:22:00+00:00,4638.05,4660.647064905028,22.597064905027764,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-19 22:56:00+00:00,2026-03-19 22:59:00+00:00,4648.51,4638.753258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-19 23:01:00+00:00,2026-03-19 23:35:00+00:00,4647.25,4637.493258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-20 02:24:00+00:00,2026-03-20 02:49:00+00:00,4683.14,4696.917064905028,13.777064905028055,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 07:34:00+00:00,2026-03-23 07:36:00+00:00,4159.94,4177.147064905028,17.207064905028346,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 07:37:00+00:00,2026-03-23 07:38:00+00:00,4180.45,4193.517064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 07:39:00+00:00,2026-03-23 07:39:00+00:00,4193.42,4183.663258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 07:40:00+00:00,2026-03-23 07:41:00+00:00,4180.25,4201.627064905028,21.37706490502842,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 07:42:00+00:00,2026-03-23 07:42:00+00:00,4202.63,4192.873258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 07:43:00+00:00,2026-03-23 07:44:00+00:00,4191.04,4214.647064905028,23.607064905027983,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 07:51:00+00:00,2026-03-23 07:52:00+00:00,4211.19,4201.433258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 07:53:00+00:00,2026-03-23 07:53:00+00:00,4200.29,4190.533258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 07:54:00+00:00,2026-03-23 08:00:00+00:00,4189.84,4217.647064905028,27.8070649050278,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 08:01:00+00:00,2026-03-23 08:01:00+00:00,4226.54,4216.783258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 08:02:00+00:00,2026-03-23 08:09:00+00:00,4216.48,4241.687064905028,25.207064905028346,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 08:18:00+00:00,2026-03-23 08:20:00+00:00,4221.81,4212.053258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 08:21:00+00:00,2026-03-23 08:32:00+00:00,4213.1,4251.717064905028,38.61706490502729,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 08:51:00+00:00,2026-03-23 08:56:00+00:00,4230.18,4220.423258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 08:57:00+00:00,2026-03-23 08:57:00+00:00,4224.71,4237.777064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 08:58:00+00:00,2026-03-23 08:59:00+00:00,4237.93,4250.997064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 09:38:00+00:00,2026-03-23 09:39:00+00:00,4262.1,4252.343258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 09:40:00+00:00,2026-03-23 09:42:00+00:00,4241.29,4231.533258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 09:43:00+00:00,2026-03-23 10:18:00+00:00,4231.83,4274.897064905028,43.06706490502802,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 10:38:00+00:00,2026-03-23 10:50:00+00:00,4245.85,4274.367064905028,28.517064905027837,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 10:51:00+00:00,2026-03-23 10:51:00+00:00,4277.48,4267.723258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 10:52:00+00:00,2026-03-23 10:56:00+00:00,4267.78,4258.023258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 10:57:00+00:00,2026-03-23 11:00:00+00:00,4258.45,4282.237064905028,23.787064905028274,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 11:01:00+00:00,2026-03-23 11:05:00+00:00,4286.0,4303.257064905028,17.25706490502762,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 12:03:00+00:00,2026-03-23 12:05:00+00:00,4356.01,4346.253258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 12:06:00+00:00,2026-03-23 12:09:00+00:00,4345.16,4368.107064905028,22.947064905028128,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 12:10:00+00:00,2026-03-23 12:14:00+00:00,4370.26,4360.503258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 12:15:00+00:00,2026-03-23 12:15:00+00:00,4353.58,4366.647064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 12:16:00+00:00,2026-03-23 12:16:00+00:00,4365.85,4378.917064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 12:17:00+00:00,2026-03-23 12:20:00+00:00,4379.44,4404.127064905028,24.68706490502882,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 12:25:00+00:00,2026-03-23 12:30:00+00:00,4390.3,4380.543258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2026-03-23 12:31:00+00:00,2026-03-23 12:33:00+00:00,4382.87,4408.737064905028,25.8670649050282,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 12:34:00+00:00,2026-03-23 12:41:00+00:00,4405.22,4427.467064905028,22.2470649050274,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2026-03-23 13:23:00+00:00,2026-03-23 13:25:00+00:00,4422.4,4412.643258204245,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
