signal_ts,side,p_long,p_short,p_pick,pnl,exit_reason,scaled_half,bars_held,win
2026-03-30 13:00:00+00:00,1,0.6590496897697449,0.5684524774551392,0.6590496897697449,-11.36999999999989,timeout,False,10,False
2026-03-30 13:36:00+00:00,1,0.7163163423538208,0.6077808141708374,0.7163163423538208,5.0,trail_stop,True,2,True
2026-03-30 14:48:00+00:00,-1,0.4330902397632599,0.793248176574707,0.793248176574707,-4.480000000000473,timeout,False,10,False
2026-03-30 18:54:00+00:00,1,0.7665784358978271,0.47247636318206787,0.7665784358978271,-8.140000000000327,timeout,False,10,False
2026-03-30 18:57:00+00:00,1,0.6646447777748108,0.48116567730903625,0.6646447777748108,-0.18000000000029104,timeout,False,10,False
2026-03-31 08:01:00+00:00,1,0.6828024983406067,0.4547670781612396,0.6828024983406067,5.0,trail_stop,True,3,True
2026-03-31 08:52:00+00:00,1,0.5852921009063721,0.37632831931114197,0.5852921009063721,-4.3100000000004,timeout,False,10,False
2026-03-31 09:25:00+00:00,-1,0.6012064218521118,0.6622177958488464,0.6622177958488464,5.0,trail_stop,True,5,True
2026-03-31 10:40:00+00:00,1,0.8388872146606445,0.364849716424942,0.8388872146606445,5.0,trail_stop,True,2,True
2026-03-31 11:16:00+00:00,1,0.763123095035553,0.599381148815155,0.763123095035553,5.0,trail_stop,True,3,True
2026-03-31 12:10:00+00:00,-1,0.6446038484573364,0.7869392037391663,0.7869392037391663,7.5,target_full,True,4,True
2026-03-31 13:01:00+00:00,-1,0.502450168132782,0.6241819858551025,0.6241819858551025,-10.1299999999992,timeout,False,10,False
2026-03-31 13:31:00+00:00,1,0.7414622902870178,0.6078106164932251,0.7414622902870178,5.0,trail_stop,True,3,True
2026-03-31 16:40:00+00:00,1,0.893500030040741,0.24969050288200378,0.893500030040741,7.5,target_full,True,1,True
2026-03-31 16:46:00+00:00,-1,0.40815770626068115,0.8201236724853516,0.8201236724853516,5.0,trail_stop,True,2,True
2026-04-01 07:38:00+00:00,-1,0.5732923746109009,0.8108795881271362,0.8108795881271362,7.5,target_full,True,2,True
2026-04-01 10:50:00+00:00,1,0.6560428738594055,0.3771093487739563,0.6560428738594055,0.4899999999997817,timeout,False,10,True
2026-04-01 12:26:00+00:00,-1,0.5211344957351685,0.711739182472229,0.711739182472229,-20.0,stop_loss,False,8,False
2026-04-01 12:29:00+00:00,-1,0.4974943697452545,0.6007242202758789,0.6007242202758789,-1.2799999999997453,timeout,False,10,False
2026-04-01 13:32:00+00:00,1,0.6694132685661316,0.5894798040390015,0.6694132685661316,5.0,trail_stop,True,3,True
2026-04-01 16:11:00+00:00,1,0.7268355488777161,0.42336195707321167,0.7268355488777161,5.0,trail_stop,True,9,True
2026-04-01 17:29:00+00:00,-1,0.3396214544773102,0.651020884513855,0.651020884513855,5.0,trail_stop,True,5,True
2026-04-01 19:50:00+00:00,1,0.6454201340675354,0.41902613639831543,0.6454201340675354,5.0,trail_stop,True,2,True
2026-04-02 07:48:00+00:00,-1,0.5272899270057678,0.7030901908874512,0.7030901908874512,5.0,trail_stop,True,7,True
