side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source,pattern
1,2026-01-29 00:49:00+00:00,5506.92,5491.92,5528.03,2026-01-29 01:05:00+00:00,2,0,0.6289072632789612,0.6289072632789612,20.0,15.0,15,uptrend_retrace,2026-01-29 01:00:00+00:00,5491.92,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-29 01:05:00+00:00,5468.83,5453.83,5488.83,2026-01-29 01:20:00+00:00,0,0,0.6423293352127075,0.6423293352127075,20.0,15.0,15,uptrend_retrace,2026-01-29 01:09:00+00:00,5453.83,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-29 01:16:00+00:00,5494.35,5479.35,5522.34,2026-01-29 01:43:00+00:00,6,0,0.7925105094909668,0.7925105094909668,20.0,15.0,15,uptrend_retrace,2026-01-29 01:33:00+00:00,5522.34,target_hit,27.98999999999978,pattern,uptrend_retrace
-1,2026-01-29 07:29:00+00:00,5538.21,5568.21,5498.21,2026-01-29 07:44:00+00:00,1,0,0.6545982360839844,0.3454017639160156,40.0,30.0,15,downtrend_retrace,2026-01-29 07:44:00+00:00,5549.54,timeout,-11.329999999999927,pattern,downtrend_retrace
1,2026-01-30 01:14:00+00:00,5329.87,5314.87,5349.87,2026-01-30 01:29:00+00:00,0,0,0.6877360939979553,0.6877360939979553,20.0,15.0,15,uptrend_retrace,2026-01-30 01:14:00+00:00,5314.87,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-30 01:17:00+00:00,5329.86,5314.86,5349.86,2026-01-30 01:32:00+00:00,0,0,0.7874310612678528,0.7874310612678528,20.0,15.0,15,uptrend_retrace,2026-01-30 01:23:00+00:00,5349.86,target_hit,20.0,pattern,uptrend_retrace
1,2026-01-30 02:25:00+00:00,5163.5,5148.5,5183.5,2026-01-30 02:40:00+00:00,0,0,0.7980564832687378,0.7980564832687378,20.0,15.0,15,uptrend_retrace,2026-01-30 02:25:00+00:00,5183.5,target_hit,20.0,pattern,uptrend_retrace
1,2026-01-30 02:26:00+00:00,5175.56,5160.56,5206.28,2026-01-30 02:43:00+00:00,2,0,0.7639480829238892,0.7639480829238892,20.0,15.0,15,uptrend_retrace,2026-01-30 02:29:00+00:00,5160.56,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-30 02:30:00+00:00,5172.6,5157.6,5193.55,2026-01-30 02:45:00+00:00,1,0,0.7944011092185974,0.7944011092185974,20.0,15.0,15,uptrend_retrace,2026-01-30 02:31:00+00:00,5157.6,stop_loss,-15.0,pattern,uptrend_retrace
1,2026-01-30 02:32:00+00:00,5145.0,5130.0,5187.5,2026-01-30 02:50:00+00:00,4,0,0.8629361987113953,0.8629361987113953,20.0,15.0,15,uptrend_retrace,2026-01-30 02:36:00+00:00,5187.5,target_hit,42.5,pattern,uptrend_retrace
