side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,slot_low,slot_high,stop_mode,entry_struct_trend,target_updates,exit_time,exit_price,exit_reason,pnl,win,hold_min
-1,2025-12-29 13:15:00+00:00,2025-12-29 13:17:00+00:00,4457.07,breakout_next_open,4466.07,4430.07,9.0,27.0,120,2025-12-29 15:17:00+00:00,4459.46,4466.07,4456.77,4468.05,impulse_bar,-1,0,2025-12-29 13:42:00+00:00,4430.07,target_hit,27.0,True,25.0
-1,2025-12-31 10:00:00+00:00,2025-12-31 10:02:00+00:00,4328.78,breakout_next_open,4336.41,4305.889999999999,7.630000000000109,22.890000000000327,120,2025-12-31 12:15:00+00:00,4332.29,4336.41,4325.37,4337.42,impulse_bar,-1,1,2025-12-31 10:42:00+00:00,4305.889999999999,target_hit,22.890000000000327,True,40.0
1,2025-12-31 20:30:00+00:00,2025-12-31 20:32:00+00:00,4318.73,breakout_next_open,4313.47,4334.5099999999975,5.259999999999309,15.779999999997926,120,2025-12-31 22:45:00+00:00,4313.47,4317.16,4312.98,4319.41,impulse_bar,1,1,2025-12-31 20:51:00+00:00,4313.47,stop_loss,-5.259999999999309,False,19.0
1,2026-01-05 13:45:00+00:00,2026-01-05 13:47:00+00:00,4414.29,breakout_next_open,4397.51,4464.629999999999,16.779999999999745,50.339999999999236,120,2026-01-05 17:00:00+00:00,4397.51,4404.79,4396.13,4414.62,impulse_bar,1,2,2026-01-05 17:00:00+00:00,4441.16,timeout,26.86999999999989,True,193.0
-1,2026-01-07 13:00:00+00:00,2026-01-07 13:02:00+00:00,4447.5,breakout_next_open,4452.67,4431.99,5.170000000000073,15.510000000000218,120,2026-01-07 15:02:00+00:00,4448.79,4452.67,4444.9,4454.08,impulse_bar,-1,0,2026-01-07 13:09:00+00:00,4431.99,target_hit,15.510000000000218,True,7.0
-1,2026-01-07 15:15:00+00:00,2026-01-07 15:22:00+00:00,4431.57,breakout_next_open,4447.1,4384.979999999998,15.530000000000655,46.590000000001965,120,2026-01-07 17:22:00+00:00,4439.57,4447.1,4426.52,4447.1,impulse_bar,-1,0,2026-01-07 15:31:00+00:00,4447.1,stop_loss,-15.530000000000655,False,9.0
-1,2026-01-07 19:00:00+00:00,2026-01-07 19:03:00+00:00,4452.48,breakout_next_open,4454.75,4445.669999999998,2.2700000000004366,6.81000000000131,120,2026-01-07 21:03:00+00:00,4450.76,4454.75,4450.34,4456.75,impulse_bar,-1,0,2026-01-07 19:04:00+00:00,4454.75,stop_loss,-2.2700000000004366,False,1.0
-1,2026-01-08 08:00:00+00:00,2026-01-08 08:02:00+00:00,4429.7,breakout_next_open,4432.08,4422.5599999999995,2.380000000000109,7.140000000000327,120,2026-01-08 10:02:00+00:00,4428.5,4432.08,4428.23,4433.91,impulse_bar,-1,0,2026-01-08 08:09:00+00:00,4432.08,stop_loss,-2.380000000000109,False,7.0
1,2026-01-09 18:15:00+00:00,2026-01-09 18:17:00+00:00,4492.48,breakout_next_open,4483.02,4520.859999999997,9.459999999999127,28.37999999999738,120,2026-01-09 20:45:00+00:00,4483.02,4488.18,4483.02,4493.37,impulse_bar,1,1,2026-01-09 20:45:00+00:00,4504.21,timeout,11.730000000000473,True,148.0
1,2026-01-12 14:45:00+00:00,2026-01-12 14:47:00+00:00,4599.76,breakout_next_open,4585.62,4642.180000000001,14.140000000000327,42.42000000000098,120,2026-01-12 16:47:00+00:00,4585.62,4592.63,4585.62,4611.62,impulse_bar,1,0,2026-01-12 16:47:00+00:00,4615.28,timeout,15.519999999999527,True,120.0
