signal_ts,entry_time,entry_price,side,exit_time,exit_reason,pnl,scaled_half,win,target_updates
2026-02-20 14:45:00+00:00,2026-02-20 14:46:00+00:00,5059.51,1,2026-02-20 14:56:00+00:00,timeout,-9.210000000000036,False,False,0
2026-02-20 15:00:00+00:00,2026-02-20 15:01:00+00:00,5053.3,1,2026-02-20 15:01:00+00:00,target_full,7.5,True,True,0
2026-02-20 15:15:00+00:00,2026-02-20 15:16:00+00:00,5031.58,1,2026-02-20 15:18:00+00:00,trail_stop,5.0,True,True,0
2026-02-20 15:30:00+00:00,2026-02-20 15:31:00+00:00,5023.77,1,2026-02-20 15:35:00+00:00,trail_stop,5.0,True,True,0
2026-02-20 15:45:00+00:00,2026-02-20 15:46:00+00:00,5048.23,-1,2026-02-20 15:51:00+00:00,target_full,7.5,True,True,0
2026-02-20 16:15:00+00:00,2026-02-20 16:16:00+00:00,5052.64,1,2026-02-20 16:26:00+00:00,timeout,-1.1000000000003638,False,False,0
2026-02-20 16:45:00+00:00,2026-02-20 16:46:00+00:00,5067.3,1,2026-02-20 16:56:00+00:00,timeout,-5.829999999999927,False,False,0
2026-02-20 17:15:00+00:00,2026-02-20 17:16:00+00:00,5064.41,-1,2026-02-20 17:22:00+00:00,target_full,7.5,True,True,0
2026-02-20 18:30:00+00:00,2026-02-20 18:31:00+00:00,5063.57,-1,2026-02-20 18:41:00+00:00,timeout,-7.039999999999964,False,False,0
2026-02-20 18:45:00+00:00,2026-02-20 18:46:00+00:00,5071.65,1,2026-02-20 18:56:00+00:00,timeout,-1.5299999999997453,False,False,0
2026-02-23 08:15:00+00:00,2026-02-23 08:16:00+00:00,5139.18,1,2026-02-23 08:26:00+00:00,timeout,-10.900000000000546,False,False,0
2026-02-23 08:30:00+00:00,2026-02-23 08:31:00+00:00,5124.31,-1,2026-02-23 08:41:00+00:00,timeout,-3.469999999999345,False,False,0
2026-02-23 08:45:00+00:00,2026-02-23 08:46:00+00:00,5131.0,1,2026-02-23 08:56:00+00:00,timeout,7.414999999999964,True,True,0
2026-02-23 10:45:00+00:00,2026-02-23 10:46:00+00:00,5152.82,-1,2026-02-23 10:56:00+00:00,timeout,-8.88000000000011,False,False,0
2026-02-23 14:45:00+00:00,2026-02-23 14:46:00+00:00,5197.25,1,2026-02-23 14:56:00+00:00,timeout,2.0299999999997453,False,True,0
2026-02-23 15:00:00+00:00,2026-02-23 15:01:00+00:00,5192.47,1,2026-02-23 15:09:00+00:00,trail_stop,5.0,True,True,0
2026-02-23 15:15:00+00:00,2026-02-23 15:16:00+00:00,5197.57,-1,2026-02-23 15:24:00+00:00,trail_stop,5.0,True,True,0
2026-02-23 16:00:00+00:00,2026-02-23 16:01:00+00:00,5190.82,-1,2026-02-23 16:03:00+00:00,target_full,7.5,True,True,0
2026-02-23 16:15:00+00:00,2026-02-23 16:16:00+00:00,5202.56,-1,2026-02-23 16:26:00+00:00,timeout,-16.4399999999996,False,False,0
2026-02-23 16:45:00+00:00,2026-02-23 16:46:00+00:00,5209.62,-1,2026-02-23 16:56:00+00:00,timeout,-1.699999999999818,False,False,0
2026-02-23 17:00:00+00:00,2026-02-23 17:01:00+00:00,5210.12,-1,2026-02-23 17:11:00+00:00,timeout,4.720000000000255,False,True,0
2026-02-23 17:45:00+00:00,2026-02-23 17:46:00+00:00,5201.16,-1,2026-02-23 17:56:00+00:00,timeout,-4.860000000000582,False,False,0
2026-02-24 10:30:00+00:00,2026-02-24 10:31:00+00:00,5171.17,1,2026-02-24 10:41:00+00:00,timeout,-3.319999999999709,False,False,0
2026-02-24 10:45:00+00:00,2026-02-24 10:46:00+00:00,5169.87,-1,2026-02-24 10:56:00+00:00,timeout,-3.9400000000005093,False,False,0
2026-02-24 12:30:00+00:00,2026-02-24 12:31:00+00:00,5163.54,-1,2026-02-24 12:33:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 13:15:00+00:00,2026-02-24 13:16:00+00:00,5156.6,1,2026-02-24 13:26:00+00:00,timeout,0.4899999999997817,False,True,0
2026-02-24 13:45:00+00:00,2026-02-24 13:46:00+00:00,5140.96,-1,2026-02-24 13:48:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 14:00:00+00:00,2026-02-24 14:01:00+00:00,5116.51,-1,2026-02-24 14:11:00+00:00,timeout,2.600000000000364,False,True,0
2026-02-24 14:15:00+00:00,2026-02-24 14:16:00+00:00,5107.71,1,2026-02-24 14:21:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 14:30:00+00:00,2026-02-24 14:31:00+00:00,5122.85,1,2026-02-24 14:37:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 14:45:00+00:00,2026-02-24 14:46:00+00:00,5138.11,1,2026-02-24 14:56:00+00:00,timeout,-6.149999999999636,False,False,0
2026-02-24 15:00:00+00:00,2026-02-24 15:01:00+00:00,5126.21,-1,2026-02-24 15:02:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 15:15:00+00:00,2026-02-24 15:16:00+00:00,5135.52,1,2026-02-24 15:17:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 16:00:00+00:00,2026-02-24 16:01:00+00:00,5150.99,1,2026-02-24 16:11:00+00:00,timeout,-7.079999999999927,False,False,0
2026-02-24 16:45:00+00:00,2026-02-24 16:46:00+00:00,5141.8,-1,2026-02-24 16:49:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 17:00:00+00:00,2026-02-24 17:01:00+00:00,5144.56,-1,2026-02-24 17:11:00+00:00,timeout,-13.269999999999527,False,False,0
2026-02-24 18:30:00+00:00,2026-02-24 18:31:00+00:00,5159.53,-1,2026-02-24 18:36:00+00:00,trail_stop,5.0,True,True,0
2026-02-24 20:30:00+00:00,2026-02-24 20:31:00+00:00,5166.33,1,2026-02-24 20:34:00+00:00,trail_stop,5.0,True,True,0
2026-02-25 10:30:00+00:00,2026-02-25 10:31:00+00:00,5175.99,1,2026-02-25 10:41:00+00:00,timeout,3.925000000000182,True,True,0
2026-02-25 11:30:00+00:00,2026-02-25 11:31:00+00:00,5168.25,-1,2026-02-25 11:41:00+00:00,timeout,-4.880000000000109,False,False,0
2026-02-25 13:45:00+00:00,2026-02-25 13:46:00+00:00,5186.08,-1,2026-02-25 13:56:00+00:00,timeout,-2.3299999999999272,False,False,0
2026-02-25 14:30:00+00:00,2026-02-25 14:31:00+00:00,5176.62,-1,2026-02-25 14:35:00+00:00,target_full,7.5,True,True,0
2026-02-25 14:45:00+00:00,2026-02-25 14:46:00+00:00,5177.38,-1,2026-02-25 14:56:00+00:00,timeout,-16.18000000000029,False,False,0
2026-02-25 15:00:00+00:00,2026-02-25 15:01:00+00:00,5191.46,1,2026-02-25 15:03:00+00:00,trail_stop,5.0,True,True,0
2026-02-25 16:00:00+00:00,2026-02-25 16:01:00+00:00,5193.86,1,2026-02-25 16:03:00+00:00,trail_stop,5.0,True,True,0
2026-02-25 20:30:00+00:00,2026-02-25 20:31:00+00:00,5185.25,-1,2026-02-25 20:41:00+00:00,timeout,2.9600000000000364,False,True,0
2026-02-26 08:30:00+00:00,2026-02-26 08:31:00+00:00,5179.02,-1,2026-02-26 08:34:00+00:00,trail_stop,5.0,True,True,0
2026-02-26 09:00:00+00:00,2026-02-26 09:01:00+00:00,5179.5,1,2026-02-26 09:11:00+00:00,timeout,1.3599999999996726,False,True,0
2026-02-26 12:15:00+00:00,2026-02-26 12:16:00+00:00,5168.65,-1,2026-02-26 12:26:00+00:00,timeout,-9.579999999999927,False,False,0
2026-02-26 13:15:00+00:00,2026-02-26 13:16:00+00:00,5174.88,-1,2026-02-26 13:26:00+00:00,timeout,-2.7100000000000364,False,False,0
2026-02-26 13:45:00+00:00,2026-02-26 13:46:00+00:00,5166.25,-1,2026-02-26 13:56:00+00:00,timeout,-3.7399999999997817,False,False,0
2026-02-26 14:15:00+00:00,2026-02-26 14:16:00+00:00,5165.73,-1,2026-02-26 14:26:00+00:00,timeout,-3.930000000000291,False,False,0
2026-02-26 14:45:00+00:00,2026-02-26 14:46:00+00:00,5171.31,-1,2026-02-26 14:49:00+00:00,trail_stop,5.0,True,True,0
2026-02-26 15:30:00+00:00,2026-02-26 15:31:00+00:00,5144.42,-1,2026-02-26 15:37:00+00:00,stop_loss,-20.0,False,False,0
2026-02-26 15:45:00+00:00,2026-02-26 15:46:00+00:00,5179.81,1,2026-02-26 15:49:00+00:00,trail_stop,5.0,True,True,0
2026-02-26 16:00:00+00:00,2026-02-26 16:01:00+00:00,5182.86,1,2026-02-26 16:11:00+00:00,timeout,-6.029999999999745,False,False,0
2026-02-26 18:45:00+00:00,2026-02-26 18:46:00+00:00,5183.51,-1,2026-02-26 18:56:00+00:00,timeout,2.1900000000005093,False,True,0
2026-02-27 13:15:00+00:00,2026-02-27 13:16:00+00:00,5219.92,1,2026-02-27 13:21:00+00:00,trail_stop,5.0,True,True,0
2026-02-27 13:30:00+00:00,2026-02-27 13:31:00+00:00,5223.73,1,2026-02-27 13:33:00+00:00,trail_stop,5.0,True,True,0
2026-02-27 13:45:00+00:00,2026-02-27 13:46:00+00:00,5216.06,-1,2026-02-27 13:56:00+00:00,timeout,-5.8799999999992,False,False,0
2026-02-27 14:00:00+00:00,2026-02-27 14:01:00+00:00,5224.12,-1,2026-02-27 14:10:00+00:00,trail_stop,5.0,True,True,0
2026-02-27 14:30:00+00:00,2026-02-27 14:31:00+00:00,5232.24,1,2026-02-27 14:41:00+00:00,timeout,-18.219999999999345,False,False,0
2026-02-27 14:45:00+00:00,2026-02-27 14:46:00+00:00,5222.72,-1,2026-02-27 14:48:00+00:00,trail_stop,5.0,True,True,0
2026-02-27 15:15:00+00:00,2026-02-27 15:16:00+00:00,5237.46,1,2026-02-27 15:22:00+00:00,stop_loss,-20.0,False,False,0
2026-02-27 15:30:00+00:00,2026-02-27 15:31:00+00:00,5233.28,-1,2026-02-27 15:34:00+00:00,trail_stop,5.0,True,True,0
2026-02-27 16:15:00+00:00,2026-02-27 16:16:00+00:00,5258.15,1,2026-02-27 16:22:00+00:00,stop_loss,-20.0,False,False,0
2026-02-27 16:30:00+00:00,2026-02-27 16:31:00+00:00,5237.78,-1,2026-02-27 16:32:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 08:45:00+00:00,2026-03-02 08:46:00+00:00,5405.05,-1,2026-03-02 08:54:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 09:30:00+00:00,2026-03-02 09:31:00+00:00,5397.42,1,2026-03-02 09:33:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 10:15:00+00:00,2026-03-02 10:16:00+00:00,5389.69,1,2026-03-02 10:26:00+00:00,timeout,-3.0399999999999636,False,False,0
2026-03-02 12:00:00+00:00,2026-03-02 12:01:00+00:00,5381.66,-1,2026-03-02 12:11:00+00:00,timeout,-13.449999999999818,False,False,0
2026-03-02 13:00:00+00:00,2026-03-02 13:01:00+00:00,5395.06,1,2026-03-02 13:04:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 13:15:00+00:00,2026-03-02 13:16:00+00:00,5382.7,-1,2026-03-02 13:23:00+00:00,stop_loss,-20.0,False,False,0
2026-03-02 13:30:00+00:00,2026-03-02 13:31:00+00:00,5411.94,1,2026-03-02 13:41:00+00:00,timeout,-6.9299999999993815,False,False,0
2026-03-02 13:45:00+00:00,2026-03-02 13:46:00+00:00,5397.2,1,2026-03-02 13:56:00+00:00,timeout,-1.2299999999995634,False,False,0
2026-03-02 14:15:00+00:00,2026-03-02 14:16:00+00:00,5375.01,-1,2026-03-02 14:17:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 14:30:00+00:00,2026-03-02 14:31:00+00:00,5332.22,-1,2026-03-02 14:31:00+00:00,target_full,7.5,True,True,0
2026-03-02 14:45:00+00:00,2026-03-02 14:46:00+00:00,5338.36,-1,2026-03-02 14:47:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 15:00:00+00:00,2026-03-02 15:01:00+00:00,5322.02,-1,2026-03-02 15:06:00+00:00,target_full,7.5,True,True,0
2026-03-02 15:15:00+00:00,2026-03-02 15:16:00+00:00,5331.89,-1,2026-03-02 15:17:00+00:00,target_full,7.5,True,True,0
2026-03-02 15:30:00+00:00,2026-03-02 15:31:00+00:00,5341.21,-1,2026-03-02 15:37:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 15:45:00+00:00,2026-03-02 15:46:00+00:00,5335.76,1,2026-03-02 15:56:00+00:00,timeout,-13.150000000000546,False,False,0
2026-03-02 16:00:00+00:00,2026-03-02 16:01:00+00:00,5288.01,-1,2026-03-02 16:01:00+00:00,target_full,7.5,True,True,0
2026-03-02 16:15:00+00:00,2026-03-02 16:16:00+00:00,5296.65,-1,2026-03-02 16:18:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 16:30:00+00:00,2026-03-02 16:31:00+00:00,5308.22,-1,2026-03-02 16:33:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 16:45:00+00:00,2026-03-02 16:46:00+00:00,5304.24,-1,2026-03-02 16:47:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 17:00:00+00:00,2026-03-02 17:01:00+00:00,5296.81,-1,2026-03-02 17:02:00+00:00,target_full,7.5,True,True,0
2026-03-02 17:15:00+00:00,2026-03-02 17:16:00+00:00,5297.44,1,2026-03-02 17:21:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 17:30:00+00:00,2026-03-02 17:31:00+00:00,5309.97,1,2026-03-02 17:32:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 17:45:00+00:00,2026-03-02 17:46:00+00:00,5309.06,1,2026-03-02 17:56:00+00:00,timeout,-4.039999999999964,False,False,0
2026-03-02 18:00:00+00:00,2026-03-02 18:01:00+00:00,5306.7,-1,2026-03-02 18:03:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 18:30:00+00:00,2026-03-02 18:31:00+00:00,5295.8,-1,2026-03-02 18:38:00+00:00,trail_stop,5.0,True,True,0
2026-03-02 19:15:00+00:00,2026-03-02 19:16:00+00:00,5328.97,1,2026-03-02 19:26:00+00:00,timeout,-0.4499999999998181,False,False,0
2026-03-02 19:30:00+00:00,2026-03-02 19:31:00+00:00,5329.9,-1,2026-03-02 19:41:00+00:00,timeout,-0.5,False,False,0
2026-03-02 20:30:00+00:00,2026-03-02 20:31:00+00:00,5335.99,-1,2026-03-02 20:41:00+00:00,timeout,-5.760000000000218,False,False,0
2026-03-03 08:15:00+00:00,2026-03-03 08:16:00+00:00,5317.68,-1,2026-03-03 08:26:00+00:00,timeout,1.2600000000002183,False,True,0
2026-03-03 08:30:00+00:00,2026-03-03 08:31:00+00:00,5310.01,-1,2026-03-03 08:34:00+00:00,trail_stop,5.0,True,True,0
