entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2026-04-07 16:45:00+00:00,2026-04-07 17:00:00+00:00,30.0,tp,ret_short,-1,ret_short,0.5951129198074341,,
2026-04-08 09:45:00+00:00,2026-04-08 10:00:00+00:00,-15.0,sl,ret,1,ret,0.7399900555610657,,
2026-04-08 10:45:00+00:00,2026-04-08 11:00:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6328240633010864,,
2026-04-08 12:15:00+00:00,2026-04-08 12:30:00+00:00,-30.0,swing_break,wr90,1,wr90,0.6041319380311222,8921.9,8891.9
2026-04-08 13:15:00+00:00,2026-04-08 13:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7027798295021057,,
2026-04-08 15:15:00+00:00,2026-04-08 15:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6592859029769897,,
2026-04-09 08:15:00+00:00,2026-04-09 08:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5833919644355774,,
2026-04-09 09:45:00+00:00,2026-04-09 10:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.6028413772583008,,
2026-04-09 11:30:00+00:00,2026-04-09 11:45:00+00:00,-15.0,sl,ret,1,ret,0.7776291370391846,,
2026-04-09 12:00:00+00:00,2026-04-09 12:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5855481028556824,,
2026-04-09 12:15:00+00:00,2026-04-09 12:30:00+00:00,30.0,tp,ret,1,ret,0.7653703093528748,,
2026-04-09 13:15:00+00:00,2026-04-09 13:30:00+00:00,30.0,tp,ret,1,ret,0.7229554057121277,,
2026-04-09 14:00:00+00:00,2026-04-09 14:15:00+00:00,30.0,tp,ret,1,ret,0.7491655945777893,,
2026-04-09 16:30:00+00:00,2026-04-09 16:45:00+00:00,30.0,tp,long_retrace,1,long_ret,0.5379648804664612,,
2026-04-10 07:45:00+00:00,2026-04-10 08:00:00+00:00,-15.0,sl,ret,1,ret,0.6727014183998108,,
2026-04-10 11:30:00+00:00,2026-04-10 12:00:00+00:00,30.0,tp,ret,1,ret,0.6619404554367065,,
