name,pt,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,hr_global,nt,pnl,wr,dd
F30S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,30,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.80622837370242,135,-338.9469164875504,36.2962962962963,-454.9938551824471
F30S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,30,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.80622837370242,104,-354.4177481079728,34.61538461538461,-421.8466737761614
F30S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,30,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.80622837370242,118,-361.7787981490492,33.89830508474576,-455.33679026394066
F15S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,15,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.647181194091942,419,-369.1693020383841,36.9928400954654,-758.2642781623717
F15S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,15,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.88808139534883,203,-380.71765450250587,37.93103448275862,-470.1527411120378
F15S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,15,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.88808139534883,318,-383.68976706018884,38.36477987421384,-657.0567678172933
F15S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,15,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.3039496279336,187,-399.46748818886726,36.36363636363637,-700.3346492876494
F15S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,15,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.88808139534883,278,-406.9453804429422,37.76978417266187,-636.3807250464893
F15S90_O-10C-40O-70R-50K5_H360_TP30SL20,0.55,15,90,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.70991797166294,192,-423.98614150536787,37.5,-701.0133052394181
F15S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,15,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.936962750716333,194,-443.6702868661373,36.08247422680412,-701.22525549796
F15S90_O-10C-40O-70R-50K5_H360_TP30SL20,0.5,15,90,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.70991797166294,231,-484.35390665518526,38.52813852813853,-731.3297919738529
F15S90_O-10C-40O-70R-50K5_H360_TP30SL20,0.4,15,90,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.70991797166294,310,-592.6440146167124,38.387096774193544,-967.797316324346
F15S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,15,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.936962750716333,234,-652.5821684626571,35.47008547008547,-791.3748340758066
F15S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,15,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.936962750716333,269,-678.2409979825857,36.059479553903344,-848.6733846684956
F15S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,15,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.936962750716333,314,-837.5877921066931,36.624203821656046,-1132.5865974389408
F15S90_O-10C-40O-70R-50K5_H360_TP30SL20,0.45,15,90,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.70991797166294,274,-879.8862242425698,36.13138686131387,-1086.60608839529
F30S240_O-20C-40O-70R-50K10_H240_TP30SL15,0.5,30,240,-20,-40,-70,-50,10,240,0.3,0.15,2.0,25.624999999999996,0,-999.0,0.0,0.0
