entry,exit,pnl,reason,type,side
2026-04-02 17:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-02 17:06:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-02 18:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-02 18:53:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-02 19:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-02 19:02:00+00:00,,41.099999999998545,target_hit,dip_long_15m,1
2026-04-02 19:16:00+00:00,,43.899999999999636,target_hit,dip_long_15m,1
2026-04-06 14:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 14:17:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 14:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 14:21:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 14:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 14:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 16:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 16:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 16:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 17:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 17:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 18:31:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-06 18:47:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 18:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 19:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 19:49:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 19:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-06 19:53:00+00:00,,31.200000000000728,target_hit,dip_long_15m,1
2026-04-07 13:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 13:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 13:54:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-07 14:21:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 14:23:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 14:24:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-07 15:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 15:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 15:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 15:54:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 16:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 16:03:00+00:00,,64.29999999999927,target_hit,dip_long_15m,1
2026-04-07 16:23:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 16:24:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-07 16:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 16:54:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-07 17:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 17:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 17:49:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-07 17:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
