side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,wf_cycle,source,entry_ts,exit_ts,month
-1,2025-07-22 10:21:00+00:00,3387.02,3399.0199268723954,3361.0201584431434,2025-07-22 18:21:00+00:00,1,0,0.5,0.13154596090316772,25.999841556856477,11.999926872395296,480,2025-07-22 12:23:00+00:00,3399.0199268723954,stop_loss,-11.999926872395463,15,short,2025-07-22 10:21:00+00:00,2025-07-22 12:23:00+00:00,2025-07
-1,2025-07-23 08:51:00+00:00,3426.08,3438.0799268723954,3399.9801584431434,2025-07-23 16:52:00+00:00,1,0,0.5,0.3426291346549988,25.999841556856477,11.999926872395296,480,2025-07-23 15:57:00+00:00,3399.9801584431434,target_hit,26.099841556856518,15,short,2025-07-23 08:51:00+00:00,2025-07-23 15:57:00+00:00,2025-07
1,2025-07-23 14:06:00+00:00,3418.35,3413.7977085980406,3425.5668188419095,2025-07-23 16:10:00+00:00,5,0,0.5,0.7442826628684998,6.096818841909778,4.552291401959301,120,2025-07-23 14:18:00+00:00,3413.7977085980406,stop_loss,-4.552291401959337,15,long,2025-07-23 14:06:00+00:00,2025-07-23 14:18:00+00:00,2025-07
1,2025-07-23 17:52:00+00:00,3394.07,3389.517708598041,3401.41681884191,2025-07-23 21:24:00+00:00,26,0,0.5,0.5686578750610352,6.096818841909778,4.552291401959301,120,2025-07-23 19:44:00+00:00,3389.517708598041,stop_loss,-4.552291401959337,15,long,2025-07-23 17:52:00+00:00,2025-07-23 19:44:00+00:00,2025-07
1,2025-07-24 13:58:00+00:00,3366.77,3362.2177085980406,3374.2568188419095,2025-07-24 16:09:00+00:00,9,0,0.5,0.9323804378509521,6.096818841909778,4.552291401959301,120,2025-07-24 14:19:00+00:00,3374.2568188419095,target_hit,7.486818841909553,15,long,2025-07-24 13:58:00+00:00,2025-07-24 14:19:00+00:00,2025-07
1,2025-07-24 14:57:00+00:00,3373.31,3368.7577085980406,3379.4068188419096,2025-07-24 18:29:00+00:00,27,0,0.5,0.5182510018348694,6.096818841909778,4.552291401959301,120,2025-07-24 16:30:00+00:00,3368.7577085980406,stop_loss,-4.552291401959337,15,long,2025-07-24 14:57:00+00:00,2025-07-24 16:30:00+00:00,2025-07
1,2025-07-24 16:31:00+00:00,3368.81,3364.2577085980406,3377.6968188419096,2025-07-24 19:35:00+00:00,49,0,0.5,0.680904746055603,6.096818841909778,4.552291401959301,120,2025-07-24 19:35:00+00:00,3371.88,timeout,3.0700000000001637,15,long,2025-07-24 16:31:00+00:00,2025-07-24 19:35:00+00:00,2025-07
-1,2025-07-25 09:33:00+00:00,3348.05,3360.0499268723956,3317.220158443143,2025-07-25 20:18:00+00:00,1,0,0.5,0.5745866298675537,25.999841556856477,11.999926872395296,480,2025-07-25 20:18:00+00:00,3336.84,timeout,11.210000000000036,15,short,2025-07-25 09:33:00+00:00,2025-07-25 20:18:00+00:00,2025-07
1,2025-07-25 18:10:00+00:00,3338.18,3333.6277085980405,3344.2768188419095,2025-07-25 20:10:00+00:00,1,0,0.5,0.6102272868156433,6.096818841909778,4.552291401959301,120,2025-07-25 20:10:00+00:00,3338.12,timeout,-0.05999999999994543,15,long,2025-07-25 18:10:00+00:00,2025-07-25 20:10:00+00:00,2025-07
1,2025-07-28 15:38:00+00:00,3317.04,3312.4877085980406,3323.1368188419096,2025-07-28 18:05:00+00:00,9,0,0.5,0.5274847149848938,6.096818841909778,4.552291401959301,120,2025-07-28 16:09:00+00:00,3312.4877085980406,stop_loss,-4.552291401959337,15,long,2025-07-28 15:38:00+00:00,2025-07-28 16:09:00+00:00,2025-07
-1,2025-07-28 19:42:00+00:00,3315.44,3327.4399268723955,3289.4401584431434,2025-07-29 03:42:00+00:00,0,0,0.5,0.13132119178771973,25.999841556856477,11.999926872395296,480,2025-07-29 03:42:00+00:00,3313.57,timeout,1.8699999999998909,15,short,2025-07-28 19:42:00+00:00,2025-07-29 03:42:00+00:00,2025-07
1,2025-07-29 09:07:00+00:00,3323.06,3318.5077085980406,3330.7568188419095,2025-07-29 12:56:00+00:00,24,0,0.5,0.6998030543327332,6.096818841909778,4.552291401959301,120,2025-07-29 11:05:00+00:00,3318.5077085980406,stop_loss,-4.552291401959337,15,long,2025-07-29 09:07:00+00:00,2025-07-29 11:05:00+00:00,2025-07
1,2025-07-29 15:35:00+00:00,3324.46,3319.9077085980407,3330.5568188419097,2025-07-29 17:45:00+00:00,6,0,0.5,0.5165414810180664,6.096818841909778,4.552291401959301,120,2025-07-29 15:55:00+00:00,3319.9077085980407,stop_loss,-4.552291401959337,15,long,2025-07-29 15:35:00+00:00,2025-07-29 15:55:00+00:00,2025-07
-1,2025-07-29 16:49:00+00:00,3323.31,3335.3099268723954,3297.3101584431433,2025-07-30 04:52:00+00:00,4,0,0.5,0.5353354215621948,25.999841556856477,11.999926872395296,480,2025-07-30 04:52:00+00:00,3327.69,timeout,-4.380000000000109,15,short,2025-07-29 16:49:00+00:00,2025-07-30 04:52:00+00:00,2025-07
1,2025-07-29 16:54:00+00:00,3323.86,3319.307708598041,3330.0868188419095,2025-07-29 19:04:00+00:00,5,0,0.5,0.4720117151737213,6.096818841909778,4.552291401959301,120,2025-07-29 18:17:00+00:00,3330.0868188419095,target_hit,6.226818841909335,15,long,2025-07-29 16:54:00+00:00,2025-07-29 18:17:00+00:00,2025-07
1,2025-07-30 18:10:00+00:00,3301.89,3297.3377085980405,3309.3268188419097,2025-07-30 20:12:00+00:00,3,0,0.5,0.4511941075325012,6.096818841909778,4.552291401959301,120,2025-07-30 18:16:00+00:00,3297.3377085980405,stop_loss,-4.552291401959337,15,long,2025-07-30 18:10:00+00:00,2025-07-30 18:16:00+00:00,2025-07
1,2025-07-31 09:29:00+00:00,3309.0,3304.4477085980407,3315.16681884191,2025-07-31 11:48:00+00:00,4,0,0.5,0.5047190189361572,6.096818841909778,4.552291401959301,120,2025-07-31 10:18:00+00:00,3304.4477085980407,stop_loss,-4.552291401959337,15,long,2025-07-31 09:29:00+00:00,2025-07-31 10:18:00+00:00,2025-07
1,2025-07-31 11:37:00+00:00,3306.79,3302.2377085980406,3315.3668188419097,2025-07-31 15:13:00+00:00,42,0,0.5,0.6512438058853149,6.096818841909778,4.552291401959301,120,2025-07-31 13:46:00+00:00,3302.2377085980406,stop_loss,-4.552291401959337,15,long,2025-07-31 11:37:00+00:00,2025-07-31 13:46:00+00:00,2025-07
-1,2025-07-31 12:30:00+00:00,3306.64,3318.6399268723953,3280.6401584431433,2025-07-31 20:30:00+00:00,0,0,0.5,0.5593515038490295,25.999841556856477,11.999926872395296,480,2025-07-31 20:30:00+00:00,3292.05,timeout,14.58999999999969,15,short,2025-07-31 12:30:00+00:00,2025-07-31 20:30:00+00:00,2025-07
1,2025-08-03 22:38:00+00:00,3359.46,3355.1057614007273,3365.7715695525976,2025-08-04 01:04:00+00:00,19,0,0.5,0.5016164779663086,5.831569552597416,4.354238599272736,120,2025-08-03 23:20:00+00:00,3355.1057614007273,stop_loss,-4.354238599272776,16,long,2025-08-03 22:38:00+00:00,2025-08-03 23:20:00+00:00,2025-08
1,2025-08-03 23:50:00+00:00,3360.3,3355.9457614007274,3366.4715695525974,2025-08-04 01:56:00+00:00,1,0,0.5,0.5639680027961731,5.831569552597416,4.354238599272736,120,2025-08-04 00:15:00+00:00,3355.9457614007274,stop_loss,-4.354238599272776,16,long,2025-08-03 23:50:00+00:00,2025-08-04 00:15:00+00:00,2025-08
