side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source
1,2026-02-05 09:15:00+00:00,4863.56,4848.56,4887.24,2026-02-05 09:36:00+00:00,4,0,0.6911130547523499,0.6911130547523499,20.0,15.0,15,uptrend_retrace,2026-02-05 09:36:00+00:00,4877.88,timeout,14.319999999999709,pattern
-1,2026-02-05 09:52:00+00:00,4868.56,4898.56,4813.68,2026-02-05 10:11:00+00:00,2,0,0.7903343439102173,0.20966565608978271,40.0,30.0,15,reversal_fvg_short,2026-02-05 10:11:00+00:00,4862.35,timeout,6.210000000000036,pattern
1,2026-02-05 12:28:00+00:00,4844.37,4829.37,4884.34,2026-02-05 13:14:00+00:00,19,0,0.6134331226348877,0.6134331226348877,20.0,15.0,15,uptrend_retrace,2026-02-05 13:01:00+00:00,4829.37,stop_loss,-15.0,pattern
1,2026-02-05 18:39:00+00:00,4861.58,4846.58,4886.99,2026-02-05 19:09:00+00:00,6,0,0.5615934729576111,0.5615934729576111,20.0,15.0,15,uptrend_retrace,2026-02-05 19:05:00+00:00,4846.58,stop_loss,-15.0,pattern
1,2026-02-05 19:08:00+00:00,4865.31,4850.31,4885.31,2026-02-05 19:28:00+00:00,6,0,0.5960308909416199,0.5960308909416199,20.0,15.0,15,uptrend_retrace,2026-02-05 19:14:00+00:00,4850.31,stop_loss,-15.0,pattern
1,2026-02-05 19:15:00+00:00,4851.15,4836.15,4878.26,2026-02-05 19:47:00+00:00,18,0,0.5853864550590515,0.5853864550590515,20.0,15.0,15,uptrend_retrace,2026-02-05 19:33:00+00:00,4836.15,stop_loss,-15.0,pattern
-1,2026-02-05 21:50:00+00:00,4770.31,4800.31,4730.31,2026-02-05 22:11:00+00:00,2,0,0.6218599081039429,0.37814009189605713,40.0,30.0,15,downtrend_retrace,2026-02-05 23:01:00+00:00,4762.1,timeout,8.210000000000036,pattern
-1,2026-02-05 23:16:00+00:00,4763.86,4793.86,4723.86,2026-02-05 23:46:00+00:00,1,0,0.7061288952827454,0.29387110471725464,40.0,30.0,30,breakthrough_short,2026-02-05 23:46:00+00:00,4727.02,timeout,36.839999999999236,pattern
-1,2026-02-05 23:47:00+00:00,4727.23,4757.23,4677.28,2026-02-06 00:10:00+00:00,3,0,0.7612325549125671,0.23876744508743286,40.0,30.0,15,downtrend_retrace,2026-02-06 00:10:00+00:00,4696.54,timeout,30.6899999999996,pattern
1,2026-02-06 01:03:00+00:00,4696.02,4681.02,4716.02,2026-02-06 01:18:00+00:00,0,0,0.6762023568153381,0.6762023568153381,20.0,15.0,15,uptrend_retrace,2026-02-06 01:03:00+00:00,4716.02,target_hit,20.0,pattern
-1,2026-02-06 01:16:00+00:00,4760.8,4790.8,4708.23,2026-02-06 01:31:00+00:00,1,0,0.6262003779411316,0.3737996220588684,40.0,30.0,15,downtrend_retrace,2026-02-06 01:23:00+00:00,4708.23,target_hit,52.57000000000062,pattern
1,2026-02-06 01:24:00+00:00,4708.85,4693.85,4752.27,2026-02-06 01:57:00+00:00,9,0,0.6229115724563599,0.6229115724563599,20.0,15.0,15,uptrend_retrace,2026-02-06 01:48:00+00:00,4752.27,target_hit,43.42000000000007,pattern
1,2026-02-06 03:42:00+00:00,4808.65,4793.65,4839.5,2026-02-06 04:03:00+00:00,7,0,0.6393030881881714,0.6393030881881714,20.0,15.0,15,uptrend_retrace,2026-02-06 04:03:00+00:00,4825.48,timeout,16.829999999999927,pattern
-1,2026-02-06 08:02:00+00:00,4831.04,4861.04,4791.04,2026-02-06 08:19:00+00:00,1,0,0.6445711851119995,0.3554288148880005,40.0,30.0,15,downtrend_retrace,2026-02-06 08:19:00+00:00,4855.24,timeout,-24.199999999999818,pattern
1,2026-02-06 08:20:00+00:00,4855.13,4840.13,4875.13,2026-02-06 08:35:00+00:00,0,0,0.5747630596160889,0.5747630596160889,20.0,15.0,15,uptrend_retrace,2026-02-06 08:31:00+00:00,4875.13,target_hit,20.0,pattern
1,2026-02-06 09:39:00+00:00,4862.79,4847.79,4883.71,2026-02-06 09:58:00+00:00,5,0,0.5537344217300415,0.5537344217300415,20.0,15.0,15,uptrend_retrace,2026-02-06 09:58:00+00:00,4869.85,timeout,7.0600000000004,pattern
1,2026-02-06 13:32:00+00:00,4927.22,4912.22,4957.02,2026-02-06 13:56:00+00:00,10,0,0.6265931129455566,0.6265931129455566,20.0,15.0,15,reversal_fvg_long,2026-02-06 13:56:00+00:00,4923.61,timeout,-3.610000000000582,pattern
1,2026-02-06 14:10:00+00:00,4923.54,4908.54,4943.96,2026-02-06 14:35:00+00:00,11,0,0.7069051265716553,0.7069051265716553,20.0,15.0,15,uptrend_retrace,2026-02-06 14:23:00+00:00,4908.54,stop_loss,-15.0,pattern
1,2026-02-06 14:24:00+00:00,4905.03,4890.03,4925.27,2026-02-06 14:44:00+00:00,4,0,0.5898407697677612,0.5898407697677612,20.0,15.0,15,uptrend_retrace,2026-02-06 14:32:00+00:00,4925.27,target_hit,20.24000000000069,pattern
1,2026-02-06 14:42:00+00:00,4927.81,4912.81,4956.62,2026-02-06 15:03:00+00:00,6,0,0.5780266523361206,0.5780266523361206,20.0,15.0,15,uptrend_retrace,2026-02-06 15:00:00+00:00,4956.62,target_hit,28.80999999999949,pattern
1,2026-02-09 23:34:00+00:00,5022.77,5007.77,5056.19,2026-02-09 23:58:00+00:00,7,0,0.6735531687736511,0.6735531687736511,20.0,15.0,15,uptrend_retrace,2026-02-09 23:58:00+00:00,5033.53,timeout,10.759999999999309,pattern
1,2026-02-11 11:10:00+00:00,5094.56,5079.56,5127.4,2026-02-11 11:46:00+00:00,10,0,0.5716490745544434,0.5716490745544434,20.0,15.0,15,reversal_fvg_long,2026-02-11 11:46:00+00:00,5112.08,timeout,17.519999999999527,pattern
1,2026-02-11 11:48:00+00:00,5114.37,5099.37,5135.12,2026-02-11 12:10:00+00:00,8,0,0.5637111663818359,0.5637111663818359,20.0,15.0,15,reversal_fvg_long,2026-02-11 12:09:00+00:00,5099.37,stop_loss,-15.0,pattern
