mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
C_wr90_mid_drop,480,0.2,0.15,1.3333333333333335,62656,18453,29.45128958120531,17.437027189907525,13.077770392430642,18452
B_wr30_recovery,240,0.4,0.15,2.666666666666667,141277,18348,12.987251994309052,34.64414819311313,12.991555572417422,18348
D_wr30_bounce,240,0.25,0.2,1.25,63711,18201,28.568065169280032,21.742687160480532,17.39414972838443,18201
D_wr30_bounce,360,0.3,0.2,1.4999999999999998,63711,18003,28.257286810754817,26.091224592576637,17.39414972838443,18003
B_wr30_recovery,120,0.3,0.2,1.4999999999999998,141277,17970,12.71969251895213,25.983111144834844,17.322074096556566,17970
C_wr90_mid_drop,240,0.25,0.2,1.25,62656,17919,28.599016853932586,21.7962839873844,17.437027189907525,17919
D_wr30_bounce,360,0.25,0.15,1.6666666666666667,63711,17897,28.09091051780697,21.742687160480532,13.045612296288319,17897
D_wr30_bounce,480,0.25,0.15,1.6666666666666667,63711,17737,27.839776490715888,21.742687160480532,13.045612296288319,17737
D_wr30_bounce,240,0.2,0.12,1.6666666666666667,63711,17722,27.8162326756761,17.39414972838443,10.436489837030654,17722
C_wr90_mid_drop,240,0.2,0.12,1.6666666666666667,62656,17640,28.153728294177732,17.437027189907525,10.462216313944513,17640
C_wr90_mid_drop,360,0.3,0.2,1.4999999999999998,62656,17623,28.126596016343207,26.155540784861284,17.437027189907525,17623
C_wr90_mid_drop,360,0.25,0.15,1.6666666666666667,62656,17615,28.113827885597548,21.7962839873844,13.077770392430642,17615
C_wr90_mid_drop,480,0.25,0.15,1.6666666666666667,62656,17329,27.657367211440242,21.7962839873844,13.077770392430642,17328
D_wr30_bounce,120,0.2,0.25,0.8,63711,17089,26.822683680997,17.39414972838443,21.742687160480532,17088
D_wr30_bounce,480,0.35,0.2,1.7499999999999998,63711,17060,26.77716563858674,30.439762024672746,17.39414972838443,17059
B_wr30_recovery,120,0.3,0.15,2.0,141277,17027,12.052209489159594,25.983111144834844,12.991555572417422,17027
D_wr30_bounce,360,0.2,0.12,1.6666666666666667,63711,16916,26.55114501420477,17.39414972838443,10.436489837030654,16916
C_wr90_mid_drop,360,0.2,0.12,1.6666666666666667,62656,16854,26.89925944841675,17.437027189907525,10.462216313944513,16853
B_wr30_recovery,240,0.4,0.12,3.3333333333333335,141277,16823,11.907812311982841,34.64414819311313,10.393244457933935,16822
C_wr90_mid_drop,480,0.35,0.2,1.7499999999999998,62656,16774,26.771578140960163,30.514797582338165,17.437027189907525,16774
C_wr90_mid_drop,120,0.2,0.25,0.8,62656,16578,26.458758937691524,17.437027189907525,21.7962839873844,16578
D_wr30_bounce,120,0.2,0.2,1.0,63711,16514,25.920170771138423,17.39414972838443,17.39414972838443,16514
D_wr30_bounce,240,0.25,0.15,1.6666666666666667,63711,16434,25.79460375759288,21.742687160480532,13.045612296288319,16434
D_wr30_bounce,360,0.35,0.25,1.4,63711,16309,25.598405298927972,30.439762024672746,21.742687160480532,16309
D_wr30_bounce,480,0.3,0.15,2.0,63711,16195,25.41947230462557,26.091224592576637,13.045612296288319,16194
D_wr30_bounce,480,0.4,0.25,1.6,63711,16176,25.38965013890851,34.78829945676886,21.742687160480532,16176
C_wr90_mid_drop,240,0.25,0.15,1.6666666666666667,62656,16167,25.8027962206333,21.7962839873844,13.077770392430642,16167
C_wr90_mid_drop,480,0.4,0.25,1.6,62656,16117,25.722995403472932,34.87405437981505,21.7962839873844,16117
C_wr90_mid_drop,360,0.35,0.25,1.4,62656,16074,25.654366700715016,30.514797582338165,21.7962839873844,16074
B_wr30_recovery,120,0.3,0.12,2.5,141277,16010,11.332347091175492,25.983111144834844,10.393244457933935,16010
C_wr90_mid_drop,120,0.2,0.2,1.0,62656,16002,25.539453524004085,17.437027189907525,17.437027189907525,16002
