entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,side
2026-02-02 12:01:00+00:00,4773.9,4798.9,4720.91,2026-02-02 12:50:00+00:00,6,0,0.68561851978302,0.047482624650001526,30.0,25.0,30,2026-02-02 12:45:00+00:00,4798.9,stop_loss,-25.0,down
2026-02-02 12:46:00+00:00,4805.02,4830.02,4746.13,2026-02-02 13:28:00+00:00,9,0,0.6550434827804565,0.05068964511156082,30.0,25.0,30,2026-02-02 13:00:00+00:00,4746.13,target_hit,58.89000000000033,down
2026-02-02 14:01:00+00:00,4724.12,4749.12,4684.26,2026-02-02 14:45:00+00:00,3,0,0.8600962162017822,0.43274572491645813,30.0,25.0,30,2026-02-02 14:17:00+00:00,4725.85,reverse_signal,-1.730000000000473,down
2026-02-02 14:18:00+00:00,4725.54,4700.54,4755.54,2026-02-02 14:48:00+00:00,1,0,0.7834257483482361,0.6414750814437866,30.0,25.0,30,2026-02-02 14:19:00+00:00,4700.54,stop_loss,-25.0,up
2026-02-02 14:20:00+00:00,4696.15,4671.15,4731.15,2026-02-02 14:56:00+00:00,4,0,0.9006965756416321,0.7317390441894531,30.0,25.0,30,2026-02-02 14:28:00+00:00,4722.39,reverse_signal,26.24000000000069,up
2026-02-02 14:29:00+00:00,4722.86,4747.86,4692.86,2026-02-02 15:02:00+00:00,2,0,0.8267883658409119,0.405398428440094,30.0,25.0,30,2026-02-02 14:33:00+00:00,4747.86,stop_loss,-25.0,down
2026-02-02 14:34:00+00:00,4748.35,4773.35,4718.35,2026-02-02 15:06:00+00:00,2,0,0.8257742524147034,0.3451063632965088,30.0,25.0,30,2026-02-02 14:37:00+00:00,4773.35,stop_loss,-25.0,down
2026-02-02 14:38:00+00:00,4778.19,4803.19,4746.94,2026-02-02 15:12:00+00:00,4,0,0.8039814829826355,0.1881231963634491,30.0,25.0,30,2026-02-02 14:43:00+00:00,4761.55,reverse_signal,16.639999999999418,down
2026-02-02 14:44:00+00:00,4762.2,4737.2,4792.2,2026-02-02 15:14:00+00:00,1,0,0.8415442109107971,0.6623277068138123,30.0,25.0,30,2026-02-02 14:45:00+00:00,4737.2,stop_loss,-25.0,up
2026-02-02 14:46:00+00:00,4747.83,4722.83,4784.1,2026-02-02 15:23:00+00:00,8,0,0.7692978978157043,0.7260957956314087,30.0,25.0,30,2026-02-02 14:54:00+00:00,4722.83,stop_loss,-25.0,up
2026-02-02 14:55:00+00:00,4719.19,4694.19,4749.19,2026-02-02 15:30:00+00:00,3,0,0.6165255308151245,0.7879171371459961,30.0,25.0,30,2026-02-02 15:01:00+00:00,4694.19,stop_loss,-25.0,up
2026-02-02 17:02:00+00:00,4677.19,4702.19,4639.79,2026-02-02 17:36:00+00:00,5,0,0.9115262031555176,0.05197548121213913,30.0,25.0,30,2026-02-02 17:07:00+00:00,4702.19,stop_loss,-25.0,down
2026-02-02 17:08:00+00:00,4700.13,4725.13,4606.17,2026-02-02 18:44:00+00:00,22,0,0.8471958637237549,0.1522616147994995,30.0,25.0,30,2026-02-02 18:19:00+00:00,4625.07,reverse_signal,75.0600000000004,down
