h,tpx,slx,rr,pt,hr_mask,nt,pnl,wr,dd,n_cycles
240,0.3,0.1,3.0,0.35,24.9,452,-745.7,22.1,-1403.7,23
480,0.3,0.12,2.5,0.35,41.8,473,-787.9,20.9,-1469.3,23
240,0.3,0.12,2.5,0.3,24.9,411,-839.1,24.6,-1460.7,23
240,0.3,0.15,2.0,0.3,24.9,366,-845.0,28.4,-1375.0,23
480,0.3,0.12,2.5,0.4,41.8,452,-869.6,20.4,-1589.9,23
480,0.3,0.12,2.5,0.5,41.8,423,-881.7,21.3,-1684.9,23
480,0.3,0.2,1.5,0.45,41.8,327,-893.1,31.8,-1544.0,23
240,0.3,0.15,2.0,0.35,24.9,352,-894.7,29.5,-1452.6,23
480,0.3,0.12,2.5,0.45,41.8,437,-897.1,21.1,-1704.7,23
480,0.3,0.15,2.0,0.45,41.8,378,-911.8,24.9,-1569.5,23
480,0.3,0.12,2.5,0.3,41.8,483,-930.4,20.7,-1608.3,23
480,0.3,0.1,3.0,0.5,41.8,489,-1026.8,17.8,-1567.6,23
240,0.3,0.1,3.0,0.3,24.9,471,-1029.0,20.4,-1539.3,23
480,0.3,0.15,2.0,0.5,41.8,368,-1030.0,24.7,-1609.9,23
480,0.3,0.2,1.5,0.5,41.8,321,-1163.9,31.2,-1744.9,23
