side,entry_time,entry_price,stop,target,timeout,exit_time,exit_price,exit_reason,pnl
down,2026-03-20 00:31:00+00:00,4648.35,4663.35,4617.84,2026-03-20 01:55:00+00:00,2026-03-20 01:00:00+00:00,4663.35,Stop,-15.0
down,2026-03-20 01:02:00+00:00,4656.07,4671.07,4626.07,2026-03-20 02:04:00+00:00,2026-03-20 01:05:00+00:00,4671.07,Stop,-15.0
down,2026-03-20 01:06:00+00:00,4670.56,4685.56,4618.79,2026-03-20 02:41:00+00:00,2026-03-20 01:42:00+00:00,4685.56,Stop,-15.0
down,2026-03-20 01:43:00+00:00,4682.6,4697.6,4652.6,2026-03-20 02:45:00+00:00,2026-03-20 01:46:00+00:00,4697.6,Stop,-15.0
down,2026-03-20 01:47:00+00:00,4694.12,4709.12,4643.78,2026-03-20 02:59:00+00:00,2026-03-20 02:10:00+00:00,4686.91,Reverse,7.210000000000036
up,2026-03-20 02:11:00+00:00,4687.29,4672.29,4717.29,2026-03-20 03:11:00+00:00,2026-03-20 02:15:00+00:00,4684.55,Reverse,-2.7399999999997817
down,2026-03-20 02:16:00+00:00,4684.34,4699.34,4650.57,2026-03-20 03:48:00+00:00,2026-03-20 02:49:00+00:00,4699.34,Stop,-15.0
down,2026-03-20 02:50:00+00:00,4699.66,4714.66,4664.68,2026-03-20 03:58:00+00:00,2026-03-20 03:05:00+00:00,4714.66,Stop,-15.0
down,2026-03-20 03:18:00+00:00,4728.85,4743.85,4687.8,2026-03-20 05:14:00+00:00,2026-03-20 04:28:00+00:00,4721.74,Reverse,7.110000000000582
up,2026-03-20 04:29:00+00:00,4722.12,4707.12,4752.12,2026-03-20 05:29:00+00:00,2026-03-20 04:32:00+00:00,4724.37,Reverse,2.25
down,2026-03-20 04:33:00+00:00,4724.05,4739.05,4635.22,2026-03-20 07:52:00+00:00,2026-03-20 06:53:00+00:00,4669.01,Reverse,55.039999999999964
up,2026-03-20 06:54:00+00:00,4669.72,4654.72,4699.72,2026-03-20 07:54:00+00:00,2026-03-20 06:54:00+00:00,4668.48,Reverse,-1.2400000000006912
down,2026-03-20 06:55:00+00:00,4667.95,4682.95,4637.95,2026-03-20 07:59:00+00:00,2026-03-20 07:01:00+00:00,4675.2,Reverse,-7.25
up,2026-03-20 07:02:00+00:00,4675.1,4660.1,4708.65,2026-03-20 08:13:00+00:00,2026-03-20 07:15:00+00:00,4679.27,Reverse,4.170000000000073
down,2026-03-20 07:16:00+00:00,4679.01,4694.01,4649.01,2026-03-20 08:38:00+00:00,2026-03-20 07:39:00+00:00,4694.01,Stop,-15.0
down,2026-03-20 07:41:00+00:00,4693.93,4708.93,4663.93,2026-03-20 09:05:00+00:00,2026-03-20 08:07:00+00:00,4708.93,Stop,-15.0
down,2026-03-20 08:09:00+00:00,4706.65,4721.65,4676.65,2026-03-20 09:15:00+00:00,2026-03-20 08:18:00+00:00,4721.65,Stop,-15.0
down,2026-03-20 08:20:00+00:00,4724.78,4739.78,4643.78,2026-03-20 10:44:00+00:00,2026-03-20 09:54:00+00:00,4662.72,Reverse,62.05999999999949
up,2026-03-20 09:55:00+00:00,4663.05,4648.05,4693.05,2026-03-20 10:55:00+00:00,2026-03-20 10:15:00+00:00,4664.48,Reverse,1.4299999999993815
down,2026-03-20 10:16:00+00:00,4664.22,4679.22,4609.79,2026-03-20 12:56:00+00:00,2026-03-20 12:00:00+00:00,4679.22,Stop,-15.0
down,2026-03-20 12:08:00+00:00,4683.17,4698.17,4653.17,2026-03-20 13:14:00+00:00,2026-03-20 12:28:00+00:00,4681.87,Reverse,1.300000000000182
up,2026-03-20 12:29:00+00:00,4682.28,4667.28,4712.28,2026-03-20 13:29:00+00:00,2026-03-20 12:30:00+00:00,4677.42,Reverse,-4.859999999999673
down,2026-03-20 12:31:00+00:00,4677.14,4692.14,4626.22,2026-03-20 14:30:00+00:00,2026-03-20 13:31:00+00:00,4650.57,Reverse,26.57000000000062
up,2026-03-20 13:32:00+00:00,4651.49,4636.49,4681.49,2026-03-20 14:32:00+00:00,2026-03-20 13:32:00+00:00,4651.32,Reverse,-0.17000000000007276
down,2026-03-20 13:33:00+00:00,4650.76,4665.76,4620.76,2026-03-20 14:33:00+00:00,2026-03-20 13:33:00+00:00,4642.51,Reverse,8.25
up,2026-03-20 13:34:00+00:00,4643.56,4628.56,4676.21,2026-03-20 14:34:00+00:00,2026-03-20 13:36:00+00:00,4657.09,Reverse,13.529999999999745
down,2026-03-20 13:37:00+00:00,4656.17,4671.17,4622.58,2026-03-20 14:39:00+00:00,2026-03-20 13:40:00+00:00,4655.22,Reverse,0.9499999999998181
up,2026-03-20 13:41:00+00:00,4656.02,4641.02,4686.02,2026-03-20 14:41:00+00:00,2026-03-20 13:41:00+00:00,4657.14,Reverse,1.1199999999998909
down,2026-03-20 13:42:00+00:00,4655.93,4670.93,4625.93,2026-03-20 14:42:00+00:00,2026-03-20 13:43:00+00:00,4662.57,Reverse,-6.639999999999418
up,2026-03-20 13:44:00+00:00,4663.41,4648.41,4693.41,2026-03-20 14:44:00+00:00,2026-03-20 13:50:00+00:00,4648.41,Stop,-15.0
down,2026-03-20 14:01:00+00:00,4619.4,4634.4,4557.29,2026-03-20 15:14:00+00:00,2026-03-20 14:15:00+00:00,4578.28,Reverse,41.11999999999989
up,2026-03-20 14:16:00+00:00,4579.54,4564.54,4609.54,2026-03-20 15:16:00+00:00,2026-03-20 14:18:00+00:00,4564.54,Stop,-15.0
up,2026-03-20 14:20:00+00:00,4576.11,4561.11,4606.11,2026-03-20 15:23:00+00:00,2026-03-20 14:24:00+00:00,4561.11,Stop,-15.0
up,2026-03-20 14:25:00+00:00,4569.23,4554.23,4599.23,2026-03-20 15:26:00+00:00,2026-03-20 14:27:00+00:00,4554.23,Stop,-15.0
up,2026-03-20 14:28:00+00:00,4555.73,4540.73,4585.73,2026-03-20 15:28:00+00:00,2026-03-20 14:30:00+00:00,4572.04,Reverse,16.3100000000004
down,2026-03-20 14:31:00+00:00,4571.15,4586.15,4539.79,2026-03-20 15:34:00+00:00,2026-03-20 14:36:00+00:00,4586.15,Stop,-15.0
down,2026-03-20 14:37:00+00:00,4581.61,4596.61,4541.85,2026-03-20 15:43:00+00:00,2026-03-20 14:45:00+00:00,4577.18,Reverse,4.4299999999993815
up,2026-03-20 14:46:00+00:00,4578.06,4563.06,4608.06,2026-03-20 15:46:00+00:00,2026-03-20 14:47:00+00:00,4563.06,Stop,-15.0
up,2026-03-20 14:48:00+00:00,4563.81,4548.81,4601.05,2026-03-20 15:54:00+00:00,2026-03-20 14:55:00+00:00,4548.81,Stop,-15.0
up,2026-03-20 14:56:00+00:00,4561.34,4546.34,4608.25,2026-03-20 16:24:00+00:00,2026-03-20 15:25:00+00:00,4546.34,Stop,-15.0
up,2026-03-20 15:26:00+00:00,4543.98,4528.98,4584.62,2026-03-20 16:28:00+00:00,2026-03-20 15:33:00+00:00,4574.65,Reverse,30.670000000000073
down,2026-03-20 15:34:00+00:00,4573.68,4588.68,4543.68,2026-03-20 16:34:00+00:00,2026-03-20 15:47:00+00:00,4554.92,Reverse,18.76000000000022
up,2026-03-20 15:48:00+00:00,4555.77,4540.77,4585.77,2026-03-20 16:49:00+00:00,2026-03-20 16:03:00+00:00,4572.06,Reverse,16.289999999999964
down,2026-03-20 16:04:00+00:00,4571.51,4586.51,4541.51,2026-03-20 17:12:00+00:00,2026-03-20 16:14:00+00:00,4586.51,Stop,-15.0
down,2026-03-20 16:38:00+00:00,4587.11,4602.11,4480.57,2026-03-20 19:51:00+00:00,2026-03-20 18:54:00+00:00,4502.52,Reverse,84.58999999999924
up,2026-03-20 18:55:00+00:00,4503.32,4488.32,4533.32,2026-03-20 19:55:00+00:00,2026-03-20 18:55:00+00:00,4488.32,Stop,-15.0
down,2026-03-20 18:57:00+00:00,4485.33,4500.33,4455.33,2026-03-20 19:58:00+00:00,2026-03-20 18:59:00+00:00,4500.33,Stop,-15.0
down,2026-03-20 19:00:00+00:00,4499.49,4514.49,4469.49,2026-03-20 20:01:00+00:00,2026-03-20 19:02:00+00:00,4514.49,Stop,-15.0
down,2026-03-20 19:03:00+00:00,4512.97,4527.97,4456.44,2026-03-20 20:25:00+00:00,2026-03-20 19:27:00+00:00,4496.0,Reverse,16.970000000000255
up,2026-03-20 19:28:00+00:00,4496.96,4481.96,4526.96,2026-03-20 20:28:00+00:00,2026-03-20 19:28:00+00:00,4497.59,Reverse,0.6300000000001091
down,2026-03-20 19:29:00+00:00,4496.69,4511.69,4466.69,2026-03-20 20:29:00+00:00,2026-03-20 19:30:00+00:00,4506.18,Reverse,-9.490000000000691
up,2026-03-20 19:31:00+00:00,4507.06,4492.06,4539.52,2026-03-20 20:43:00+00:00,2026-03-20 19:45:00+00:00,4509.84,Reverse,2.7799999999997453
down,2026-03-20 19:46:00+00:00,4508.91,4523.91,4470.99,2026-03-20 21:29:00+00:00,2026-03-22 22:01:00+00:00,4470.99,Target,37.92000000000007
down,2026-03-22 22:47:00+00:00,4506.88,4521.88,4460.56,2026-03-23 00:16:00+00:00,2026-03-22 23:17:00+00:00,4498.87,Reverse,8.010000000000218
up,2026-03-22 23:18:00+00:00,4499.15,4484.15,4529.15,2026-03-23 00:18:00+00:00,2026-03-22 23:18:00+00:00,4498.31,Reverse,-0.839999999999236
down,2026-03-22 23:19:00+00:00,4498.05,4513.05,4452.27,2026-03-23 00:31:00+00:00,2026-03-22 23:35:00+00:00,4480.88,Reverse,17.170000000000073
up,2026-03-22 23:36:00+00:00,4481.45,4466.45,4511.45,2026-03-23 00:36:00+00:00,2026-03-22 23:36:00+00:00,4478.67,Reverse,-2.7799999999997453
down,2026-03-22 23:37:00+00:00,4478.43,4493.43,4448.43,2026-03-23 00:43:00+00:00,2026-03-22 23:44:00+00:00,4488.53,Reverse,-10.099999999999454
up,2026-03-22 23:45:00+00:00,4489.14,4474.14,4519.14,2026-03-23 00:45:00+00:00,2026-03-22 23:45:00+00:00,4492.51,Reverse,3.369999999999891
down,2026-03-22 23:46:00+00:00,4491.7,4506.7,4406.73,2026-03-23 01:14:00+00:00,2026-03-23 00:15:00+00:00,4406.73,Target,84.97000000000025
down,2026-03-23 00:31:00+00:00,4434.6,4449.6,4389.08,2026-03-23 01:33:00+00:00,2026-03-23 00:35:00+00:00,4389.08,Target,45.52000000000044
down,2026-03-23 00:36:00+00:00,4366.58,4381.58,4318.69,2026-03-23 01:42:00+00:00,2026-03-23 00:46:00+00:00,4360.29,Reverse,6.289999999999964
up,2026-03-23 00:47:00+00:00,4361.29,4346.29,4391.29,2026-03-23 01:47:00+00:00,2026-03-23 00:47:00+00:00,4355.97,Reverse,-5.319999999999709
down,2026-03-23 00:48:00+00:00,4354.96,4369.96,4324.96,2026-03-23 01:48:00+00:00,2026-03-23 00:48:00+00:00,4349.88,Reverse,5.079999999999927
up,2026-03-23 00:49:00+00:00,4351.27,4336.27,4382.79,2026-03-23 01:51:00+00:00,2026-03-23 00:52:00+00:00,4336.27,Stop,-15.0
up,2026-03-23 00:53:00+00:00,4323.32,4308.32,4398.14,2026-03-23 01:59:00+00:00,2026-03-23 01:08:00+00:00,4398.14,Target,74.82000000000062
down,2026-03-23 01:30:00+00:00,4421.39,4436.39,4391.39,2026-03-23 02:30:00+00:00,2026-03-23 01:30:00+00:00,4432.47,Reverse,-11.079999999999927
up,2026-03-23 01:31:00+00:00,4433.39,4418.39,4475.54,2026-03-23 02:47:00+00:00,2026-03-23 01:48:00+00:00,4418.39,Stop,-15.0
up,2026-03-23 01:49:00+00:00,4418.64,4403.64,4448.64,2026-03-23 02:51:00+00:00,2026-03-23 01:52:00+00:00,4405.56,Reverse,-13.079999999999927
down,2026-03-23 01:53:00+00:00,4404.51,4419.51,4374.51,2026-03-23 02:53:00+00:00,2026-03-23 01:53:00+00:00,4411.86,Reverse,-7.349999999999454
up,2026-03-23 01:54:00+00:00,4412.07,4397.07,4442.07,2026-03-23 02:56:00+00:00,2026-03-23 01:57:00+00:00,4397.07,Stop,-15.0
up,2026-03-23 01:58:00+00:00,4391.69,4376.69,4422.04,2026-03-23 02:59:00+00:00,2026-03-23 02:05:00+00:00,4422.04,Target,30.350000000000364
down,2026-03-23 02:09:00+00:00,4412.1,4427.1,4382.1,2026-03-23 03:09:00+00:00,2026-03-23 02:16:00+00:00,4414.28,Reverse,-2.1799999999993815
up,2026-03-23 02:17:00+00:00,4415.43,4400.43,4445.43,2026-03-23 03:17:00+00:00,2026-03-23 02:18:00+00:00,4400.43,Stop,-15.0
up,2026-03-23 02:19:00+00:00,4402.59,4387.59,4442.38,2026-03-23 03:26:00+00:00,2026-03-23 02:27:00+00:00,4408.06,Reverse,5.470000000000255
down,2026-03-23 02:28:00+00:00,4406.87,4421.87,4343.15,2026-03-23 03:48:00+00:00,2026-03-23 03:16:00+00:00,4357.23,Reverse,49.64000000000033
up,2026-03-23 03:17:00+00:00,4357.54,4342.54,4387.54,2026-03-23 04:28:00+00:00,2026-03-23 03:38:00+00:00,4348.59,Reverse,-8.949999999999818
down,2026-03-23 03:39:00+00:00,4348.24,4363.24,4307.69,2026-03-23 04:54:00+00:00,2026-03-23 04:00:00+00:00,4363.24,Stop,-15.0
up,2026-03-23 04:21:00+00:00,4367.62,4352.62,4399.63,2026-03-23 05:28:00+00:00,2026-03-23 04:53:00+00:00,4352.62,Stop,-15.0
down,2026-03-23 05:35:00+00:00,4332.03,4347.03,4245.5,2026-03-23 07:08:00+00:00,2026-03-23 06:10:00+00:00,4275.8,Reverse,56.22999999999956
up,2026-03-23 06:11:00+00:00,4275.21,4260.21,4305.25,2026-03-23 07:12:00+00:00,2026-03-23 06:15:00+00:00,4305.25,Target,30.039999999999964
up,2026-03-23 06:16:00+00:00,4297.68,4282.68,4327.68,2026-03-23 07:16:00+00:00,2026-03-23 06:17:00+00:00,4282.68,Stop,-15.0
up,2026-03-23 06:19:00+00:00,4278.97,4263.97,4315.81,2026-03-23 07:27:00+00:00,2026-03-23 06:28:00+00:00,4263.97,Stop,-15.0
up,2026-03-23 06:29:00+00:00,4252.15,4237.15,4282.15,2026-03-23 07:29:00+00:00,2026-03-23 06:30:00+00:00,4241.56,Reverse,-10.589999999999236
down,2026-03-23 06:31:00+00:00,4240.39,4255.39,4186.52,2026-03-23 07:42:00+00:00,2026-03-23 06:44:00+00:00,4186.52,Target,53.86999999999989
up,2026-03-23 06:46:00+00:00,4197.91,4182.91,4227.91,2026-03-23 07:46:00+00:00,2026-03-23 06:46:00+00:00,4182.91,Stop,-15.0
up,2026-03-23 06:47:00+00:00,4186.11,4171.11,4216.11,2026-03-23 07:47:00+00:00,2026-03-23 06:47:00+00:00,4171.11,Stop,-15.0
up,2026-03-23 06:48:00+00:00,4171.38,4156.38,4258.42,2026-03-23 08:05:00+00:00,2026-03-23 07:06:00+00:00,4156.38,Stop,-15.0
up,2026-03-23 07:07:00+00:00,4154.19,4139.19,4193.3,2026-03-23 08:07:00+00:00,2026-03-23 07:08:00+00:00,4139.19,Stop,-15.0
up,2026-03-23 07:09:00+00:00,4144.78,4129.78,4194.71,2026-03-23 08:13:00+00:00,2026-03-23 07:14:00+00:00,4129.78,Stop,-15.0
up,2026-03-23 07:15:00+00:00,4131.54,4116.54,4173.61,2026-03-23 08:17:00+00:00,2026-03-23 07:18:00+00:00,4116.54,Stop,-15.0
up,2026-03-23 07:19:00+00:00,4115.96,4100.96,4147.5,2026-03-23 08:20:00+00:00,2026-03-23 07:21:00+00:00,4100.96,Stop,-15.0
