direction,deal_id,signal_bar_time,entry_bar_time,entry_time,exit_time,entry_price,entry_price_initial,exit_price,size,probability,bars_held,exit_reason,close_source,close_reason_broker,target_updates,last_target_signal_time,last_target_price,pnl_usd,pnl_pct
LONG,DIAAAARDENHFMAA,2026-04-24T00:19:00+00:00,2026-04-24T00:20:00+00:00,2026-04-24T00:20:00+00:00,2026-04-24T01:10:05.740000+00:00,4697.39,4697.7,4703.52,2.0,0.99724618950963,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,12.260000000000218,0.1304979999531678
LONG,DIAAAARDG494JAC,2026-04-24T10:35:00+00:00,2026-04-24T10:36:00+00:00,2026-04-24T10:36:00+00:00,2026-04-24T12:20:05.756085+00:00,4677.63,4677.16,4715.91,2.0,0.999199613294059,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,7,2026-04-24T11:30:00+00:00,4715.91,76.55999999999949,0.818363145439031
LONG,DIAAAARDJ2DW6AC,2026-04-24T14:05:00+00:00,2026-04-24T14:06:00+00:00,2026-04-24T14:06:00+00:00,2026-04-24T14:17:06.176000+00:00,4724.28,4722.75,4732.2,2.0,0.9805651665993488,0,reverse_signal,bot_active_close,SUCCESS,1,2026-04-24T14:11:00+00:00,4725.8,15.840000000000146,0.1676445934618624
LONG,DIAAAARDLZGDZBA,2026-04-24T20:47:00+00:00,2026-04-24T20:48:00+00:00,2026-04-24T20:48:00+00:00,2026-04-24T20:59:05.841840+00:00,4708.26,4708.55,4708.26,2.0,0.999987678462402,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,0,,,0.0,0.0
LONG,DIAAAARDTDVTZAB,2026-04-27T17:28:00+00:00,2026-04-27T17:29:00+00:00,2026-04-27T17:29:00+00:00,2026-04-27T18:19:05.731000+00:00,4676.95,4678.36,4682.33,2.0,0.9939040312919047,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,10.760000000000218,0.1150322325447163
LONG,DIAAAARDTK9DSAC,2026-04-27T18:20:00+00:00,2026-04-27T18:21:00+00:00,2026-04-27T18:21:00+00:00,2026-04-27T19:11:05.741000+00:00,4682.69,4682.63,4679.58,2.0,0.9999713998205659,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-6.219999999999345,-0.06641481712433821
LONG,DIAAAARDTYZUZAQ,2026-04-27T20:31:00+00:00,2026-04-27T20:32:00+00:00,2026-04-27T20:32:00+00:00,2026-04-27T22:00:05.705000+00:00,4679.78,4679.29,4679.78,2.0,0.9999893088038153,0,timeout,bot_max_hold_timeout,MARKET_CLOSED_WITH_EDITS,3,2026-04-27T20:47:00+00:00,4680.21,0.0,0.0
LONG,DIAAAARDT2NUBBA,2026-04-27T22:03:00+00:00,2026-04-27T22:04:00+00:00,2026-04-27T22:04:00+00:00,2026-04-27T22:55:05.793000+00:00,4684.42,4684.14,4687.08,2.0,0.9999914712702807,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,5.319999999999709,0.05678397752549632
LONG,DIAAAARDT7QUTBF,2026-04-27T23:03:00+00:00,2026-04-27T23:04:00+00:00,2026-04-27T23:04:00+00:00,2026-04-28T00:13:05.736000+00:00,4689.49,4689.13,4699.03,2.0,0.9999910081384983,0,timeout,bot_max_hold_timeout,SUCCESS,4,2026-04-27T23:18:00+00:00,4691.2,19.079999999999927,0.20343363564054862
LONG,DIAAAARDU742BA6,2026-04-28T05:06:00+00:00,2026-04-28T05:07:00+00:00,2026-04-28T05:07:00+00:00,2026-04-28T05:31:05.757079+00:00,4652.28,4653.83,4659.05,2.0,0.999875611174942,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,3,2026-04-28T05:23:00+00:00,4659.05,13.540000000000873,0.1455200460849398
LONG,DIAAAARDVAVA9A9,2026-04-28T05:30:00+00:00,2026-04-28T05:31:00+00:00,2026-04-28T05:31:00+00:00,2026-04-28T05:40:05.753829+00:00,4647.94,4648.51,4647.94,2.0,0.9997985114224601,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,0,,,0.0,0.0
LONG,DIAAAARDW77TSBE,2026-04-28T10:59:00+00:00,2026-04-28T11:00:00+00:00,2026-04-28T11:00:00+00:00,2026-04-28T11:35:05.787568+00:00,4603.37,4602.98,4604.22,2.0,0.999979794542698,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,1,2026-04-28T11:01:00+00:00,4604.22,1.7000000000007276,0.018464733445288206
SHORT,DIAAAARDX4ARPA9,2026-04-28T12:21:00+00:00,2026-04-28T12:22:00+00:00,2026-04-28T12:22:00+00:00,2026-04-28T12:23:05.962000+00:00,4582.23,4582.23,4579.23,2.0,0.9063916150302835,0,reverse_signal,bot_active_close,SUCCESS,0,,,6.0,0.06547030594273968
LONG,DIAAAARDX58XVA2,2026-04-28T12:24:00+00:00,2026-04-28T12:25:00+00:00,2026-04-28T12:25:00+00:00,2026-04-28T13:15:05.673000+00:00,4578.5,4577.85,4577.14,2.0,0.9012666141039888,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-2.719999999999345,-0.029704051545258767
SHORT,DIAAAARDYRCBFAA,2026-04-28T13:30:00+00:00,2026-04-28T13:31:00+00:00,2026-04-28T13:31:00+00:00,2026-04-28T13:33:06.431000+00:00,4578.74,4576.33,4576.01,2.0,0.841065981931862,0,reverse_signal,bot_active_close,SUCCESS,0,,,5.459999999999127,0.059623389840863725
SHORT,DIAAAARDYTKKAAT,2026-04-28T13:33:00+00:00,2026-04-28T13:34:00+00:00,2026-04-28T13:34:00+00:00,2026-04-28T14:35:06.784000+00:00,4580.04,4578.0,4567.92,2.0,0.7079145199233359,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,24.23999999999978,0.264626509812139
LONG,DIAAAARD3HL4UAF,2026-04-28T23:06:00+00:00,2026-04-28T23:07:00+00:00,2026-04-28T23:07:00+00:00,2026-04-28T23:58:05.754000+00:00,4591.47,4591.79,4594.45,2.0,0.9999838624196469,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,5.959999999999127,0.06490296136094896
LONG,DIAAAARD4D7JJBE,2026-04-29T04:10:00+00:00,2026-04-29T04:11:00+00:00,2026-04-29T04:11:00+00:00,2026-04-29T05:01:05.718000+00:00,4600.15,4600.04,4603.63,2.0,0.9999743191031835,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,6.960000000000946,0.0756497070747796
LONG,DIAAAARD7R2LGAX,2026-04-29T13:47:00+00:00,2026-04-29T13:48:00+00:00,2026-04-29T13:48:00+00:00,2026-04-29T14:38:05.808000+00:00,4511.62,4513.06,4540.31,2.0,0.9925026645476868,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,57.38000000000102,0.635913485621584
LONG,DIAAAAREBDZ4JAX,2026-04-30T00:01:00+00:00,2026-04-30T00:02:00+00:00,2026-04-30T00:02:00+00:00,2026-04-30T01:02:05.776000+00:00,4560.85,4561.91,4570.53,2.0,0.9999936667547579,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,19.359999999998763,0.21224113926130833
LONG,DIAAAAREDTMYRBB,2026-04-30T08:05:00+00:00,2026-04-30T08:06:00+00:00,2026-04-30T08:06:00+00:00,2026-04-30T08:56:05.752000+00:00,4622.69,4621.45,4616.4,2.0,0.9999889765285356,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-12.579999999999927,-0.13606796042996533
LONG,DIAAAAREK48P2AM,2026-04-30T23:19:00+00:00,2026-04-30T23:20:00+00:00,2026-04-30T23:20:00+00:00,2026-05-01T00:10:05.792000+00:00,4630.32,4630.29,4627.1,2.0,0.9999894056936242,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-6.43999999999869,-0.0695416299521274
LONG,DIAAAARENQ3E3AF,2026-05-01T12:14:00+00:00,2026-05-01T12:15:00+00:00,2026-05-01T12:15:00+00:00,2026-05-01T13:08:05.832000+00:00,4584.9,4585.22,4594.63,2.0,0.9998699968062219,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-05-01T12:18:00+00:00,4587.57,19.460000000000946,0.2122183689938815
LONG,DIAAAARER6BELAV,2026-05-01T20:35:00+00:00,2026-05-01T20:36:00+00:00,2026-05-01T20:36:00+00:00,2026-05-01T20:59:05.781346+00:00,4614.78,4614.78,4614.78,2.0,0.9999379335807032,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,0,,,0.0,0.0
LONG,DIAAAARER6W8CBA,2026-05-01T20:58:00+00:00,2026-05-01T20:59:00+00:00,2026-05-01T20:59:00+00:00,2026-05-03T22:01:37.233005+00:00,4614.8,4614.8,4614.8,2.0,0.9999766868217036,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,0,,,0.0,0.0
LONG,DIAAAARESZEQAAL,2026-05-03T22:01:00+00:00,2026-05-03T22:02:00+00:00,2026-05-03T22:02:00+00:00,2026-05-03T22:22:05.781409+00:00,4628.92,4627.99,4628.92,2.0,0.9999334571048679,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,1,2026-05-03T22:02:00+00:00,4628.92,0.0,0.0
LONG,DIAAAARETL36LAP,2026-05-04T01:19:00+00:00,2026-05-04T01:20:00+00:00,2026-05-04T01:20:00+00:00,2026-05-04T02:10:05.728000+00:00,4599.43,4599.19,4608.25,2.0,0.9727141356373633,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,17.639999999999418,0.19176289235839458
LONG,DIAAAARETZ9V9AX,2026-05-04T03:46:00+00:00,2026-05-04T03:47:00+00:00,2026-05-04T03:47:00+00:00,2026-05-04T04:37:05.767000+00:00,4612.44,4612.78,4612.34,2.0,0.9768237402834304,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-0.1999999999989086,-0.0021680498824798657
LONG,DIAAAAREVLD7GAC,2026-05-04T10:01:00+00:00,2026-05-04T10:02:00+00:00,2026-05-04T10:02:00+00:00,2026-05-04T10:05:05.757231+00:00,4571.2,4569.45,4571.2,2.0,0.9999613658656197,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,0,,,0.0,0.0
LONG,DIAAAAREVPGB8A8,2026-05-04T10:04:00+00:00,2026-05-04T10:05:00+00:00,2026-05-04T10:05:00+00:00,2026-05-04T10:07:05.780386+00:00,4558.1,4558.1,4560.62,2.0,0.9996808866598466,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,1,2026-05-04T10:05:00+00:00,4560.62,5.039999999999054,0.05528619380881347
SHORT,DIAAAAREVR5GUA8,2026-05-04T10:06:00+00:00,2026-05-04T10:07:00+00:00,2026-05-04T10:07:00+00:00,2026-05-04T10:21:06.062000+00:00,4546.08,4545.13,4538.02,2.0,0.68562300283648,0,reverse_signal,bot_active_close,SUCCESS,3,2026-05-04T10:14:00+00:00,4539.27,16.11999999999898,0.17729560412486123
SHORT,DIAAAAREVZ9C5BA,2026-05-04T10:21:00+00:00,2026-05-04T10:22:00+00:00,2026-05-04T10:22:00+00:00,2026-05-04T10:32:05.927734+00:00,4533.36,4530.56,4530.24,2.0,0.9786218437689151,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,1,2026-05-04T10:23:00+00:00,4530.24,6.239999999999782,0.06882312456985307
SHORT,DIAAAAREV8UHKAL,2026-05-04T10:33:00+00:00,2026-05-04T10:34:00+00:00,2026-05-04T10:34:00+00:00,2026-05-04T11:24:05.719000+00:00,4555.78,4556.6,4566.01,2.0,0.9787174148307579,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-20.460000000000946,-0.2245499124189595
SHORT,DIAAAAREYJQ5BBC,2026-05-04T15:20:00+00:00,2026-05-04T15:21:00+00:00,2026-05-04T15:21:00+00:00,2026-05-04T15:26:06.082000+00:00,4535.86,4532.69,4515.92,2.0,0.9275507150394219,0,reverse_signal,bot_active_close,SUCCESS,1,2026-05-04T15:24:00+00:00,4527.88,39.8799999999992,0.43960792440682916
SHORT,DIAAAAREYQCMAAL,2026-05-04T15:27:00+00:00,2026-05-04T15:28:00+00:00,2026-05-04T15:28:00+00:00,2026-05-04T16:11:06.084000+00:00,4531.46,4530.91,4508.39,2.0,0.8488623177445552,0,reverse_signal,bot_active_close,SUCCESS,1,2026-05-04T15:33:00+00:00,4528.62,46.13999999999942,0.5091074399862232
LONG,DIAAAAREY8JQ4AS,2026-05-04T16:11:00+00:00,2026-05-04T16:12:00+00:00,2026-05-04T16:12:00+00:00,2026-05-04T17:07:05.677000+00:00,4512.72,4512.51,4522.68,2.0,0.9996244903220574,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-05-04T16:17:00+00:00,4513.65,19.920000000000073,0.2207094612561833
LONG,DIAAAAREZYE3DA5,2026-05-04T18:32:00+00:00,2026-05-04T18:33:00+00:00,2026-05-04T18:33:00+00:00,2026-05-04T19:24:05.714000+00:00,4513.57,4513.54,4523.23,2.0,0.9989883829553341,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-05-04T18:33:00+00:00,4513.57,19.31999999999971,0.21402127362597356
LONG,DIAAAARE2MSW7A9,2026-05-04T22:58:00+00:00,2026-05-04T22:59:00+00:00,2026-05-04T22:59:00+00:00,2026-05-05T00:01:05.783000+00:00,4517.16,4517.19,4518.69,2.0,0.9999802287266336,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-05-04T23:11:00+00:00,4520.49,3.0599999999994907,0.0338708391998456
LONG,DIAAAARE3BDHKA8,2026-05-05T03:43:00+00:00,2026-05-05T03:44:00+00:00,2026-05-05T03:44:00+00:00,2026-05-05T04:34:05.754000+00:00,4536.41,4537.04,4533.32,2.0,0.9999804847023097,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,-6.180000000000291,-0.06811553629412125
LONG,DIAAAARE5PLH6AZ,2026-05-05T12:11:00+00:00,2026-05-05T12:12:00+00:00,2026-05-05T12:12:00+00:00,2026-05-05T13:02:05.726000+00:00,4564.24,4566.83,4568.11,2.0,0.7596449052386476,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,7.739999999999782,0.08478958161709049
LONG,DIAAAARE8TSMYAL,2026-05-05T20:00:00+00:00,2026-05-05T20:01:00+00:00,2026-05-05T20:01:00+00:00,2026-05-05T20:51:06.087000+00:00,4555.31,4555.3,4556.61,2.0,0.9998849471610002,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-05-05T20:01:00+00:00,4555.31,2.599999999998545,0.028538123640307077
LONG,DIAAAARE9EDCAAE,2026-05-05T23:07:00+00:00,2026-05-05T23:08:00+00:00,2026-05-05T23:08:00+00:00,2026-05-06T00:11:06.715000+00:00,4578.38,4577.48,4590.94,2.0,0.9804288932627995,0,timeout,bot_max_hold_timeout,SUCCESS,5,2026-05-05T23:15:00+00:00,4589.05,25.11999999999898,0.274332842621178
LONG,DIAAAARFCSNGJBC,2026-05-06T08:59:00+00:00,2026-05-06T09:00:00+00:00,2026-05-06T09:00:00+00:00,2026-05-06T09:02:05.978000+00:00,4700.46,4701.94,4700.97,2.0,0.9719701574474596,0,reverse_signal,bot_active_close,SUCCESS,0,,,1.0200000000004366,0.010850001914710864
LONG,DIAAAARFCUZP3AC,2026-05-06T09:03:00+00:00,2026-05-06T09:04:00+00:00,2026-05-06T09:04:00+00:00,2026-05-06T09:54:05.750000+00:00,4696.32,4695.07,4700.26,2.0,0.9941197736357303,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,7.880000000001019,0.08389547560644312
SHORT,DIAAAARFE2GH7AZ,2026-05-06T12:15:00+00:00,2026-05-06T12:16:00+00:00,2026-05-06T12:16:00+00:00,2026-05-06T12:24:05.737588+00:00,4674.77,4676.48,4664.92,2.0,0.9991802462438972,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,1,2026-05-06T12:19:00+00:00,4664.92,19.700000000000728,0.21070555342830474
