side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl,pnl_cum
down,2025-12-04 05:30:00+00:00,4196.71,4211.71,3596.71,2025-12-04 09:35:00+00:00,38,2025-12-04 09:35:00+00:00,4194.56,Timeout,2.149999999999636,17.73000000000411
up,2025-12-04 11:16:00+00:00,4203.35,4188.35,4278.35,2025-12-04 12:37:00+00:00,3,2025-12-04 12:37:00+00:00,4192.03,Timeout,-11.320000000000618,6.4100000000034925
up,2025-12-04 13:21:00+00:00,4191.01,4176.01,5406.01,2025-12-04 17:05:00+00:00,79,2025-12-04 17:05:00+00:00,4212.31,Timeout,21.300000000000182,27.710000000003674
down,2025-12-04 19:07:00+00:00,4206.34,4221.34,3981.34,2025-12-04 20:42:00+00:00,13,2025-12-04 20:42:00+00:00,4206.61,Timeout,-0.26999999999952706,27.440000000004147
up,2025-12-05 11:31:00+00:00,4223.58,4208.58,5123.58,2025-12-05 14:49:00+00:00,58,2025-12-05 14:49:00+00:00,4242.6,Timeout,19.020000000000437,46.460000000004584
down,2025-12-05 14:58:00+00:00,4242.46,4257.46,4212.46,2025-12-05 15:58:00+00:00,0,2025-12-05 15:39:00+00:00,4257.46,Stop,-15.0,31.460000000004584
down,2025-12-05 15:41:00+00:00,4256.53,4271.53,3716.5299999999997,2025-12-05 18:43:00+00:00,34,2025-12-05 18:43:00+00:00,4210.85,Timeout,45.67999999999938,77.14000000000397
up,2025-12-05 21:25:00+00:00,4197.5,4182.5,4482.5,2025-12-05 22:48:00+00:00,17,2025-12-07 23:01:00+00:00,4203.16,Timeout,5.6599999999998545,82.80000000000382
down,2025-12-08 01:19:00+00:00,4206.73,4221.73,4086.7299999999996,2025-12-08 02:29:00+00:00,6,2025-12-08 02:29:00+00:00,4203.4,Timeout,3.3299999999999272,86.13000000000375
up,2025-12-08 13:24:00+00:00,4206.32,4191.32,5211.32,2025-12-08 15:59:00+00:00,65,2025-12-08 15:00:00+00:00,4191.32,Stop,-15.0,71.13000000000375
up,2025-12-08 15:01:00+00:00,4191.03,4176.03,4266.03,2025-12-08 16:03:00+00:00,3,2025-12-08 16:03:00+00:00,4178.96,Timeout,-12.069999999999709,59.06000000000404
down,2025-12-09 06:29:00+00:00,4177.68,4192.68,3892.6800000000003,2025-12-09 08:47:00+00:00,17,2025-12-09 08:47:00+00:00,4190.97,Timeout,-13.289999999999964,45.770000000004075
up,2025-12-09 11:33:00+00:00,4206.65,4191.65,4791.65,2025-12-09 14:49:00+00:00,37,2025-12-09 14:11:00+00:00,4191.65,Stop,-15.0,30.770000000004075
up,2025-12-09 14:13:00+00:00,4193.86,4178.86,5423.86,2025-12-09 17:40:00+00:00,80,2025-12-09 17:40:00+00:00,4207.95,Timeout,14.090000000000146,44.86000000000422
down,2025-12-10 11:44:00+00:00,4195.31,4210.31,2245.3100000000004,2025-12-10 16:43:00+00:00,128,2025-12-10 16:43:00+00:00,4202.24,Timeout,-6.9299999999993815,37.93000000000484
down,2025-12-10 19:01:00+00:00,4210.08,4225.08,3385.08,2025-12-10 21:04:00+00:00,53,2025-12-10 20:05:00+00:00,4225.08,Stop,-15.0,22.93000000000484
down,2025-12-10 20:06:00+00:00,4223.83,4238.83,4088.83,2025-12-10 21:48:00+00:00,7,2025-12-10 21:48:00+00:00,4228.28,Timeout,-4.449999999999818,18.48000000000502
up,2025-12-10 23:01:00+00:00,4230.6,4215.6,4260.6,2025-12-11 00:01:00+00:00,0,2025-12-11 00:01:00+00:00,4234.68,Timeout,4.079999999999927,22.560000000004948
down,2025-12-11 04:51:00+00:00,4212.38,4227.38,3642.38,2025-12-11 07:10:00+00:00,36,2025-12-11 07:10:00+00:00,4212.06,Timeout,0.31999999999970896,22.880000000004657
down,2025-12-11 10:31:00+00:00,4212.08,4227.08,2562.08,2025-12-11 15:09:00+00:00,108,2025-12-11 14:10:00+00:00,4227.08,Stop,-15.0,7.880000000004657
down,2025-12-11 14:11:00+00:00,4227.44,4242.44,3987.4399999999996,2025-12-11 15:30:00+00:00,14,2025-12-11 14:38:00+00:00,4242.44,Stop,-15.0,-7.119999999995343
down,2025-12-11 14:45:00+00:00,4243.89,4258.89,4213.89,2025-12-11 15:45:00+00:00,0,2025-12-11 15:45:00+00:00,4254.39,Timeout,-10.5,-17.619999999995343
down,2025-12-11 18:59:00+00:00,4267.89,4282.89,4162.89,2025-12-11 20:03:00+00:00,5,2025-12-11 20:03:00+00:00,4272.77,Timeout,-4.880000000000109,-22.499999999995453
up,2025-12-11 20:43:00+00:00,4274.28,4259.28,4334.28,2025-12-11 21:45:00+00:00,2,2025-12-11 21:45:00+00:00,4281.93,Timeout,7.650000000000546,-14.849999999994907
down,2025-12-12 10:55:00+00:00,4329.45,4344.45,4239.45,2025-12-12 12:17:00+00:00,4,2025-12-12 12:17:00+00:00,4331.88,Timeout,-2.430000000000291,-17.279999999995198
down,2025-12-12 12:21:00+00:00,4333.42,4348.42,3403.42,2025-12-12 15:52:00+00:00,60,2025-12-12 14:53:00+00:00,4348.42,Stop,-15.0,-32.2799999999952
