side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl
down,2026-03-20 17:42:00+00:00,4562.65,4577.65,4532.65,2026-03-20 18:43:00+00:00,0,2026-03-20 17:45:00+00:00,4562.92,Reverse,-0.27000000000043656
up,2026-03-20 17:46:00+00:00,4563.78,4548.78,4593.78,2026-03-20 18:46:00+00:00,0,2026-03-20 17:47:00+00:00,4565.92,Reverse,2.1400000000003274
down,2026-03-20 17:48:00+00:00,4565.19,4580.19,4531.25,2026-03-20 19:13:00+00:00,2,2026-03-20 18:14:00+00:00,4562.88,Reverse,2.3099999999994907
up,2026-03-20 18:15:00+00:00,4563.7,4548.7,4593.7,2026-03-20 19:18:00+00:00,0,2026-03-20 18:19:00+00:00,4566.36,Reverse,2.6599999999998545
down,2026-03-20 18:20:00+00:00,4565.46,4580.46,4535.46,2026-03-20 19:20:00+00:00,0,2026-03-20 18:20:00+00:00,4560.24,Reverse,5.220000000000255
up,2026-03-20 18:21:00+00:00,4561.34,4546.34,4591.34,2026-03-20 19:21:00+00:00,0,2026-03-20 18:22:00+00:00,4546.34,Stop,-15.0
down,2026-03-20 18:23:00+00:00,4539.09,4554.09,4509.09,2026-03-20 19:24:00+00:00,0,2026-03-20 18:25:00+00:00,4551.68,Reverse,-12.590000000000146
up,2026-03-20 18:26:00+00:00,4552.46,4537.46,4587.17,2026-03-20 19:31:00+00:00,2,2026-03-20 18:32:00+00:00,4548.85,Reverse,-3.6099999999996726
down,2026-03-20 18:33:00+00:00,4547.74,4562.74,4517.74,2026-03-20 19:33:00+00:00,0,2026-03-20 18:33:00+00:00,4549.03,Reverse,-1.2899999999999636
up,2026-03-20 18:34:00+00:00,4549.85,4534.85,4579.85,2026-03-20 19:34:00+00:00,0,2026-03-20 18:34:00+00:00,4546.36,Reverse,-3.490000000000691
down,2026-03-20 18:35:00+00:00,4545.66,4560.66,4480.56,2026-03-20 19:50:00+00:00,12,2026-03-20 18:51:00+00:00,4514.98,Reverse,30.68000000000029
up,2026-03-20 18:52:00+00:00,4515.91,4500.91,4545.91,2026-03-20 19:52:00+00:00,0,2026-03-20 18:53:00+00:00,4504.49,Reverse,-11.420000000000073
down,2026-03-20 18:54:00+00:00,4503.68,4518.68,4455.33,2026-03-20 19:56:00+00:00,2,2026-03-20 18:57:00+00:00,4490.68,Reverse,13.0
