timestamp,actual,predicted
2026-01-15 01:35:00+00:00,0,0
2026-01-15 13:18:00+00:00,1,0
2026-01-15 13:33:00+00:00,0,1
2026-01-15 13:36:00+00:00,0,1
2026-01-15 13:38:00+00:00,0,1
2026-01-15 13:42:00+00:00,0,1
2026-01-15 13:45:00+00:00,1,1
2026-01-15 13:48:00+00:00,1,1
2026-01-15 13:50:00+00:00,1,1
2026-01-15 13:56:00+00:00,1,1
2026-01-15 13:57:00+00:00,1,1
2026-01-15 14:03:00+00:00,0,1
2026-01-15 14:15:00+00:00,0,0
2026-01-15 14:30:00+00:00,0,0
2026-01-15 14:32:00+00:00,0,1
2026-01-15 14:36:00+00:00,0,1
2026-01-15 14:40:00+00:00,0,1
2026-01-15 14:46:00+00:00,0,1
2026-01-15 14:54:00+00:00,0,0
2026-01-15 15:00:00+00:00,0,1
2026-01-15 15:01:00+00:00,0,0
2026-01-15 15:06:00+00:00,0,0
2026-01-15 16:11:00+00:00,1,0
2026-01-16 13:01:00+00:00,1,1
2026-01-16 13:02:00+00:00,0,0
2026-01-16 13:16:00+00:00,0,0
2026-01-16 13:18:00+00:00,0,1
2026-01-16 13:27:00+00:00,1,1
2026-01-16 13:35:00+00:00,0,0
2026-01-16 14:31:00+00:00,0,1
2026-01-16 14:34:00+00:00,0,1
2026-01-16 14:36:00+00:00,0,1
2026-01-16 14:40:00+00:00,0,1
2026-01-16 15:19:00+00:00,1,1
2026-01-16 15:20:00+00:00,1,1
2026-01-16 15:21:00+00:00,1,1
2026-01-16 15:22:00+00:00,1,1
2026-01-16 15:23:00+00:00,1,1
2026-01-16 15:24:00+00:00,1,0
2026-01-16 15:26:00+00:00,1,1
2026-01-16 15:28:00+00:00,0,0
2026-01-16 15:29:00+00:00,0,1
2026-01-16 15:31:00+00:00,0,0
2026-01-16 15:33:00+00:00,1,0
2026-01-16 15:36:00+00:00,0,1
2026-01-16 15:37:00+00:00,1,1
2026-01-16 15:38:00+00:00,1,1
2026-01-16 15:39:00+00:00,1,1
2026-01-16 15:40:00+00:00,1,1
2026-01-16 15:41:00+00:00,1,1
2026-01-16 15:45:00+00:00,1,1
2026-01-16 15:47:00+00:00,1,1
2026-01-16 15:50:00+00:00,1,1
2026-01-16 15:51:00+00:00,1,1
2026-01-16 15:52:00+00:00,1,1
2026-01-16 15:53:00+00:00,1,1
2026-01-16 15:54:00+00:00,1,1
2026-01-16 15:55:00+00:00,1,1
2026-01-16 15:56:00+00:00,1,1
2026-01-16 16:00:00+00:00,1,1
2026-01-16 16:03:00+00:00,1,0
2026-01-16 16:06:00+00:00,0,1
2026-01-16 16:07:00+00:00,0,1
2026-01-16 16:13:00+00:00,0,1
2026-01-16 16:15:00+00:00,0,1
2026-01-16 16:18:00+00:00,0,1
2026-01-16 16:19:00+00:00,0,1
2026-01-16 16:21:00+00:00,0,1
2026-01-16 16:38:00+00:00,0,0
2026-01-16 16:49:00+00:00,0,1
2026-01-16 17:22:00+00:00,0,0
2026-01-18 23:16:00+00:00,1,0
2026-01-18 23:17:00+00:00,1,1
2026-01-18 23:22:00+00:00,0,1
2026-01-18 23:25:00+00:00,0,1
2026-01-18 23:28:00+00:00,0,0
2026-01-18 23:29:00+00:00,0,1
2026-01-18 23:33:00+00:00,0,1
2026-01-18 23:40:00+00:00,0,0
2026-01-19 00:22:00+00:00,0,0
2026-01-19 01:20:00+00:00,0,0
2026-01-20 05:55:00+00:00,0,0
2026-01-20 06:00:00+00:00,0,0
2026-01-20 06:03:00+00:00,0,0
2026-01-20 13:23:00+00:00,1,0
2026-01-20 13:34:00+00:00,1,1
2026-01-20 13:44:00+00:00,1,0
2026-01-20 13:52:00+00:00,1,1
2026-01-20 14:00:00+00:00,0,1
2026-01-20 14:02:00+00:00,0,1
2026-01-20 14:04:00+00:00,0,1
2026-01-20 14:05:00+00:00,0,1
2026-01-20 14:11:00+00:00,0,0
2026-01-20 14:13:00+00:00,0,0
2026-01-20 14:27:00+00:00,0,0
2026-01-20 14:30:00+00:00,0,0
2026-01-20 14:33:00+00:00,0,0
2026-01-20 14:34:00+00:00,0,1
2026-01-20 14:38:00+00:00,0,0
2026-01-20 14:40:00+00:00,0,0
2026-01-20 14:43:00+00:00,0,1
2026-01-20 14:47:00+00:00,0,1
2026-01-20 14:48:00+00:00,0,1
2026-01-20 14:53:00+00:00,0,0
2026-01-20 15:07:00+00:00,1,0
2026-01-20 15:08:00+00:00,1,0
2026-01-20 15:16:00+00:00,0,1
2026-01-20 15:18:00+00:00,0,1
2026-01-20 15:23:00+00:00,0,1
2026-01-20 15:25:00+00:00,0,0
2026-01-20 15:29:00+00:00,0,1
2026-01-20 15:30:00+00:00,0,1
2026-01-20 15:35:00+00:00,0,1
2026-01-20 15:40:00+00:00,0,1
2026-01-20 16:56:00+00:00,0,0
2026-01-20 17:01:00+00:00,0,0
2026-01-20 23:44:00+00:00,0,0
2026-01-20 23:46:00+00:00,0,1
2026-01-20 23:47:00+00:00,0,1
2026-01-21 01:04:00+00:00,1,0
2026-01-21 01:09:00+00:00,1,1
2026-01-21 01:10:00+00:00,1,0
2026-01-21 01:13:00+00:00,1,0
2026-01-21 01:19:00+00:00,1,0
2026-01-21 01:24:00+00:00,1,0
2026-01-21 01:26:00+00:00,1,0
2026-01-21 01:30:00+00:00,0,1
2026-01-21 01:33:00+00:00,1,0
2026-01-21 01:34:00+00:00,1,0
2026-01-21 01:37:00+00:00,0,0
2026-01-21 01:38:00+00:00,1,0
2026-01-21 01:54:00+00:00,1,1
2026-01-21 01:55:00+00:00,1,0
2026-01-21 02:00:00+00:00,1,0
2026-01-21 02:01:00+00:00,1,0
2026-01-21 02:13:00+00:00,0,0
2026-01-21 02:21:00+00:00,1,0
2026-01-21 03:13:00+00:00,0,0
2026-01-21 03:14:00+00:00,0,0
2026-01-21 03:15:00+00:00,0,0
2026-01-21 04:55:00+00:00,0,0
2026-01-21 05:26:00+00:00,0,0
2026-01-21 05:34:00+00:00,0,0
2026-01-21 06:04:00+00:00,0,0
2026-01-21 06:22:00+00:00,1,0
2026-01-21 06:25:00+00:00,1,0
2026-01-21 06:38:00+00:00,1,0
2026-01-21 06:42:00+00:00,1,0
2026-01-21 06:48:00+00:00,1,0
2026-01-21 06:55:00+00:00,1,0
2026-01-21 06:56:00+00:00,0,0
2026-01-21 06:57:00+00:00,0,1
2026-01-21 07:00:00+00:00,0,1
2026-01-21 07:08:00+00:00,0,0
2026-01-21 07:22:00+00:00,1,0
2026-01-21 07:28:00+00:00,0,0
2026-01-21 08:05:00+00:00,0,0
2026-01-21 09:26:00+00:00,0,0
2026-01-21 11:46:00+00:00,0,0
2026-01-21 13:01:00+00:00,0,0
2026-01-21 14:01:00+00:00,1,0
2026-01-21 14:02:00+00:00,1,0
2026-01-21 14:05:00+00:00,0,0
2026-01-21 14:07:00+00:00,1,0
2026-01-21 14:08:00+00:00,0,0
2026-01-21 14:09:00+00:00,1,0
2026-01-21 14:10:00+00:00,1,1
2026-01-21 14:11:00+00:00,1,1
2026-01-21 14:13:00+00:00,1,0
2026-01-21 14:14:00+00:00,1,0
2026-01-21 14:15:00+00:00,1,1
2026-01-21 14:16:00+00:00,1,1
2026-01-21 14:19:00+00:00,1,1
2026-01-21 14:20:00+00:00,0,1
2026-01-21 14:22:00+00:00,1,1
2026-01-21 14:26:00+00:00,0,1
2026-01-21 14:30:00+00:00,0,1
2026-01-21 14:32:00+00:00,0,1
2026-01-21 14:34:00+00:00,0,1
2026-01-21 14:36:00+00:00,0,1
2026-01-21 14:37:00+00:00,1,1
2026-01-21 14:39:00+00:00,1,1
2026-01-21 14:40:00+00:00,1,1
2026-01-21 14:43:00+00:00,1,1
2026-01-21 14:44:00+00:00,1,1
2026-01-21 14:47:00+00:00,1,1
2026-01-21 14:49:00+00:00,0,1
2026-01-21 14:51:00+00:00,0,1
2026-01-21 14:54:00+00:00,0,1
2026-01-21 14:59:00+00:00,0,1
2026-01-21 15:00:00+00:00,0,1
2026-01-21 15:02:00+00:00,1,1
2026-01-21 15:03:00+00:00,1,1
2026-01-21 15:06:00+00:00,1,0
2026-01-21 15:11:00+00:00,1,0
2026-01-21 15:13:00+00:00,1,0
2026-01-21 15:16:00+00:00,1,1
2026-01-21 15:17:00+00:00,1,1
2026-01-21 15:18:00+00:00,0,1
2026-01-21 15:19:00+00:00,0,1
2026-01-21 15:21:00+00:00,1,0
2026-01-21 15:23:00+00:00,1,0
2026-01-21 15:28:00+00:00,1,1
2026-01-21 15:29:00+00:00,1,1
2026-01-21 15:30:00+00:00,0,1
2026-01-21 15:31:00+00:00,1,1
2026-01-21 15:32:00+00:00,0,1
2026-01-21 15:38:00+00:00,0,1
2026-01-21 15:39:00+00:00,0,0
2026-01-21 15:43:00+00:00,1,1
2026-01-21 15:44:00+00:00,0,1
