entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,exit_time,exit_price,exit_reason,pnl,side
2026-01-28 16:48:00+00:00,5292.88,5267.88,5332.88,2026-01-28 17:33:00+00:00,0,0.5461603403091431,0.5629659295082092,2026-01-28 16:48:00+00:00,5295.82,reverse_signal,2.9399999999996,up
2026-01-28 17:06:00+00:00,5301.88,5326.88,5261.88,2026-01-28 17:51:00+00:00,0,0.6430773138999939,0.4211369454860687,2026-01-28 17:51:00+00:00,5298.42,timeout,3.4600000000000364,down
2026-01-28 18:20:00+00:00,5310.5,5285.5,5359.95,2026-01-28 19:15:00+00:00,3,0.661594569683075,0.6703944206237793,2026-01-28 18:31:00+00:00,5285.5,stop_loss,-25.0,up
2026-01-28 18:32:00+00:00,5286.11,5261.11,5429.02,2026-01-28 21:45:00+00:00,61,0.5873268842697144,0.8110538721084595,2026-01-28 21:50:00+00:00,5395.46,timeout,109.35000000000036,up
2026-01-28 21:52:00+00:00,5397.02,5372.02,5455.33,2026-01-28 22:40:00+00:00,3,0.7604010105133057,0.8673036694526672,2026-01-28 23:01:00+00:00,5450.2,timeout,53.17999999999938,up
2026-01-28 23:02:00+00:00,5451.94,5426.94,5491.94,2026-01-28 23:52:00+00:00,2,0.601527750492096,0.6595056653022766,2026-01-28 23:19:00+00:00,5491.94,target_hit,40.0,up
2026-01-28 23:38:00+00:00,5543.46,5568.46,5503.46,2026-01-29 00:23:00+00:00,0,0.5614166855812073,0.3700625002384186,2026-01-28 23:38:00+00:00,5568.46,stop_loss,-25.0,down
2026-01-28 23:45:00+00:00,5531.3,5556.3,5468.65,2026-01-29 00:32:00+00:00,3,0.8119676113128662,0.40333592891693115,2026-01-28 23:55:00+00:00,5494.85,reverse_signal,36.44999999999982,down
2026-01-28 23:56:00+00:00,5500.41,5475.41,5540.41,2026-01-29 00:41:00+00:00,0,0.6276826858520508,0.567868709564209,2026-01-28 23:56:00+00:00,5520.25,reverse_signal,19.840000000000146,up
2026-01-28 23:57:00+00:00,5519.25,5544.25,5479.25,2026-01-29 00:42:00+00:00,1,0.7801086902618408,0.1911388337612152,2026-01-29 00:00:00+00:00,5489.15,reverse_signal,30.100000000000364,down
2026-01-29 00:01:00+00:00,5488.65,5463.65,5528.65,2026-01-29 00:46:00+00:00,0,0.6102720499038696,0.6756181120872498,2026-01-29 00:01:00+00:00,5463.65,stop_loss,-25.0,up
2026-01-29 00:02:00+00:00,5463.15,5438.15,5524.8,2026-01-29 00:47:00+00:00,1,0.8348472118377686,0.7210672497749329,2026-01-29 00:07:00+00:00,5502.54,reverse_signal,39.39000000000033,up
2026-01-29 00:17:00+00:00,5488.58,5513.58,5448.58,2026-01-29 01:17:00+00:00,3,0.8199957609176636,0.3933849334716797,2026-01-29 00:33:00+00:00,5513.58,stop_loss,-25.0,down
2026-01-29 00:34:00+00:00,5512.55,5537.55,5472.55,2026-01-29 01:23:00+00:00,1,0.5442562103271484,0.23616640269756317,2026-01-29 00:49:00+00:00,5503.53,reverse_signal,9.020000000000437,down
2026-01-29 00:50:00+00:00,5503.35,5478.35,5548.03,2026-01-29 01:35:00+00:00,1,0.7152076959609985,0.5725890398025513,2026-01-29 00:52:00+00:00,5522.48,reverse_signal,19.1299999999992,up
2026-01-29 00:55:00+00:00,5518.53,5543.53,5478.53,2026-01-29 01:40:00+00:00,1,0.686306893825531,0.3013758361339569,2026-01-29 01:00:00+00:00,5490.06,reverse_signal,28.469999999999345,down
2026-01-29 01:01:00+00:00,5490.73,5465.73,5548.7,2026-01-29 02:13:00+00:00,13,0.691612184047699,0.634062647819519,2026-01-29 01:42:00+00:00,5548.7,target_hit,57.970000000000255,up
2026-01-29 01:48:00+00:00,5538.25,5563.25,5488.48,2026-01-29 02:46:00+00:00,7,0.5283446311950684,0.38380560278892517,2026-01-29 02:02:00+00:00,5505.65,reverse_signal,32.600000000000364,down
2026-01-29 02:03:00+00:00,5505.64,5480.64,5545.64,2026-01-29 02:48:00+00:00,0,0.805652916431427,0.7357933521270752,2026-01-29 02:07:00+00:00,5524.65,reverse_signal,19.00999999999931,up
2026-01-29 02:08:00+00:00,5525.32,5550.32,5485.32,2026-01-29 02:53:00+00:00,0,0.6832302808761597,0.4372662305831909,2026-01-29 02:08:00+00:00,5512.88,reverse_signal,12.4399999999996,down
2026-01-29 02:09:00+00:00,5512.9,5487.9,5555.98,2026-01-29 02:54:00+00:00,1,0.6678532361984253,0.6786628365516663,2026-01-29 02:10:00+00:00,5522.46,reverse_signal,9.5600000000004,up
2026-01-29 02:11:00+00:00,5522.62,5547.62,5482.04,2026-01-29 03:19:00+00:00,4,0.7625459432601929,0.4149758517742157,2026-01-29 02:36:00+00:00,5547.62,stop_loss,-25.0,down
2026-01-29 02:53:00+00:00,5538.23,5563.23,5492.82,2026-01-29 03:38:00+00:00,1,0.5008994936943054,0.3853242099285126,2026-01-29 03:03:00+00:00,5520.89,reverse_signal,17.339999999999236,down
2026-01-29 03:04:00+00:00,5520.54,5495.54,5560.54,2026-01-29 03:49:00+00:00,1,0.6851513385772705,0.5631769299507141,2026-01-29 03:11:00+00:00,5529.86,reverse_signal,9.319999999999709,up
2026-01-29 03:16:00+00:00,5539.85,5564.85,5499.85,2026-01-29 04:01:00+00:00,0,0.5998592376708984,0.4009753167629242,2026-01-29 03:17:00+00:00,5528.96,reverse_signal,10.890000000000327,down
2026-01-29 03:24:00+00:00,5525.84,5500.84,5566.31,2026-01-29 04:13:00+00:00,1,0.7446503639221191,0.5840544104576111,2026-01-29 04:34:00+00:00,5561.83,timeout,35.98999999999978,up
2026-01-29 05:23:00+00:00,5529.76,5504.76,5592.69,2026-01-29 06:20:00+00:00,4,0.6229531168937683,0.6799639463424683,2026-01-29 06:20:00+00:00,5583.76,timeout,54.0,up
2026-01-29 06:23:00+00:00,5593.19,5618.19,5479.2,2026-01-29 09:22:00+00:00,9,0.5063490867614746,0.22241514921188354,2026-01-29 08:43:00+00:00,5487.35,reverse_signal,105.83999999999924,down
2026-01-29 08:44:00+00:00,5487.37,5462.37,5551.84,2026-01-29 09:53:00+00:00,9,0.6027873158454895,0.7285776138305664,2026-01-29 10:06:00+00:00,5503.43,timeout,16.0600000000004,up
2026-01-29 10:33:00+00:00,5500.86,5475.86,5540.86,2026-01-29 11:43:00+00:00,2,0.6062830090522766,0.5857848525047302,2026-01-29 11:03:00+00:00,5475.86,stop_loss,-25.0,up
2026-01-29 11:04:00+00:00,5473.81,5448.81,5540.83,2026-01-29 11:56:00+00:00,2,0.6652762293815613,0.7800858020782471,2026-01-29 12:13:00+00:00,5538.4,timeout,64.58999999999924,up
2026-01-29 12:46:00+00:00,5528.25,5553.25,5488.25,2026-01-29 13:31:00+00:00,0,0.5063726902008057,0.3856242597103119,2026-01-29 13:14:00+00:00,5515.21,reverse_signal,13.039999999999964,down
2026-01-29 13:15:00+00:00,5515.43,5490.43,5555.43,2026-01-29 14:00:00+00:00,0,0.5873186588287354,0.6368149518966675,2026-01-29 13:17:00+00:00,5520.33,reverse_signal,4.899999999999636,up
