entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
76355,76366,2025-08-05 15:34:00+00:00,2025-08-05 15:45:00+00:00,3382.71,3387.71,-5.0,stop
78939,78969,2025-08-07 12:40:00+00:00,2025-08-07 13:10:00+00:00,3384.61,3383.8,0.8099999999999454,timeout
79014,79044,2025-08-07 13:55:00+00:00,2025-08-07 14:25:00+00:00,3388.84,3382.3,6.539999999999964,timeout
80399,80429,2025-08-08 14:01:00+00:00,2025-08-08 14:31:00+00:00,3397.59,3382.13,15.460000000000036,timeout
80653,80683,2025-08-08 18:15:00+00:00,2025-08-08 18:45:00+00:00,3397.04,3395.88,1.1599999999998545,timeout
80697,80704,2025-08-08 18:59:00+00:00,2025-08-08 19:06:00+00:00,3395.78,3400.78,-5.0,stop
80725,80751,2025-08-08 19:27:00+00:00,2025-08-08 19:53:00+00:00,3393.78,3398.78,-5.0,stop
83138,83168,2025-08-12 13:47:00+00:00,2025-08-12 14:17:00+00:00,3347.91,3333.05,14.859999999999673,timeout
83244,83274,2025-08-12 15:33:00+00:00,2025-08-12 16:03:00+00:00,3351.86,3350.09,1.7699999999999818,timeout
85838,85868,2025-08-14 12:49:00+00:00,2025-08-14 13:19:00+00:00,3351.77,3353.13,-1.3600000000001273,timeout
85870,85900,2025-08-14 13:21:00+00:00,2025-08-14 13:51:00+00:00,3350.64,3345.95,4.690000000000055,timeout
94205,94211,2025-08-22 14:22:00+00:00,2025-08-22 14:28:00+00:00,3360.98,3365.98,-5.0,stop
96928,96958,2025-08-26 13:47:00+00:00,2025-08-26 14:17:00+00:00,3374.33,3372.14,2.1900000000000546,timeout
99609,99639,2025-08-28 12:30:00+00:00,2025-08-28 13:00:00+00:00,3403.75,3398.57,5.179999999999836,timeout
103675,103686,2025-09-02 13:49:00+00:00,2025-09-02 14:00:00+00:00,3487.78,3492.78,-5.0,stop
103757,103787,2025-09-02 15:11:00+00:00,2025-09-02 15:41:00+00:00,3511.79,3512.96,-1.1700000000000728,timeout
103868,103884,2025-09-02 17:02:00+00:00,2025-09-02 17:18:00+00:00,3523.71,3528.71,-5.0,stop
104039,104069,2025-09-02 19:53:00+00:00,2025-09-02 20:23:00+00:00,3534.36,3534.95,-0.5899999999996908,timeout
105073,105081,2025-09-03 14:08:00+00:00,2025-09-03 14:16:00+00:00,3552.51,3557.51,-5.0,stop
105098,105128,2025-09-03 14:33:00+00:00,2025-09-03 15:03:00+00:00,3559.83,3559.01,0.819999999999709,timeout
106426,106456,2025-09-04 13:42:00+00:00,2025-09-04 14:12:00+00:00,3551.01,3545.63,5.380000000000109,timeout
107768,107775,2025-09-05 13:05:00+00:00,2025-09-05 13:12:00+00:00,3575.49,3580.49,-5.0,stop
107793,107798,2025-09-05 13:30:00+00:00,2025-09-05 13:35:00+00:00,3576.92,3581.92,-5.0,stop
107832,107862,2025-09-05 14:09:00+00:00,2025-09-05 14:39:00+00:00,3593.19,3576.71,16.480000000000018,timeout
112001,112031,2025-09-10 14:41:00+00:00,2025-09-10 15:11:00+00:00,3650.54,3646.21,4.329999999999927,timeout
113261,113291,2025-09-11 12:42:00+00:00,2025-09-11 13:12:00+00:00,3632.81,3635.77,-2.9600000000000364,timeout
113295,113325,2025-09-11 13:16:00+00:00,2025-09-11 13:46:00+00:00,3629.79,3630.27,-0.4800000000000182,timeout
116254,116284,2025-09-15 16:37:00+00:00,2025-09-15 17:07:00+00:00,3681.29,3681.17,0.11999999999989086,timeout
117460,117469,2025-09-16 13:44:00+00:00,2025-09-16 13:53:00+00:00,3693.15,3698.15,-5.0,stop
120145,120175,2025-09-18 12:31:00+00:00,2025-09-18 13:01:00+00:00,3668.26,3660.21,8.050000000000182,timeout
121592,121605,2025-09-19 13:39:00+00:00,2025-09-19 13:52:00+00:00,3655.42,3660.42,-5.0,stop
121618,121643,2025-09-19 14:05:00+00:00,2025-09-19 14:30:00+00:00,3659.51,3664.51,-5.0,stop
124224,124254,2025-09-23 11:33:00+00:00,2025-09-23 12:03:00+00:00,3784.45,3782.07,2.3799999999996544,timeout
124330,124351,2025-09-23 13:19:00+00:00,2025-09-23 13:40:00+00:00,3782.92,3787.92,-5.0,stop
124580,124610,2025-09-23 17:29:00+00:00,2025-09-23 17:59:00+00:00,3782.35,3777.46,4.889999999999873,timeout
125652,125682,2025-09-24 12:22:00+00:00,2025-09-24 12:52:00+00:00,3767.18,3768.84,-1.6600000000003092,timeout
127015,127030,2025-09-25 12:06:00+00:00,2025-09-25 12:21:00+00:00,3749.9,3754.9,-5.0,stop
