feature_idx,channel,bar,bars_ago,importance_s1,importance_s2,importance_avg
530,close_rel,80,69,5.016467890702939e-05,0.0,2.5082339453514696e-05
531,close_rel,81,68,0.0004327235276562869,0.0,0.00021636176382814346
532,close_rel,82,67,0.0,0.0,0.0
533,close_rel,83,66,0.0,0.0,0.0
534,close_rel,84,65,0.0,0.0001561280058291044,7.80640029145522e-05
535,close_rel,85,64,0.0001307970105485252,0.0,6.53985052742626e-05
536,close_rel,86,63,0.0,6.8202558211350834e-06,3.4101279105675417e-06
537,close_rel,87,62,6.854641512952703e-05,0.0,3.4273207564763515e-05
538,close_rel,88,61,0.0,0.0,0.0
539,close_rel,89,60,0.0,0.0,0.0
540,close_rel,90,59,0.0,2.563779105617835e-05,1.2818895528089176e-05
541,close_rel,91,58,0.0,0.0,0.0
542,close_rel,92,57,0.0,1.6395304331423805e-05,8.197652165711903e-06
543,close_rel,93,56,0.000966515591177055,0.0,0.0004832577955885275
544,close_rel,94,55,0.0,0.0,0.0
545,close_rel,95,54,0.0,1.2056200938989316e-06,6.028100469494658e-07
546,close_rel,96,53,0.0,0.0,0.0
547,close_rel,97,52,0.0,0.0,0.0
548,close_rel,98,51,8.695982914843106e-05,0.0,4.347991457421553e-05
549,close_rel,99,50,1.3223854725970285e-05,0.0,6.611927362985143e-06
550,close_rel,100,49,0.0,0.0,0.0
551,close_rel,101,48,3.3435543371131804e-06,0.0,1.6717771685565902e-06
552,close_rel,102,47,9.958205881072289e-06,0.0,4.979102940536144e-06
553,close_rel,103,46,0.0,0.0,0.0
554,close_rel,104,45,6.674795801210002e-05,0.0,3.337397900605001e-05
555,close_rel,105,44,0.00010646310567361821,0.0,5.3231552836809106e-05
556,close_rel,106,43,0.0008333944127409123,0.0,0.00041669720637045615
557,close_rel,107,42,0.0017748327557732082,0.0,0.0008874163778866041
558,close_rel,108,41,1.4374739631595805e-06,0.0,7.187369815797902e-07
559,close_rel,109,40,0.0,0.0,0.0
560,close_rel,110,39,4.317980248713359e-06,0.0,2.1589901243566794e-06
561,close_rel,111,38,0.0,6.960767864056041e-05,3.480383932028021e-05
562,close_rel,112,37,0.0,0.0,0.0
563,close_rel,113,36,9.217516124476702e-06,0.0,4.608758062238351e-06
564,close_rel,114,35,1.3381167643311432e-05,0.0,6.690583821655716e-06
565,close_rel,115,34,0.0001403331041646721,0.0,7.016655208233606e-05
566,close_rel,116,33,0.0,6.153901871203353e-05,3.0769509356016766e-05
567,close_rel,117,32,0.0,0.0,0.0
568,close_rel,118,31,0.0,1.5746502914478086e-05,7.873251457239043e-06
569,close_rel,119,30,0.0010367547683330387,0.0,0.0005183773841665193
570,close_rel,120,29,0.0,0.0,0.0
571,close_rel,121,28,0.0,0.0,0.0
572,close_rel,122,27,0.0,0.0,0.0
573,close_rel,123,26,0.00012182296474581034,0.0,6.091148237290517e-05
574,close_rel,124,25,0.0004925361603082717,0.0,0.00024626808015413583
575,close_rel,125,24,0.0,0.0,0.0
576,close_rel,126,23,0.0,0.0,0.0
577,close_rel,127,22,0.00010362236340342601,0.0,5.1811181701713004e-05
578,close_rel,128,21,0.0,0.0,0.0
579,close_rel,129,20,0.0,6.104549056842936e-06,3.052274528421468e-06
580,close_rel,130,19,0.0002696187871024551,0.0,0.00013480939355122755
581,close_rel,131,18,0.0,4.022622827437784e-05,2.011311413718892e-05
582,close_rel,132,17,0.0,2.4924392256825224e-05,1.2462196128412612e-05
583,close_rel,133,16,0.0,0.0,0.0
584,close_rel,134,15,0.0006150143472282984,8.916023670361826e-15,0.0003075071736186072
585,close_rel,135,14,0.0,3.742694005035312e-05,1.871347002517656e-05
586,close_rel,136,13,0.0,0.0,0.0
587,close_rel,137,12,7.109715553691585e-05,0.0016189288221485246,0.0008450129888427202
588,close_rel,138,11,7.194843580360564e-05,0.0005367001755867205,0.00030432430569516305
589,close_rel,139,10,0.0,0.0,0.0
590,close_rel,140,9,2.7045184384627462e-05,4.391534720346399e-12,1.3522594388081091e-05
591,close_rel,141,8,5.490333998082366e-06,0.0018996321318259304,0.0009525612329120064
592,close_rel,142,7,1.3069474050332397e-05,2.104491165266209e-07,6.6399615834295084e-06
593,close_rel,143,6,0.0007110003204200135,9.987308760838457e-09,0.00035550515386438715
594,close_rel,144,5,0.00020343966715914618,6.213019678346633e-05,0.00013278493197130625
595,close_rel,145,4,9.272065311686666e-06,0.0,4.636032655843333e-06
596,close_rel,146,3,5.823982498017576e-06,5.3513662756461576e-05,2.9668822627239576e-05
597,close_rel,147,2,5.800246262986382e-06,0.0,2.900123131493191e-06
