side,entry_time,entry_price,stop,target,timeout,exit_time,exit_price,exit_reason,pnl
down,2026-02-06 07:25:00+02:00,4844.78,4869.78,4794.78,2026-02-06 11:25:00+02:00,2026-02-06 07:40:00+02:00,4869.78,Stop,-25.0
down,2026-02-06 08:35:00+02:00,4842.25,4867.25,4792.25,2026-02-06 12:35:00+02:00,2026-02-06 10:24:00+02:00,4867.25,Stop,-25.0
down,2026-02-06 11:06:00+02:00,4844.21,4869.21,4794.21,2026-02-06 15:06:00+02:00,2026-02-06 11:35:00+02:00,4869.21,Stop,-25.0
down,2026-02-11 15:30:00+02:00,5022.85,5047.85,4972.85,2026-02-11 19:30:00+02:00,2026-02-11 15:31:00+02:00,5047.85,Stop,-25.0
up,2026-02-11 15:31:00+02:00,5046.5,5021.5,5096.5,2026-02-11 19:31:00+02:00,2026-02-11 19:31:00+02:00,5084.96,Timeout,38.460000000000036
up,2026-02-12 17:01:00+02:00,5049.13,5024.13,5099.13,2026-02-12 21:01:00+02:00,2026-02-12 18:11:00+02:00,5024.13,Stop,-25.0
down,2026-02-13 15:30:00+02:00,4994.75,5019.75,4944.75,2026-02-13 19:30:00+02:00,2026-02-13 17:36:00+02:00,5019.75,Stop,-25.0
down,2026-02-13 17:48:00+02:00,4992.44,5017.44,4942.44,2026-02-13 21:48:00+02:00,2026-02-13 18:26:00+02:00,5017.44,Stop,-25.0
down,2026-02-18 09:14:00+02:00,4938.56,4963.56,4888.56,2026-02-18 13:14:00+02:00,2026-02-18 13:14:00+02:00,4915.97,Timeout,22.590000000000146
down,2026-02-20 17:06:00+02:00,4995.38,5020.38,4945.38,2026-02-20 21:06:00+02:00,2026-02-20 17:08:00+02:00,5020.38,Stop,-25.0
up,2026-02-24 14:54:00+02:00,5146.83,5121.83,5196.83,2026-02-24 18:54:00+02:00,2026-02-24 15:59:00+02:00,5121.83,Stop,-25.0
up,2026-03-02 18:25:00+02:00,5308.6,5283.6,5358.6,2026-03-02 22:25:00+02:00,2026-03-02 18:35:00+02:00,5283.6,Stop,-25.0
up,2026-03-03 09:54:00+02:00,5329.95,5304.95,5379.95,2026-03-03 13:54:00+02:00,2026-03-03 10:34:00+02:00,5304.95,Stop,-25.0
down,2026-03-04 12:20:00+02:00,5189.17,5214.17,5139.17,2026-03-04 16:20:00+02:00,2026-03-04 16:20:00+02:00,5168.97,Timeout,20.199999999999818
down,2026-03-06 17:12:00+02:00,5142.08,5167.08,5092.08,2026-03-06 21:12:00+02:00,2026-03-06 17:24:00+02:00,5167.08,Stop,-25.0
down,2026-03-06 17:50:00+02:00,5140.29,5165.29,5090.29,2026-03-06 21:50:00+02:00,2026-03-06 20:44:00+02:00,5165.29,Stop,-25.0
up,2026-03-11 10:27:00+02:00,5183.47,5158.47,5233.47,2026-03-11 14:27:00+02:00,2026-03-11 14:27:00+02:00,5190.71,Timeout,7.239999999999782
up,2026-03-11 14:33:00+02:00,5185.09,5160.09,5235.09,2026-03-11 18:33:00+02:00,2026-03-11 15:49:00+02:00,5160.09,Stop,-25.0
up,2026-03-11 16:01:00+02:00,5184.73,5159.73,5234.73,2026-03-11 20:01:00+02:00,2026-03-11 19:36:00+02:00,5159.73,Stop,-25.0
down,2026-03-16 08:22:00+02:00,5029.36,5054.36,4979.36,2026-03-16 12:22:00+02:00,2026-03-16 11:45:00+02:00,4979.36,Target,50.0
down,2026-03-16 15:38:00+02:00,5026.93,5051.93,4976.93,2026-03-16 19:38:00+02:00,2026-03-16 18:31:00+02:00,4976.93,Target,50.0
down,2026-03-18 08:36:00+02:00,5015.09,5040.09,4965.09,2026-03-18 12:36:00+02:00,2026-03-18 12:35:00+02:00,4965.09,Target,50.0
up,2026-03-26 07:33:00+02:00,4491.52,4466.52,4541.52,2026-03-26 11:33:00+02:00,2026-03-26 07:51:00+02:00,4466.52,Stop,-25.0
down,2026-03-27 07:30:00+02:00,4448.16,4473.16,4398.16,2026-03-27 11:30:00+02:00,2026-03-27 07:38:00+02:00,4473.16,Stop,-25.0
down,2026-03-27 09:30:00+02:00,4449.88,4474.88,4399.88,2026-03-27 13:30:00+02:00,2026-03-27 13:30:00+02:00,4416.19,Timeout,33.69000000000051
down,2026-03-27 16:06:00+02:00,4448.8,4473.8,4398.8,2026-03-27 20:06:00+02:00,2026-03-27 16:47:00+02:00,4473.8,Stop,-25.0
up,2026-04-02 07:34:00+02:00,4651.96,4626.96,4701.96,2026-04-02 11:34:00+02:00,2026-04-02 07:45:00+02:00,4626.96,Stop,-25.0
up,2026-04-02 16:06:00+02:00,4650.78,4625.78,4700.78,2026-04-02 20:06:00+02:00,2026-04-02 20:06:00+02:00,4656.24,Timeout,5.460000000000036
down,2026-04-06 15:25:00+02:00,4668.92,4693.92,4618.92,2026-04-06 19:25:00+02:00,2026-04-06 16:35:00+02:00,4693.92,Stop,-25.0
up,2026-04-10 10:55:00+02:00,4739.01,4714.01,4789.01,2026-04-10 14:55:00+02:00,2026-04-10 14:55:00+02:00,4771.28,Timeout,32.26999999999953
