side,entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,month
-1,2026-02-02 03:04:00+00:00,4711.73,4736.73,4629.87,2026-02-02 04:18:00+00:00,7,0.6227731704711914,0.3772268295288086,45.0,25.0,45,2026-02-02 03:41:00+00:00,4629.87,target_hit,81.85999999999967,2026-02
-1,2026-02-02 03:55:00+00:00,4659.05,4684.05,4613.04,2026-02-02 04:41:00+00:00,2,0.7418073415756226,0.25819265842437744,45.0,25.0,45,2026-02-02 04:02:00+00:00,4613.04,target_hit,46.01000000000022,2026-02
-1,2026-02-02 04:13:00+00:00,4641.65,4666.65,4596.65,2026-02-02 04:58:00+00:00,0,0.6604013442993164,0.3395986557006836,45.0,25.0,45,2026-02-02 04:15:00+00:00,4666.65,stop_loss,-25.0,2026-02
-1,2026-02-02 05:32:00+00:00,4629.53,4654.53,4584.53,2026-02-02 06:17:00+00:00,1,0.8767189383506775,0.12328106164932251,45.0,25.0,45,2026-02-02 05:44:00+00:00,4584.53,target_hit,45.0,2026-02
-1,2026-02-02 13:49:00+00:00,4696.35,4721.35,4651.35,2026-02-02 14:34:00+00:00,0,0.7239692807197571,0.2760307192802429,45.0,25.0,45,2026-02-02 13:53:00+00:00,4721.35,stop_loss,-25.0,2026-02
-1,2026-02-02 13:57:00+00:00,4706.05,4731.05,4661.05,2026-02-02 14:42:00+00:00,0,0.6157103776931763,0.38428962230682373,45.0,25.0,45,2026-02-02 14:12:00+00:00,4731.05,stop_loss,-25.0,2026-02
-1,2026-02-02 15:02:00+00:00,4699.98,4724.98,4654.98,2026-02-02 15:47:00+00:00,0,0.7791392803192139,0.22086071968078613,45.0,25.0,45,2026-02-02 15:03:00+00:00,4724.98,stop_loss,-25.0,2026-02
-1,2026-02-02 15:14:00+00:00,4697.04,4722.04,4652.04,2026-02-02 15:59:00+00:00,0,0.6082599759101868,0.39174002408981323,45.0,25.0,45,2026-02-02 15:16:00+00:00,4722.04,stop_loss,-25.0,2026-02
-1,2026-02-02 15:43:00+00:00,4682.1,4707.1,4614.77,2026-02-02 16:31:00+00:00,4,0.672217845916748,0.32778215408325195,45.0,25.0,45,2026-02-02 16:00:00+00:00,4614.77,target_hit,67.32999999999993,2026-02
-1,2026-02-02 18:02:00+00:00,4651.46,4676.46,4588.98,2026-02-02 19:01:00+00:00,2,0.5927159786224365,0.4072840213775635,45.0,25.0,45,2026-02-02 19:01:00+00:00,4644.31,timeout,7.149999999999636,2026-02
-1,2026-02-03 18:49:00+00:00,4901.95,4926.95,4856.95,2026-02-03 19:34:00+00:00,0,0.759755551815033,0.24024444818496704,45.0,25.0,45,2026-02-03 19:18:00+00:00,4926.95,stop_loss,-25.0,2026-02
-1,2026-02-04 14:34:00+00:00,5015.55,5040.55,4969.92,2026-02-04 15:19:00+00:00,1,0.6849738955497742,0.31502610445022583,45.0,25.0,45,2026-02-04 14:39:00+00:00,4969.92,target_hit,45.63000000000011,2026-02
-1,2026-02-04 14:58:00+00:00,4994.37,5019.37,4930.14,2026-02-04 16:02:00+00:00,6,0.8741705417633057,0.12582945823669434,45.0,25.0,45,2026-02-04 15:31:00+00:00,4930.14,target_hit,64.22999999999956,2026-02
-1,2026-02-04 15:58:00+00:00,4919.63,4944.63,4836.09,2026-02-04 17:32:00+00:00,13,0.6628383994102478,0.3371616005897522,45.0,25.0,45,2026-02-04 17:32:00+00:00,4923.89,timeout,-4.260000000000218,2026-02
-1,2026-02-05 01:14:00+00:00,4975.83,5000.83,4930.83,2026-02-05 01:59:00+00:00,0,0.6296260952949524,0.3703739047050476,45.0,25.0,45,2026-02-05 01:59:00+00:00,4959.38,timeout,16.449999999999818,2026-02
-1,2026-02-05 02:01:00+00:00,4951.58,4976.58,4906.58,2026-02-05 02:46:00+00:00,0,0.6614969372749329,0.33850306272506714,45.0,25.0,45,2026-02-05 02:14:00+00:00,4906.58,target_hit,45.0,2026-02
-1,2026-02-05 02:33:00+00:00,4921.15,4946.15,4869.38,2026-02-05 03:23:00+00:00,3,0.7549471259117126,0.24505287408828735,45.0,25.0,45,2026-02-05 02:47:00+00:00,4869.38,target_hit,51.76999999999953,2026-02
-1,2026-02-05 05:33:00+00:00,4834.74,4859.74,4789.74,2026-02-05 06:18:00+00:00,0,0.7095654606819153,0.2904345393180847,45.0,25.0,45,2026-02-05 05:39:00+00:00,4859.74,stop_loss,-25.0,2026-02
-1,2026-02-05 13:02:00+00:00,4827.1,4852.1,4780.53,2026-02-05 13:47:00+00:00,1,0.8773069381713867,0.12269306182861328,45.0,25.0,45,2026-02-05 13:22:00+00:00,4852.1,stop_loss,-25.0,2026-02
-1,2026-02-05 14:02:00+00:00,4819.22,4844.22,4774.22,2026-02-05 14:47:00+00:00,0,0.7841790318489075,0.21582096815109253,45.0,25.0,45,2026-02-05 14:06:00+00:00,4844.22,stop_loss,-25.0,2026-02
-1,2026-02-05 14:15:00+00:00,4814.11,4839.11,4768.46,2026-02-05 15:18:00+00:00,5,0.8264353275299072,0.17356467247009277,45.0,25.0,45,2026-02-05 14:38:00+00:00,4839.11,stop_loss,-25.0,2026-02
-1,2026-02-05 15:28:00+00:00,4817.18,4842.18,4771.13,2026-02-05 16:13:00+00:00,1,0.8047225475311279,0.19527745246887207,45.0,25.0,45,2026-02-05 16:13:00+00:00,4825.15,timeout,-7.969999999999345,2026-02
-1,2026-02-09 01:33:00+00:00,4999.57,5024.57,4935.33,2026-02-09 02:44:00+00:00,6,0.8982698321342468,0.10173016786575317,45.0,25.0,45,2026-02-09 02:44:00+00:00,4996.3,timeout,3.269999999999527,2026-02
-1,2026-02-10 14:48:00+00:00,5033.84,5058.84,4988.84,2026-02-10 15:33:00+00:00,0,0.7872704863548279,0.21272951364517212,45.0,25.0,45,2026-02-10 15:33:00+00:00,5030.27,timeout,3.569999999999709,2026-02
-1,2026-02-11 15:25:00+00:00,5049.76,5074.76,5002.38,2026-02-11 16:11:00+00:00,1,0.7533215880393982,0.2466784119606018,45.0,25.0,45,2026-02-11 16:11:00+00:00,5063.56,timeout,-13.800000000000182,2026-02
-1,2026-02-12 16:55:00+00:00,4935.86,4960.86,4890.86,2026-02-12 17:40:00+00:00,0,0.6928998827934265,0.3071001172065735,45.0,25.0,45,2026-02-12 17:07:00+00:00,4960.86,stop_loss,-25.0,2026-02
-1,2026-02-17 15:00:00+00:00,4860.9,4885.9,4808.81,2026-02-17 15:45:00+00:00,1,0.595976710319519,0.40402328968048096,45.0,25.0,45,2026-02-17 15:45:00+00:00,4870.01,timeout,-9.110000000000582,2026-02
-1,2026-02-20 15:05:00+00:00,5028.38,5053.38,4983.38,2026-02-20 15:50:00+00:00,0,0.6830416321754456,0.31695836782455444,45.0,25.0,45,2026-02-20 15:50:00+00:00,5043.05,timeout,-14.670000000000073,2026-02
-1,2026-03-02 14:47:00+00:00,5333.48,5358.48,5275.04,2026-03-02 16:04:00+00:00,4,0.8110120892524719,0.18898791074752808,45.0,25.0,45,2026-03-02 16:01:00+00:00,5275.04,target_hit,58.4399999999996,2026-03
-1,2026-03-02 16:19:00+00:00,5286.9,5311.9,5240.54,2026-03-02 17:04:00+00:00,1,0.8088698387145996,0.1911301612854004,45.0,25.0,45,2026-03-02 16:26:00+00:00,5311.9,stop_loss,-25.0,2026-03
